C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
D1:1
G***:5
H1:1
H2:1
H3:1
H8:1
INA1:1
INA2:1
INB1:1
INB2:1
J1:1
J10:1
J2:1
J3:1
J4:1
J49:1
J5:1
OUT1:2
OUT2:2
PGND:1
Q1:1
Q2:1
R1:1
R10:1
R11:1
R12:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
U1:1
U2:1
U3:1
U4:1
VM:1
