index,t_capture,skew_s,t_a,t_b
0,582906.373481,0.002071,582906.372445,582906.374516
1,582906.384368,0.000479,582906.384128,582906.384607
2,582906.388219,0.001150,582906.387644,582906.388795
3,582906.397517,0.000512,582906.397773,582906.397261
4,582906.399279,0.000486,582906.399036,582906.399522
5,582906.403970,0.007755,582906.400093,582906.407847
6,582906.407975,0.006495,582906.404728,582906.411223
7,582906.413956,0.003711,582906.412100,582906.415811
8,582906.416927,0.003668,582906.415092,582906.418761
9,582906.421298,0.003070,582906.419763,582906.422833
10,582906.428131,0.008674,582906.423794,582906.432467
11,582906.432379,0.009752,582906.427503,582906.437255
12,582906.438926,0.002717,582906.437568,582906.440285
13,582906.445013,0.007727,582906.441150,582906.448877
14,582906.453750,0.007386,582906.450057,582906.457443
15,582906.457405,0.001126,582906.456842,582906.457968
16,582906.458805,0.002112,582906.457749,582906.459861
17,582906.461878,0.002105,582906.460826,582906.462931
18,582906.467484,0.007274,582906.463847,582906.471121
19,582906.472957,0.003078,582906.471418,582906.474496
20,582906.475434,0.000412,582906.475228,582906.475640
21,582906.480481,0.006745,582906.477108,582906.483853
22,582906.483643,0.006850,582906.480218,582906.487068
23,582906.489698,0.003531,582906.487932,582906.491463
24,582906.493725,0.002970,582906.492240,582906.495210
25,582906.499265,0.006248,582906.496141,582906.502389
26,582906.504577,0.003531,582906.502812,582906.506343
27,582906.508249,0.004805,582906.505846,582906.510651
28,582906.514503,0.006297,582906.511355,582906.517652
29,582906.519345,0.002730,582906.517980,582906.520710
30,582906.524319,0.005427,582906.521605,582906.527032
31,582906.527913,0.003070,582906.526378,582906.529448
32,582906.536063,0.012088,582906.530019,582906.542107
33,582906.542686,0.000979,582906.542197,582906.543176
34,582906.547683,0.007908,582906.543729,582906.551638
35,582906.553022,0.001134,582906.552455,582906.553589
36,582906.554520,0.000053,582906.554546,582906.554493
37,582906.558177,0.004123,582906.556115,582906.560238
38,582906.560203,0.006185,582906.557110,582906.563295
39,582906.566834,0.005323,582906.564173,582906.569495
40,582906.572311,0.004539,582906.570042,582906.574580
41,582906.575430,0.003340,582906.573760,582906.577100
42,582906.580723,0.008398,582906.576524,582906.584922
43,582906.585571,0.007244,582906.581949,582906.589193
44,582906.593707,0.011173,582906.588121,582906.599293
45,582906.600228,0.000676,582906.599890,582906.600566
46,582906.601085,0.000373,582906.600898,582906.601271
47,582906.602124,0.001067,582906.601590,582906.602658
48,582906.607250,0.007741,582906.603380,582906.611121
49,582906.617128,0.010544,582906.611857,582906.622400
50,582906.625359,0.001747,582906.624486,582906.626233
51,582906.627678,0.000281,582906.627819,582906.627537
52,582906.637001,0.004129,582906.634937,582906.639066
53,582906.647372,0.000557,582906.647094,582906.647651
54,582906.654441,0.000675,582906.654103,582906.654778
55,582906.655819,0.000247,582906.655695,582906.655942
56,582906.659202,0.003714,582906.657345,582906.661059
57,582906.666064,0.000133,582906.666131,582906.665997
