frame,t,nx,ny,nz,agree_deg
0,573737.485408,0.25356,-0.88966,-0.37974,4.46
1,573737.490644,0.25467,-0.89034,-0.37741,4.44
2,573737.493975,0.25131,-0.89046,-0.37936,4.35
3,573737.496296,0.25088,-0.88951,-0.38188,3.79
4,573737.500802,0.25187,-0.8909,-0.37796,4.18
5,573737.505619,0.25036,-0.89131,-0.37801,3.86
6,573737.512456,0.24725,-0.89163,-0.37929,4.36
7,573737.516099,0.24751,-0.88944,-0.38423,4.15
8,573737.520365,0.24801,-0.89066,-0.38108,3.81
9,573737.524766,0.24631,-0.89207,-0.37888,3.7
10,573737.529572,0.24812,-0.89138,-0.37933,3.89
11,573737.536902,0.24829,-0.88989,-0.38268,4.1
12,573737.540989,0.24944,-0.89016,-0.38131,3.79
13,573737.544626,0.25055,-0.88892,-0.38346,3.99
14,573737.548485,0.25148,-0.88942,-0.38169,3.64
15,573737.552122,0.25135,-0.89117,-0.37766,3.91
16,573737.560619,0.2504,-0.89134,-0.37791,3.58
17,573737.564092,0.25245,-0.89029,-0.37901,3.74
18,573737.568955,0.24419,-0.89243,-0.37939,4.55
19,573737.580784,0.24909,-0.88688,-0.3891,2.85
20,573737.588663,0.25447,-0.88717,-0.38494,2.9
21,573737.592331,0.25252,-0.88682,-0.38702,2.78
22,573737.596039,0.25316,-0.886,-0.38848,2.88
23,573737.600193,0.2548,-0.8854,-0.38878,2.81
24,573737.604394,0.25565,-0.88482,-0.38954,3.06
25,573737.612538,0.25635,-0.88465,-0.38946,2.95
26,573737.616187,0.25353,-0.8837,-0.39345,3.3
27,573737.619881,0.25722,-0.88413,-0.39007,2.87
28,573737.625989,0.25593,-0.88393,-0.39136,2.91
29,573737.628578,0.25571,-0.88367,-0.39209,3.07
30,573737.636753,0.25756,-0.8836,-0.39105,2.88
31,573737.642038,0.25451,-0.88377,-0.39264,3.06
32,573737.644936,0.25812,-0.88323,-0.39151,2.95
33,573737.649129,0.25571,-0.88272,-0.39422,3.39
34,573737.653791,0.26049,-0.88158,-0.39364,3.34
35,573737.668857,0.26022,-0.88376,-0.38892,2.9
36,573737.671765,0.26174,-0.8837,-0.38803,2.93
37,573737.677348,0.26147,-0.88366,-0.3883,2.86
38,573737.681361,0.26283,-0.8844,-0.38569,2.86
39,573737.688724,0.26443,-0.88371,-0.38618,2.98
40,573737.69364,0.26827,-0.88331,-0.38444,2.64
41,573737.696714,0.26873,-0.88256,-0.38584,2.73
42,573737.700857,0.26533,-0.8844,-0.38398,2.99
43,573737.70491,0.26458,-0.88573,-0.38142,2.99
44,573737.713447,0.27164,-0.8825,-0.38393,2.71
45,573737.7169,0.27091,-0.88293,-0.38346,2.83
46,573737.720432,0.26918,-0.88403,-0.38215,2.79
47,573737.723408,0.26611,-0.88597,-0.37979,3.32
48,573737.728954,0.27483,-0.88107,-0.38496,2.96
49,573737.735735,0.27454,-0.8826,-0.38162,2.64
50,573737.740346,0.27083,-0.88409,-0.38083,2.92
51,573737.753519,0.27456,-0.88419,-0.37792,2.62
52,573737.756726,0.27886,-0.88409,-0.37499,1.96
53,573737.764365,0.27504,-0.88128,-0.3843,3.28
54,573737.768558,0.27436,-0.88527,-0.37553,2.35
55,573737.771522,0.26727,-0.88666,-0.37736,3.18
56,573737.776864,0.27771,-0.88519,-0.37326,2.14
57,573737.779532,0.2671,-0.88982,-0.36998,2.82
58,573737.78845,0.27233,-0.88596,-0.37538,2.98
59,573737.79277,0.28025,-0.88139,-0.38027,2.83
60,573737.795686,0.27465,-0.88395,-0.37843,2.85
61,573737.79982,0.26897,-0.88872,-0.37127,3.0
62,573737.805186,0.26998,-0.88757,-0.37327,3.1
63,573737.808084,0.27078,-0.88735,-0.3732,3.18
64,573737.816234,0.26822,-0.8893,-0.37041,3.15
65,573737.819882,0.27918,-0.88407,-0.37479,2.46
66,573737.823678,0.26773,-0.88918,-0.37106,3.16
67,573737.841195,0.26873,-0.88899,-0.37079,3.01
68,573737.843809,0.26903,-0.88831,-0.37219,3.17
69,573737.848296,0.26797,-0.88846,-0.37259,3.16
70,573737.853355,0.26991,-0.88784,-0.37267,3.17
71,573737.855918,0.27187,-0.88491,-0.37818,3.22
72,573737.864952,0.26811,-0.88786,-0.37394,3.15
73,573737.868231,0.28228,-0.88143,-0.37869,3.59
74,573737.872346,0.26849,-0.88801,-0.37329,3.1
75,573737.875349,0.25528,-0.88411,-0.39139,5.59
76,573737.881091,0.27231,-0.8854,-0.37672,2.9
77,573737.883876,0.26737,-0.8883,-0.37342,3.26
78,573737.892655,0.26853,-0.8876,-0.37425,3.09
79,573737.896133,0.27222,-0.88529,-0.37703,2.99
80,573737.899844,0.25629,-0.88333,-0.39248,5.5
81,573737.905342,0.27174,-0.88553,-0.37682,2.88
82,573737.9075,0.27151,-0.88586,-0.37622,2.91
83,573737.924565,0.27422,-0.88464,-0.37711,2.68
84,573737.927344,0.26894,-0.88757,-0.37401,3.09
85,573737.93269,0.27018,-0.88659,-0.37545,3.1
86,573737.941224,0.27212,-0.8855,-0.37663,3.25
87,573737.944256,0.26673,-0.88541,-0.38066,3.48
88,573737.94872,0.2677,-0.8881,-0.37364,3.05
89,573737.951758,0.26728,-0.88785,-0.37455,3.07
90,573737.956667,0.26946,-0.88612,-0.37708,2.89
91,573737.960363,0.27651,-0.87942,-0.3875,3.2
92,573737.968997,0.27159,-0.88529,-0.3775,2.76
93,573737.972143,0.2689,-0.88671,-0.37609,2.83
94,573737.976039,0.27007,-0.88638,-0.37603,3.0
95,573737.981457,0.26913,-0.88632,-0.37685,2.81
96,573737.984436,0.27225,-0.88561,-0.37626,2.6
97,573737.99298,0.26617,-0.88888,-0.3729,2.88
98,573737.996497,0.26632,-0.88849,-0.3737,2.94
99,573738.008479,0.26701,-0.88027,-0.3922,4.25
100,573738.012083,0.2698,-0.8853,-0.37876,2.96
101,573738.022066,0.27349,-0.88482,-0.37723,2.26
102,573738.02479,0.25934,-0.88087,-0.39599,4.82
103,573738.02757,0.26918,-0.88485,-0.38025,2.82
104,573738.032307,0.26951,-0.88336,-0.38344,2.96
105,573738.036159,0.26537,-0.88583,-0.38064,3.21
106,573738.045171,0.26633,-0.88602,-0.37953,2.57
107,573738.048317,0.26577,-0.88593,-0.38013,2.85
108,573738.05191,0.25711,-0.8893,-0.37821,2.9
109,573738.056483,0.25897,-0.88902,-0.37759,2.78
110,573738.060241,0.26227,-0.88677,-0.38059,2.75
111,573738.067885,0.26363,-0.8868,-0.37958,2.9
112,573738.072232,0.25931,-0.88753,-0.38086,2.9
113,573738.075531,0.26169,-0.88653,-0.38155,2.7
114,573738.079865,0.26069,-0.88675,-0.38173,2.51
115,573738.096615,0.26126,-0.8859,-0.3833,2.79
116,573738.100358,0.2571,-0.88535,-0.38736,3.13
117,573738.104893,0.25921,-0.88624,-0.38392,2.87
118,573738.109505,0.25905,-0.8857,-0.38526,2.88
119,573738.11294,0.26023,-0.88452,-0.38719,2.98
120,573738.121427,0.25759,-0.88616,-0.38518,2.8
121,573738.123758,0.25393,-0.88589,-0.38822,3.18
122,573738.12793,0.25445,-0.88537,-0.38907,3.0
123,573738.13222,0.25451,-0.88514,-0.38955,3.06
124,573738.135993,0.25565,-0.88517,-0.38874,3.07
125,573738.143952,0.25586,-0.885,-0.38898,3.04
126,573738.148362,0.25342,-0.88484,-0.39093,3.12
127,573738.152953,0.25426,-0.88539,-0.38914,3.02
128,573738.155642,0.25561,-0.88509,-0.38894,3.02
129,573738.161108,0.24889,-0.88638,-0.39037,3.39
130,573738.163927,0.25306,-0.88579,-0.38903,2.98
131,573738.17285,0.25368,-0.88622,-0.38764,2.96
132,573738.185988,0.25148,-0.88689,-0.38754,2.84
133,573738.187888,0.25047,-0.88693,-0.38811,2.93
134,573738.197166,0.24709,-0.88704,-0.39,2.83
135,573738.200188,0.24532,-0.89086,-0.38234,4.21
136,573738.203997,0.24917,-0.88829,-0.38581,2.83
137,573738.207906,0.24734,-0.89194,-0.3785,3.38
138,573738.212163,0.25434,-0.88984,-0.37881,4.31
139,573738.220127,0.24858,-0.88962,-0.38313,2.79
140,573738.224388,0.24879,-0.88866,-0.38521,2.69
141,573738.227675,0.24761,-0.89266,-0.37663,3.65
142,573738.231865,0.25172,-0.89087,-0.37815,3.85
143,573738.236724,0.25197,-0.89323,-0.37236,3.62
144,573738.240013,0.2501,-0.89236,-0.3757,3.77
145,573738.248177,0.25183,-0.89158,-0.3764,4.14
146,573738.252255,0.25031,-0.89343,-0.37299,3.68
147,573738.255913,0.25163,-0.89255,-0.37421,3.84
148,573738.272848,0.24942,-0.89379,-0.37273,3.73
149,573738.276077,0.25216,-0.89168,-0.37592,4.07
150,573738.280743,0.24893,-0.89408,-0.37235,3.7
151,573738.28471,0.25066,-0.89291,-0.37399,3.9
152,573738.28781,0.25327,-0.89169,-0.37515,3.71
153,573738.297553,0.25382,-0.89126,-0.37581,3.87
154,573738.300127,0.25174,-0.89256,-0.37412,3.96
155,573738.304479,0.25545,-0.89178,-0.37347,4.12
156,573738.307676,0.2549,-0.89212,-0.37302,3.89
157,573738.313538,0.25495,-0.89112,-0.37537,3.87
158,573738.316603,0.25642,-0.89163,-0.37316,4.13
159,573738.324687,0.2539,-0.89253,-0.37273,3.57
160,573738.32856,0.25497,-0.89268,-0.37164,4.07
161,573738.33178,0.25763,-0.89202,-0.37138,4.24
162,573738.336735,0.2637,-0.89078,-0.3701,5.11
163,573738.34022,0.25969,-0.89214,-0.36965,4.42
164,573738.348112,0.25892,-0.89174,-0.37116,4.49
165,573738.356159,0.26162,-0.89393,-0.36393,5.55
166,573738.361381,0.25764,-0.89087,-0.37412,4.59
167,573738.363807,0.26095,-0.89398,-0.36429,5.16
168,573738.372802,0.26508,-0.89013,-0.37067,5.25
169,573738.375939,0.26306,-0.89206,-0.36748,5.14
170,573738.380838,0.26295,-0.89102,-0.37005,5.03
171,573738.383854,0.26006,-0.89174,-0.37036,5.39
172,573738.389074,0.26034,-0.89141,-0.37097,5.36
173,573738.392824,0.2632,-0.89156,-0.36858,5.08
174,573738.400781,0.26242,-0.88614,-0.38195,4.87
175,573738.404302,0.26385,-0.89086,-0.36979,5.16
176,573738.407775,0.25971,-0.88748,-0.3807,4.42
177,573738.41316,0.26184,-0.88835,-0.37719,4.55
178,573738.41564,0.25916,-0.88904,-0.37741,4.94
179,573738.424426,0.2608,-0.88767,-0.37951,4.92
180,573738.428631,0.26327,-0.88772,-0.37768,5.16
181,573738.432265,0.26314,-0.89012,-0.37209,5.28
182,573738.439821,0.26261,-0.89027,-0.37209,5.22
183,573738.448155,0.26555,-0.89068,-0.369,5.22
184,573738.452395,0.26308,-0.89062,-0.37094,4.91
185,573738.455663,0.26584,-0.88941,-0.37186,5.04
186,573738.459563,0.26339,-0.88782,-0.37736,4.52
187,573738.464929,0.26436,-0.88749,-0.37746,4.81
188,573738.468128,0.26357,-0.89071,-0.37036,4.75
189,573738.476725,0.26621,-0.88926,-0.37197,4.97
190,573738.480131,0.25898,-0.8914,-0.37195,4.26
191,573738.483952,0.26616,-0.88911,-0.37236,4.77
