frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,605322.210714,49.893,73,120.013,20.793,73.854,114.642,66.741,426.86,217.72,96.88,150.05,66.16
1,605322.21568,49.903,73,119.769,20.879,73.815,114.604,67.07,426.48,217.87,96.87,149.82,66.52
2,605322.220876,49.826,72,119.501,20.973,73.874,114.514,67.294,426.19,217.94,96.97,149.85,66.65
3,605322.224912,49.999,75,119.529,20.902,73.893,114.955,67.138,426.2,217.88,96.96,150.37,66.58
4,605322.229022,50.104,74,119.439,20.923,73.887,115.197,67.281,426.08,217.91,96.96,150.69,66.73
5,605322.237674,50.271,74,119.37,21.035,73.737,115.367,67.429,425.99,218.06,96.76,150.91,66.88
6,605322.241274,50.242,72,119.243,21.097,73.79,115.378,67.43,425.79,218.15,96.85,150.84,66.9
7,605322.245492,50.135,74,119.097,21.203,73.858,115.227,67.449,425.58,218.33,96.89,150.61,67.0
8,605322.248799,50.189,76,119.078,21.228,73.811,115.285,67.337,425.61,218.31,96.86,150.82,66.78
9,605322.253314,50.106,74,118.873,21.409,73.698,114.908,67.648,425.32,218.55,96.73,150.25,67.08
10,605322.260886,50.135,74,118.84,21.485,73.602,114.827,67.708,425.3,218.65,96.59,150.22,67.16
11,605322.265388,50.393,71,118.943,21.456,73.49,115.275,67.637,425.4,218.59,96.53,150.78,67.14
12,605322.269145,50.37,71,118.908,21.463,73.532,115.286,67.721,425.35,218.63,96.51,150.72,67.18
13,605322.273569,50.188,76,118.792,21.532,73.532,114.846,67.76,425.24,218.71,96.5,150.24,67.21
14,605322.277495,50.148,74,118.781,21.492,73.565,114.801,67.682,425.25,218.65,96.52,150.28,67.13
15,605322.285671,50.177,73,118.78,21.513,73.512,114.788,67.708,425.22,218.69,96.47,150.17,67.16
16,605322.289569,50.486,69,118.944,21.522,73.272,115.159,67.742,425.43,218.7,96.15,150.65,67.2
17,605322.301091,50.209,75,119.044,21.352,73.525,114.884,67.681,425.59,218.44,96.51,150.33,67.07
18,605322.305816,50.196,79,119.129,21.31,73.553,114.898,67.6,425.68,218.42,96.52,150.31,67.05
19,605322.313234,50.102,75,119.22,21.255,73.66,114.839,67.465,425.84,218.3,96.66,150.36,66.82
20,605322.316635,50.029,73,119.268,21.238,73.736,114.783,67.501,425.86,218.33,96.76,150.15,66.94
21,605322.320934,50.248,72,119.646,21.008,73.767,115.356,67.113,426.27,218.03,96.89,150.63,66.49
22,605322.3251,49.903,76,119.586,20.987,73.95,114.814,66.955,426.3,217.97,97.04,150.26,66.34
23,605322.329278,49.908,76,119.724,20.878,74.015,114.929,66.793,426.45,217.85,97.11,150.35,66.23
24,605322.336966,49.808,74,119.824,20.836,74.089,114.805,66.776,426.59,217.79,97.21,150.19,66.21
25,605322.34262,49.827,78,119.987,20.741,74.064,114.809,66.681,426.82,217.64,97.21,150.22,66.04
26,605322.344724,49.779,77,120.097,20.642,74.061,114.693,66.512,426.94,217.54,97.17,150.03,65.94
27,605322.350153,49.732,77,120.26,20.554,74.133,114.694,66.312,427.15,217.42,97.26,150.04,65.73
28,605322.353247,49.846,77,120.47,20.476,74.102,114.913,66.209,427.43,217.32,97.21,150.32,65.63
29,605322.361383,49.742,79,120.573,20.422,74.161,114.758,66.121,427.56,217.25,97.29,150.11,65.54
30,605322.365787,49.728,76,120.705,20.37,74.152,114.712,66.057,427.74,217.18,97.28,150.06,65.47
31,605322.368899,49.79,73,120.832,20.307,74.116,114.802,66.044,427.9,217.1,97.23,150.17,65.46
32,605322.373587,49.854,74,120.97,20.21,74.104,114.935,65.833,428.08,216.97,97.21,150.34,65.25
33,605322.382414,49.667,77,120.999,20.179,74.209,114.656,65.595,428.12,216.93,97.34,149.98,65.01
34,605322.389782,49.734,75,121.132,20.082,74.222,114.835,65.405,428.3,216.8,97.36,150.22,64.82
35,605322.397702,49.721,76,121.178,20.056,74.263,114.867,65.277,428.36,216.77,97.41,150.26,64.69
36,605322.401708,49.944,69,121.354,20.016,74.195,115.292,65.334,428.59,216.71,97.32,150.82,64.75
37,605322.405347,49.798,76,121.141,20.139,74.146,114.868,65.438,428.33,216.86,97.25,150.32,64.83
38,605322.413637,49.883,72,121.221,20.042,74.173,115.114,65.246,428.41,216.75,97.29,150.58,64.66
39,605322.417485,49.885,73,121.127,20.117,74.105,115.011,65.42,428.29,216.85,97.21,150.44,64.84
40,605322.421487,50.003,73,121.066,20.121,74.023,115.166,65.442,428.22,216.82,97.14,150.68,64.8
41,605322.425324,49.908,75,120.931,20.226,74.046,114.974,65.597,428.06,216.98,97.12,150.48,64.99
42,605322.429203,49.911,73,120.835,20.304,74.009,114.923,65.779,427.91,217.1,97.08,150.33,65.2
43,605322.437009,50.015,74,120.819,20.313,74.027,115.2,65.983,427.91,217.09,97.11,150.76,65.38
44,605322.441101,49.986,74,120.673,20.387,74.047,115.164,66.22,427.69,217.2,97.14,150.64,65.65
45,605322.444732,49.916,75,120.52,20.415,74.103,115.084,66.197,427.49,217.24,97.22,150.54,65.62
46,605322.44908,49.779,74,120.231,20.618,74.03,114.643,66.589,427.12,217.51,97.13,149.96,66.02
47,605322.452758,49.836,73,120.149,20.628,74.054,114.816,66.605,427.01,217.52,97.16,150.2,66.03
48,605322.458161,50.188,72,120.244,20.553,73.961,115.515,66.547,427.13,217.42,97.04,151.11,65.99
49,605322.469571,49.99,72,119.817,20.87,73.92,114.974,66.981,426.51,217.88,97.02,150.2,66.44
50,605322.473149,49.984,73,119.694,20.975,73.953,115.012,66.954,426.45,217.96,97.01,150.56,66.38
