frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,608272.071757,55.117,66,-127.337,30.451,74.112,129.59,116.236,149.55,214.82,100.66,175.52,116.74
1,608272.075965,55.499,66,-127.803,30.59,73.301,129.412,116.629,148.86,215.03,99.44,175.26,117.2
2,608272.079288,55.426,66,-127.731,30.516,73.398,129.344,116.497,148.96,214.93,99.58,175.16,117.07
3,608272.086458,55.413,68,-127.781,30.436,73.469,129.425,116.634,148.89,214.81,99.67,175.28,117.21
4,608272.089723,54.09,65,-126.998,29.919,75.447,128.636,116.421,149.92,214.09,102.39,174.18,117.01
5,608272.094159,55.456,67,-127.671,30.441,73.653,129.892,116.523,149.07,214.74,100.14,175.84,117.04
6,608272.098718,55.143,63,-127.517,30.369,74.061,129.584,116.488,149.36,214.72,100.56,175.66,116.95
7,608272.10182,55.299,69,-127.782,30.457,73.637,129.347,116.669,148.98,214.84,100.03,175.01,117.2
8,608272.11007,54.287,66,-127.103,30.01,75.216,128.856,116.299,149.81,214.22,102.08,174.53,116.87
9,608272.113553,54.459,64,-127.259,30.062,75.007,129.036,116.401,149.63,214.3,101.8,174.84,116.96
10,608272.117968,55.455,66,-127.754,30.501,73.516,129.646,116.613,149.01,214.92,99.74,175.77,117.12
11,608272.122165,55.385,65,-127.922,30.504,73.367,129.154,116.814,148.69,214.91,99.53,174.9,117.4
12,608272.125671,55.494,65,-127.84,30.525,73.257,129.316,116.647,148.85,214.95,99.39,175.21,117.17
13,608272.134044,55.452,68,-127.742,30.549,73.319,129.287,116.509,149.0,215.0,99.47,175.08,117.05
14,608272.138405,55.467,68,-127.788,30.498,73.36,129.408,116.584,148.88,214.9,99.53,175.26,117.16
15,608272.142446,55.492,68,-127.766,30.599,73.251,129.297,116.527,148.94,215.06,99.39,175.01,117.08
16,608272.146068,54.334,67,-127.1,30.161,75.111,128.823,116.298,149.77,214.43,101.9,174.59,116.85
17,608272.150556,55.444,69,-127.755,30.553,73.551,129.671,116.53,148.97,214.96,99.87,175.6,117.06
18,608272.153233,55.456,66,-127.547,30.692,73.553,129.714,116.289,149.32,215.17,99.91,175.64,116.77
19,608272.169415,55.185,69,-127.824,30.657,73.871,129.389,116.561,148.91,215.13,100.27,175.21,117.07
20,608272.17397,55.303,68,-127.984,30.689,73.705,129.481,116.772,148.67,215.14,100.07,175.36,117.29
21,608272.178205,55.281,67,-128.041,30.716,73.738,129.467,116.813,148.55,215.22,100.0,175.3,117.36
22,608272.185817,54.336,67,-127.387,30.367,75.346,129.231,116.231,149.36,214.74,102.1,175.11,116.84
23,608272.190003,55.31,66,-127.782,30.745,73.965,129.959,116.37,148.93,215.22,100.44,175.97,116.9
24,608272.193916,54.079,63,-127.32,30.296,75.521,128.729,116.396,149.48,214.62,102.47,174.45,116.93
25,608272.198383,55.273,64,-127.619,30.872,73.83,129.603,116.111,149.24,215.39,100.37,175.43,116.59
26,608272.202703,55.254,66,-127.689,30.754,73.826,129.534,116.16,149.02,215.25,100.17,175.41,116.73
27,608272.210658,55.299,65,-127.699,30.697,73.696,129.453,116.237,149.06,215.17,100.01,175.38,116.75
28,608272.213784,55.366,66,-127.615,30.65,73.621,129.539,116.202,149.12,215.11,99.89,175.41,116.77
29,608272.218333,55.496,65,-127.936,30.531,73.342,129.473,116.59,148.68,214.94,99.49,175.34,117.17
30,608272.222297,55.533,67,-127.881,30.545,73.247,129.428,116.499,148.79,214.91,99.5,175.32,117.05
31,608272.226227,55.01,67,-127.438,30.425,74.013,129.07,116.333,149.41,214.78,100.53,174.83,116.84
32,608272.229239,54.306,66,-127.104,30.099,75.115,128.742,116.369,149.81,214.35,101.94,174.39,116.94
33,608272.239058,55.67,62,-128.11,30.464,73.094,129.608,117.049,148.62,214.86,99.3,175.58,117.47
