index,t_capture,skew_s,t_a,t_b
0,585949.005556,0.003959,585949.003576,585949.007535
1,585949.011902,0.000906,585949.012355,585949.011449
2,585949.015988,0.000538,585949.016257,585949.015719
3,585949.022155,0.004257,585949.024283,585949.020026
4,585949.027904,0.000889,585949.027460,585949.028349
5,585949.031994,0.000888,585949.032438,585949.031550
6,585949.036410,0.000752,585949.036786,585949.036033
7,585949.040233,0.000817,585949.040642,585949.039824
8,585949.045675,0.004119,585949.047735,585949.043615
9,585949.051559,0.000886,585949.052002,585949.051117
10,585949.055786,0.001180,585949.056376,585949.055196
11,585949.059743,0.000927,585949.060207,585949.059280
12,585949.063554,0.000829,585949.063969,585949.063139
13,585949.067375,0.000701,585949.067725,585949.067024
14,585949.074033,0.003998,585949.076032,585949.072033
15,585949.080050,0.000872,585949.080486,585949.079613
16,585949.084261,0.000612,585949.084567,585949.083955
17,585949.090575,0.000186,585949.090668,585949.090482
18,585949.093799,0.000237,585949.093681,585949.093918
19,585949.105042,0.001263,585949.105674,585949.104410
20,585949.106455,0.000960,585949.106935,585949.105975
21,585949.107480,0.000475,585949.107717,585949.107242
22,585949.112844,0.000715,585949.112486,585949.113201
23,585949.119274,0.003668,585949.121109,585949.117440
24,585949.123591,0.003525,585949.125353,585949.121828
25,585949.129851,0.000929,585949.129386,585949.130315
26,585949.133750,0.000797,585949.133351,585949.134148
27,585949.137590,0.000378,585949.137400,585949.137779
28,585949.140409,0.000755,585949.140031,585949.140786
29,585949.146760,0.000772,585949.146374,585949.147145
30,585949.160096,0.001604,585949.160898,585949.159294
31,585949.162254,0.000950,585949.161779,585949.162730
32,585949.164720,0.004401,585949.162520,585949.166920
33,585949.167477,0.008459,585949.163248,585949.171707
34,585949.173274,0.011359,585949.167594,585949.178954
35,585949.179704,0.007716,585949.175845,585949.183562
36,585949.183954,0.008534,585949.179687,585949.188221
37,585949.188689,0.008925,585949.184227,585949.193151
38,585949.192815,0.006484,585949.189573,585949.196057
39,585949.200890,0.014874,585949.193453,585949.208327
40,585949.208946,0.002518,585949.207687,585949.210205
41,585949.211607,0.002262,585949.210476,585949.212738
42,585949.216827,0.006490,585949.213582,585949.220072
43,585949.220933,0.000342,585949.220762,585949.221105
44,585949.222773,0.002823,585949.221362,585949.224185
45,585949.230172,0.003548,585949.228398,585949.231946
46,585949.234154,0.003333,585949.232488,585949.235821
47,585949.239545,0.004701,585949.237195,585949.241895
48,585949.242499,0.000231,585949.242384,585949.242615
49,585949.246614,0.006766,585949.243231,585949.249998
50,585949.256840,0.000449,585949.257064,585949.256615
51,585949.258202,0.000501,585949.257951,585949.258452
52,585949.262685,0.006926,585949.259222,585949.266148
53,585949.267972,0.004024,585949.265960,585949.269984
54,585949.271509,0.003453,585949.269782,585949.273236
55,585949.277465,0.000675,585949.277803,585949.277128
56,585949.286546,0.000151,585949.286471,585949.286622
57,585949.287255,0.000564,585949.286973,585949.287537
58,585949.290525,0.004098,585949.288476,585949.292574
59,585949.295022,0.002822,585949.293610,585949.296433
60,585949.302028,0.009468,585949.297294,585949.306762
61,585949.308878,0.001486,585949.308135,585949.309621
62,585949.312257,0.000233,585949.312141,585949.312374
63,585949.316013,0.005528,585949.313249,585949.318777
64,585949.319323,0.000608,585949.319019,585949.319627
65,585949.323049,0.004968,585949.320564,585949.325533
66,585949.331067,0.003368,585949.329383,585949.332751
67,585949.335023,0.003083,585949.333482,585949.336565
68,585949.338703,0.002668,585949.337369,585949.340038
69,585949.343301,0.005390,585949.340606,585949.345996
70,585949.347309,0.004210,585949.345204,585949.349415
71,585949.352378,0.000638,585949.352697,585949.352059
72,585949.359643,0.004947,585949.357170,585949.362117
73,585949.363303,0.004126,585949.361240,585949.365366
74,585949.366692,0.004133,585949.364625,585949.368758
75,585949.370257,0.004326,585949.368094,585949.372420
76,585949.375554,0.004671,585949.373218,585949.377889
77,585949.382875,0.003521,585949.381114,585949.384636
78,585949.387382,0.003935,585949.385415,585949.389350
79,585949.392014,0.003467,585949.390281,585949.393748
80,585949.395216,0.003574,585949.393429,585949.397003
81,585949.399074,0.005527,585949.396311,585949.401838
82,585949.407871,0.005229,585949.405257,585949.410485
83,585949.414401,0.003297,585949.412753,585949.416049
84,585949.420592,0.013451,585949.413867,585949.427318
85,585949.427646,0.001598,585949.426847,585949.428445
86,585949.428574,0.001769,585949.427690,585949.429459
87,585949.431766,0.003778,585949.433655,585949.429877
88,585949.436454,0.000988,585949.436948,585949.435960
89,585949.439846,0.000858,585949.440275,585949.439416
90,585949.443916,0.000920,585949.443456,585949.444376
91,585949.448035,0.000927,585949.448498,585949.447571
92,585949.454056,0.003888,585949.456000,585949.452112
93,585949.459251,0.000650,585949.459576,585949.458926
94,585949.463966,0.000698,585949.464315,585949.463617
95,585949.469000,0.000739,585949.469369,585949.468630
96,585949.472501,0.000534,585949.472235,585949.472768
97,585949.479544,0.004322,585949.481705,585949.477383
98,585949.487679,0.001085,585949.487137,585949.488222
99,585949.492065,0.000536,585949.491797,585949.492333
