freq_hz,n_repeats,rot_median_deg,rot_mad_deg,n_modal,modal_frac,modal_mean_deg,modal_sd_deg,n_outlier,rot_mean_deg,rot_var_deg2,rot_sd_deg,rot_sem_deg,rate_relu_med,rate_relu_mad,relu_lag_ms,rate_fit_med,rate_fit_mad,rate_mean_deg_s,rate_var,rate_sd_deg_s,n_rate,rotation_deg,sem_deg,sigma,t10_s,t90_s,rate_jump_deg_s,period_s,zeta,n_precondition_fail
10.0,10,11.007,12.952,6,0.6,7.251,5.168,3,43.75,3041.4723,55.15,17.44,nan,nan,nan,43.001,26.789,179.131,57280.915,239.334,6,34.618,15.8332,2.2,nan,nan,nan,nan,1.75,0
20.0,10,21.624,21.382,5,0.5,24.197,10.113,2,29.665,1131.4376,33.637,10.637,879.574,485.115,39.2,14.592,3.94,329.581,6904.259,83.092,5,28.318,10.6033,2.7,nan,nan,nan,nan,1.276,0
30.0,10,25.554,7.666,7,0.7,22.768,3.408,2,40.623,1551.5895,39.39,12.456,405.534,184.035,12.3,66.487,7.747,347.91,10734.492,103.607,7,40.628,12.2893,3.3,0.0,0.44,124.535,nan,1.018,0
40.0,10,22.73,2.966,8,0.8,23.002,2.684,2,22.565,84.1871,9.175,2.902,564.603,85.909,15.4,72.538,32.455,383.751,11999.275,109.541,8,21.979,2.4128,9.1,0.0,0.12,86.957,nan,1.128,0
50.0,8,31.831,4.794,6,0.75,33.451,6.469,2,45.117,2263.8203,47.58,16.822,992.013,59.63,22.0,97.506,17.326,493.348,33299.325,182.481,6,44.852,16.8148,2.7,nan,nan,nan,nan,1.099,0
60.0,10,26.256,10.318,7,0.7,27.649,5.623,2,47.933,2494.9652,49.95,15.795,992.198,209.995,18.7,91.321,10.281,512.467,27217.707,164.978,7,47.519,15.5242,3.1,0.0,0.39,77.696,nan,1.132,0
70.0,10,27.559,15.579,6,0.6,26.276,6.755,2,52.325,3269.0279,57.175,18.08,981.516,187.566,7.2,92.43,10.977,658.811,43828.798,209.353,6,51.949,17.884,2.9,nan,nan,nan,nan,1.212,1
