freq_hz,n_repeats,settle_10pct_med_s,settle_10pct_mad_s,n_settled,n_refused,rise_1090_med_s,rise_1090_mad_s,n_rise,swing_med_deg,swing_mad_deg,d_radial_med_deg,d_azim_med_deg,cone_pre_med_deg,cone_post_med_deg,cone_peak_med_deg,cone_final_med_deg,cone_settle_med_s,cone_settle_mad_s,n_cone_settled,cone_tau_med_s,cone_tau_mad_s,n_cone_tau,cone_med_hz,cone_over_drive,circ_ratio_med,mech_med_hz
10.0,10,nan,nan,0,10,nan,nan,0,9.842,3.724,0.43,10.912,16.097,12.469,30.026,15.59,nan,nan,0,0.664,0.4068,7,10.0,1.0,1.56,1.76
20.0,10,1.4156,0.7308,8,2,0.4649,0.0762,7,12.651,3.984,5.095,21.919,5.087,4.165,9.457,4.473,2.099,0.0,1,0.6932,0.2442,9,20.0,1.0,3.83,3.55
30.0,10,0.942,0.2894,8,2,0.3727,0.0845,5,12.502,1.783,-0.376,-1.146,1.273,2.577,7.412,2.628,1.9367,0.2542,4,0.6664,0.2998,10,29.92,0.997,1.92,3.395
40.0,10,1.9554,0.1728,6,4,0.3392,0.0113,4,12.724,0.803,2.718,-11.025,0.695,2.029,4.888,2.204,2.3779,0.6777,4,0.2165,0.0762,9,50.65,1.266,1.73,3.24
50.0,8,1.1389,0.4345,7,1,0.2773,0.0254,5,14.479,1.963,-2.14,-15.58,0.582,1.497,6.261,1.567,1.6316,0.7648,7,0.3056,0.0696,7,50.0,1.0,3.09,3.085
60.0,10,0.9947,0.3233,10,0,0.3613,0.0745,2,14.976,1.774,-0.841,-5.825,0.532,1.304,7.268,1.388,0.9367,0.3027,10,0.2708,0.0943,10,59.95,0.999,4.18,2.93
70.0,10,0.7979,0.0845,6,4,0.2931,0.0213,4,14.384,0.695,5.719,-4.866,0.763,1.379,7.824,1.345,0.7841,0.388,9,0.1745,0.0144,9,70.0,1.0,1.46,2.775
