frame,t,nx,ny,nz,agree_deg
109,577461.593032,0.26512,-0.82962,-0.49138,4.04
110,577461.60243,0.26719,-0.83373,-0.48322,5.17
111,577461.605237,0.26567,-0.83447,-0.48278,3.53
112,577461.609699,0.26466,-0.8378,-0.47754,3.64
113,577461.615189,0.26584,-0.84228,-0.46892,3.83
114,577461.616928,0.27257,-0.84003,-0.4691,3.64
115,577461.634254,0.28788,-0.84143,-0.4573,3.14
116,577461.637776,0.29347,-0.83913,-0.45796,2.85
117,577461.642024,0.29694,-0.84145,-0.45143,2.99
118,577461.650277,0.3022,-0.84011,-0.45043,3.17
119,577461.653438,0.30855,-0.83746,-0.45106,3.32
120,577461.657607,0.30544,-0.83695,-0.45412,3.8
121,577461.660771,0.31403,-0.83346,-0.45468,3.49
122,577461.665643,0.32052,-0.83322,-0.45057,3.94
123,577461.669957,0.34217,-0.83741,-0.42621,4.42
124,577461.677408,0.36512,-0.83877,-0.40391,4.42
125,577461.680986,0.38125,-0.83841,-0.3895,3.92
126,577461.685416,0.38874,-0.84133,-0.37555,3.84
127,577461.690251,0.39389,-0.84327,-0.36571,4.17
128,577461.693406,0.38185,-0.84508,-0.37421,3.01
129,577461.701746,0.37372,-0.84863,-0.37437,3.76
130,577461.706491,0.36405,-0.84976,-0.38128,4.01
131,577461.717834,0.33226,-0.84946,-0.40991,4.13
132,577461.726663,0.32383,-0.84761,-0.42035,4.35
133,577461.729653,0.32808,-0.84936,-0.41346,3.98
134,577461.733642,0.32725,-0.85019,-0.4124,4.2
135,577461.737111,0.3325,-0.85221,-0.40395,4.49
136,577461.742363,0.3293,-0.85473,-0.40124,3.92
137,577461.745373,0.33721,-0.85437,-0.39541,4.15
138,577461.754582,0.34097,-0.84965,-0.40228,4.16
139,577461.757339,0.33651,-0.8508,-0.40362,3.68
140,577461.761144,0.33986,-0.84751,-0.40772,4.13
141,577461.766434,0.3378,-0.84393,-0.41674,4.3
142,577461.769116,0.32864,-0.84231,-0.4272,3.68
143,577461.777637,0.32688,-0.83743,-0.43803,3.93
144,577461.781706,0.31995,-0.83752,-0.44293,4.25
145,577461.785257,0.31633,-0.83273,-0.45442,4.03
146,577461.798273,0.30158,-0.83009,-0.46904,4.57
