# skew_n, 782
# skew_median_ms, 0.9779579995665699
# skew_p95_ms, 8.047519042156635
# skew_max_ms, 71.81041699368507
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
0,356641.018765,0.000978,356641.019254,356641.018276
1,356641.059247,0.000968,356641.059731,356641.058763
2,356641.082734,0.000889,356641.082289,356641.083178
3,356641.105147,0.004292,356641.103001,356641.107293
4,356641.119289,0.006060,356641.122319,356641.116259
5,356641.145230,0.000998,356641.144731,356641.145729
6,356641.165685,0.007661,356641.169515,356641.161855
7,356641.186464,0.000950,356641.186939,356641.185989
8,356641.208283,0.000987,356641.208776,356641.207790
9,356641.226092,0.000515,356641.225834,356641.226350
10,356641.247660,0.001017,356641.248168,356641.247151
11,356641.267905,0.007532,356641.271671,356641.264139
12,356641.290970,0.000828,356641.290556,356641.291384
13,356641.313633,0.001062,356641.314164,356641.313102
14,356641.330056,0.001102,356641.329505,356641.330607
15,356641.350074,0.008347,356641.354247,356641.345900
16,356641.377811,0.001120,356641.378371,356641.377251
17,356641.393601,0.000765,356641.393984,356641.393218
18,356641.419010,0.000993,356641.419507,356641.418513
19,356641.433580,0.000964,356641.433098,356641.434062
20,356641.458152,0.000965,356641.458635,356641.457670
21,356641.478724,0.003077,356641.477186,356641.480262
22,356641.497837,0.000860,356641.498267,356641.497407
23,356641.516411,0.006709,356641.513056,356641.519765
24,356641.536002,0.000957,356641.535524,356641.536481
25,356641.553783,0.000951,356641.553307,356641.554258
26,356641.567356,0.006601,356641.564055,356641.570656
27,356641.593452,0.015163,356641.601033,356641.585870
28,356641.616537,0.000917,356641.616996,356641.616079
29,356641.641156,0.001773,356641.642043,356641.640270
30,356641.659083,0.000964,356641.658601,356641.659565
31,356641.678903,0.009437,356641.683621,356641.674184
32,356641.698006,0.000913,356641.697550,356641.698462
33,356641.713025,0.001042,356641.713546,356641.712504
34,356641.738712,0.001188,356641.738118,356641.739306
35,356641.762666,0.000872,356641.762230,356641.763101
36,356641.778307,0.000959,356641.777827,356641.778787
37,356641.793841,0.000843,356641.794262,356641.793420
38,356641.817272,0.000881,356641.817712,356641.816831
39,356641.843825,0.001054,356641.844352,356641.843298
40,356641.858153,0.001050,356641.857628,356641.858678
41,356641.882911,0.001150,356641.882335,356641.883486
42,356641.902242,0.003235,356641.900625,356641.903859
43,356641.922689,0.000925,356641.922227,356641.923151
44,356641.943655,0.000818,356641.944064,356641.943246
45,356641.962247,0.000944,356641.962720,356641.961775
46,356641.980765,0.007926,356641.984728,356641.976802
47,356642.003190,0.000881,356642.002750,356642.003631
48,356642.019370,0.001303,356642.020021,356642.018718
49,356642.039412,0.000937,356642.039881,356642.038944
50,356642.061421,0.004603,356642.059120,356642.063723
51,356642.081316,0.001249,356642.080691,356642.081940
52,356642.103989,0.000967,356642.104472,356642.103505
53,356642.119908,0.001059,356642.119379,356642.120438
54,356642.145383,0.000899,356642.145833,356642.144934
55,356642.164751,0.000976,356642.164263,356642.165239
56,356642.187045,0.000951,356642.187520,356642.186569
57,356642.202970,0.000895,356642.203417,356642.202522
58,356642.224577,0.000935,356642.225045,356642.224110
59,356642.248723,0.000955,356642.249201,356642.248246
60,356642.263576,0.010338,356642.268745,356642.258407
61,356642.287097,0.007139,356642.283527,356642.290666
62,356642.308143,0.000916,356642.308601,356642.307685
63,356642.329299,0.000879,356642.328860,356642.329739
64,356642.344317,0.000986,356642.343824,356642.344810
65,356642.367941,0.000972,356642.368427,356642.367455
66,356642.386432,0.000915,356642.386890,356642.385975
67,356642.409573,0.000947,356642.410046,356642.409099
68,356642.425058,0.000931,356642.424593,356642.425524
69,356642.445564,0.007269,356642.441930,356642.449199
70,356642.465098,0.000956,356642.465576,356642.464620
71,356642.478778,0.007168,356642.475194,356642.482362
72,356642.506379,0.000829,356642.506793,356642.505964
73,356642.521310,0.001014,356642.521817,356642.520803
74,356642.545214,0.000898,356642.545663,356642.544765
75,356642.560993,0.000930,356642.561458,356642.560529
76,356642.585071,0.000948,356642.585545,356642.584597
77,356642.601469,0.000938,356642.601000,356642.601938
78,356642.619587,0.001036,356642.619069,356642.620105
79,356642.643381,0.000803,356642.643783,356642.642980
80,356642.664032,0.001005,356642.664535,356642.663530
81,356642.681099,0.000964,356642.681581,356642.680616
82,356642.701250,0.009211,356642.696645,356642.705855
83,356642.718501,0.008609,356642.722806,356642.714197
84,356642.745903,0.000946,356642.745430,356642.746376
85,356642.768169,0.001012,356642.768675,356642.767663
86,356642.783922,0.000977,356642.784411,356642.783433
87,356642.802285,0.001032,356642.802802,356642.801769
88,356642.825539,0.000934,356642.825072,356642.826006
89,356642.841265,0.000954,356642.841742,356642.840788
90,356642.866259,0.000941,356642.865788,356642.866730
91,356642.882022,0.001130,356642.881457,356642.882587
92,356642.905288,0.000910,356642.905743,356642.904832
