frame,t,nx,ny,nz,agree_deg
0,576574.572214,0.32256,-0.85946,-0.39659,3.53
1,576574.576863,0.31548,-0.8613,-0.39828,2.84
2,576574.584428,0.33097,-0.85253,-0.40453,3.85
3,576574.588654,0.3157,-0.86122,-0.39829,2.75
4,576574.592442,0.33027,-0.85034,-0.40968,3.76
5,576574.596931,0.32789,-0.84572,-0.42101,3.49
6,576574.599702,0.32959,-0.85058,-0.40973,3.53
7,576574.608885,0.32756,-0.85021,-0.41212,3.67
8,576574.612498,0.31926,-0.86197,-0.3938,3.31
9,576574.616865,0.31371,-0.85969,-0.40314,2.95
10,576574.620835,0.31833,-0.86057,-0.39761,3.2
11,576574.624282,0.3221,-0.85691,-0.40245,2.98
12,576574.629137,0.32151,-0.85513,-0.40668,4.47
13,576574.636587,0.31932,-0.86302,-0.39145,3.8
14,576574.640973,0.31807,-0.86126,-0.3963,3.06
15,576574.645452,0.3185,-0.85122,-0.4171,3.24
16,576574.647717,0.31702,-0.86242,-0.39463,3.14
17,576574.665312,0.31274,-0.86127,-0.40051,5.29
18,576574.668227,0.31747,-0.85792,-0.40396,2.64
19,576574.672937,0.3331,-0.84666,-0.41498,3.57
20,576574.677202,0.3195,-0.85766,-0.40291,2.87
21,576574.684521,0.33182,-0.84909,-0.41102,3.9
22,576574.68921,0.31465,-0.86008,-0.40156,2.67
23,576574.692483,0.32932,-0.85074,-0.40962,3.66
24,576574.697069,0.31738,-0.85868,-0.40242,2.77
25,576574.700422,0.31539,-0.85939,-0.40247,2.71
26,576574.705159,0.3255,-0.85317,-0.40761,5.04
27,576574.712636,0.32028,-0.85626,-0.40526,2.71
28,576574.716422,0.31652,-0.85272,-0.41555,4.04
29,576574.720687,0.33726,-0.85414,-0.39585,5.03
30,576574.724496,0.31788,-0.85399,-0.41189,4.69
31,576574.728498,0.3216,-0.85667,-0.40335,3.77
32,576574.73626,0.31379,-0.86079,-0.40072,2.85
33,576574.748683,0.32054,-0.8615,-0.39378,4.01
34,576574.751718,0.31395,-0.85452,-0.41379,4.11
35,576574.761697,0.31779,-0.85839,-0.40271,5.44
36,576574.764277,0.32036,-0.85738,-0.40283,3.55
37,576574.768912,0.32037,-0.85498,-0.40788,4.95
38,576574.772783,0.3219,-0.85938,-0.39729,4.05
39,576574.776056,0.3175,-0.85678,-0.40636,4.96
40,576574.780636,0.3253,-0.85733,-0.39895,4.43
41,576574.789359,0.32343,-0.8563,-0.40266,4.14
42,576574.792336,0.31811,-0.85566,-0.40822,5.14
43,576574.796434,0.31932,-0.85522,-0.4082,5.31
44,576574.800169,0.31797,-0.85474,-0.41025,5.18
45,576574.803915,0.31685,-0.85603,-0.40844,5.17
46,576574.812466,0.31706,-0.85536,-0.40968,5.18
47,576574.816372,0.31764,-0.85641,-0.40703,5.54
48,576574.82025,0.31538,-0.85687,-0.40781,5.29
49,576574.828468,0.31451,-0.85704,-0.40812,5.23
50,576574.836446,0.31444,-0.85828,-0.40556,5.39
51,576574.840451,0.31415,-0.85557,-0.41147,4.94
52,576574.844083,0.31593,-0.85512,-0.41104,5.11
53,576574.848485,0.31368,-0.85642,-0.41007,5.23
54,576574.852128,0.31197,-0.8572,-0.40972,4.94
55,576574.857312,0.31277,-0.8575,-0.40848,5.19
56,576574.865115,0.31286,-0.85568,-0.41222,5.1
57,576574.869005,0.31526,-0.85735,-0.4069,5.05
58,576574.872417,0.30939,-0.8588,-0.40834,5.17
59,576574.876131,0.31009,-0.85736,-0.41083,5.1
60,576574.881575,0.31079,-0.85824,-0.40845,5.05
61,576574.889808,0.30827,-0.85846,-0.40989,5.12
62,576574.892187,0.30991,-0.85551,-0.41479,4.75
63,576574.896702,0.30613,-0.86012,-0.40801,5.11
64,576574.90013,0.30414,-0.85743,-0.41511,4.39
65,576574.904408,0.30904,-0.85554,-0.41539,5.37
66,576574.920858,0.30381,-0.8588,-0.41251,4.66
67,576574.92424,0.30301,-0.8555,-0.41988,5.37
68,576574.928317,0.30178,-0.86046,-0.41053,4.82
69,576574.932836,0.29534,-0.85524,-0.42585,5.52
70,576574.940229,0.29167,-0.86047,-0.41775,5.8
71,576574.944111,0.29701,-0.85846,-0.41813,5.29
72,576574.948345,0.29994,-0.85926,-0.41438,4.71
73,576574.952232,0.29503,-0.85863,-0.41919,5.42
74,576574.95599,0.29632,-0.85787,-0.41983,5.07
75,576574.964307,0.29807,-0.86211,-0.40979,4.58
76,576574.968605,0.30144,-0.86143,-0.40875,4.08
77,576574.971983,0.28487,-0.86064,-0.42207,5.97
78,576574.975752,0.29148,-0.85697,-0.42502,5.41
79,576574.97965,0.28824,-0.86449,-0.4118,4.41
80,576574.984664,0.29018,-0.85774,-0.42436,5.26
81,576574.992657,0.27709,-0.86318,-0.42207,5.9
82,576575.005022,0.29338,-0.86164,-0.41412,3.78
83,576575.008413,0.28601,-0.85998,-0.42266,5.27
84,576575.017722,0.28609,-0.85945,-0.42368,5.3
85,576575.020754,0.29537,-0.8584,-0.41941,4.2
86,576575.025233,0.29631,-0.86234,-0.41058,3.85
87,576575.027916,0.29899,-0.86227,-0.40877,3.27
88,576575.03194,0.29907,-0.86157,-0.4102,3.25
89,576575.041761,0.29927,-0.86147,-0.41025,3.22
90,576575.044237,0.29903,-0.86132,-0.41074,3.12
91,576575.04878,0.29926,-0.86253,-0.40802,3.0
92,576575.053001,0.30514,-0.85715,-0.41494,3.05
93,576575.05556,0.31016,-0.8567,-0.41214,2.51
94,576575.060168,0.30492,-0.85822,-0.41289,2.75
95,576575.06848,0.30746,-0.85827,-0.4109,2.62
96,576575.072458,0.30226,-0.85973,-0.4117,2.68
97,576575.076568,0.30352,-0.85807,-0.41423,2.91
98,576575.085057,0.30421,-0.8579,-0.41408,2.82
99,576575.091973,0.30257,-0.85765,-0.4158,3.1
100,576575.096985,0.29974,-0.85868,-0.41572,2.9
101,576575.100258,0.30136,-0.85752,-0.41695,3.1
102,576575.104101,0.30303,-0.85785,-0.41504,2.89
