frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,607142.66589,54.792,66,-128.936,27.798,74.505,129.228,117.805,147.42,211.25,101.08,175.15,118.3
1,607142.675162,54.742,70,-128.924,27.788,74.563,129.167,117.789,147.34,211.21,101.16,174.9,118.37
2,607142.679596,54.279,70,-128.812,27.52,75.269,128.92,117.758,147.5,210.84,102.15,174.57,118.35
3,607142.68393,54.902,66,-129.238,27.684,74.275,129.18,118.043,147.0,211.08,100.8,175.05,118.55
4,607142.686836,54.117,66,-128.57,27.441,75.477,128.772,117.433,147.83,210.73,102.44,174.37,118.02
5,607142.690609,54.88,64,-129.129,27.817,74.071,128.753,117.809,147.08,211.27,100.49,174.24,118.38
6,607142.698634,54.923,70,-129.054,27.785,74.117,128.972,117.733,147.2,211.25,100.52,174.53,118.27
7,607142.703622,54.861,74,-128.849,27.745,74.319,129.124,117.5,147.52,211.07,101.08,174.85,118.04
8,607142.707716,54.973,69,-128.872,27.745,74.178,129.237,117.513,147.48,211.17,100.61,175.32,118.03
9,607142.710716,54.257,70,-128.63,27.388,75.302,128.909,117.453,147.75,210.65,102.21,174.54,118.04
10,607142.714031,54.466,66,-128.833,27.482,74.969,128.993,117.646,147.52,210.77,101.82,174.7,118.18
11,607142.718019,54.905,68,-129.125,27.752,74.288,129.209,117.788,147.08,211.15,100.76,175.14,118.35
12,607142.726021,54.246,70,-128.787,27.471,75.413,129.064,117.671,147.58,210.75,102.44,174.76,118.22
13,607142.73058,54.806,68,-129.164,27.797,74.37,129.036,117.977,147.01,211.22,100.89,174.72,118.57
14,607142.734016,54.551,70,-128.962,27.679,74.891,129.128,117.831,147.3,211.05,101.63,174.85,118.41
15,607142.739752,55.022,64,-129.561,27.761,74.159,129.366,118.535,146.52,211.19,100.59,175.28,119.08
16,607142.742884,54.768,70,-129.126,27.955,74.455,129.063,118.042,147.07,211.44,101.0,174.76,118.62
17,607142.750902,54.517,69,-129.025,27.787,74.932,129.092,118.009,147.27,211.18,101.78,174.81,118.53
18,607142.762895,54.79,68,-129.157,27.95,74.301,128.867,118.028,147.02,211.44,100.78,174.49,118.62
19,607142.765963,54.551,71,-128.864,27.775,74.869,129.088,117.732,147.45,211.13,101.74,174.76,118.33
20,607142.77007,54.181,70,-128.669,27.562,75.475,128.968,117.633,147.69,210.89,102.43,174.63,118.23
21,607142.778718,54.739,66,-128.759,27.906,74.4,128.875,117.486,147.63,211.44,100.88,174.53,117.94
22,607142.782151,54.904,68,-128.931,27.787,74.113,128.903,117.743,147.32,211.21,100.54,174.53,118.33
23,607142.786856,54.209,71,-128.45,27.387,75.444,129.002,117.325,148.05,210.64,102.48,174.74,117.86
24,607142.790422,54.427,68,-128.596,27.514,75.051,129.013,117.386,147.79,210.83,101.86,174.69,117.97
25,607142.795278,54.963,66,-128.986,27.836,73.994,128.887,117.748,147.37,211.31,100.47,174.42,118.21
26,607142.80279,55.074,65,-129.082,27.768,73.929,129.131,117.883,147.25,211.21,100.41,174.7,118.37
27,607142.807008,55.055,68,-128.696,27.76,74.16,129.471,117.403,147.68,211.19,100.64,175.22,117.97
28,607142.811922,55.034,67,-129.069,27.713,73.85,128.863,117.93,147.2,211.1,100.25,174.54,118.43
29,607142.814853,54.445,70,-128.696,27.36,75.044,129.056,117.55,147.66,210.62,101.85,174.75,118.13
30,607142.819084,54.365,69,-128.757,27.333,75.21,129.089,117.643,147.58,210.58,102.09,174.79,118.23
31,607142.827085,54.869,70,-129.114,27.704,74.301,129.12,117.91,147.14,211.01,101.01,174.92,118.48
32,607142.830886,54.806,70,-129.3,27.676,74.344,128.993,118.135,146.88,211.06,100.86,174.76,118.67
33,607142.834218,54.745,67,-129.243,27.789,74.363,128.829,117.974,146.9,211.22,100.87,174.43,118.56
34,607142.846374,54.111,70,-128.93,27.455,75.609,128.977,117.922,147.34,210.75,102.57,174.79,118.52
