aborted_unsafe,cost,direction,feasible,mean_spread,overcurrent_frac,q_spread,r_duty,sat_frac,trial
False,0.14785714285714285,cw,True,0.07642857142857143,0.0,50.0,0.1,0.14285714285714285,1
False,0.1982857142857143,cw,True,0.09114285714285715,0.0,75.0,0.1,0.21428571428571427,2
False,0.19514285714285715,cw,True,0.08800000000000001,0.0,33.33333333333333,0.1,0.21428571428571427,3
False,0.19557142857142856,cw,True,0.08842857142857141,0.0,62.5,0.1,0.21428571428571427,4
False,0.22314285714285714,cw,True,0.09814285714285713,0.0,40.0,0.1,0.25,5
False,0.2122857142857143,cw,True,0.08728571428571429,0.0,56.25,0.1,0.25,6
False,0.219,cw,True,0.094,0.0,44.44444444444444,0.1,0.25,7
False,0.20885714285714285,cw,True,0.08385714285714285,0.0,50.0,0.15000000000000002,0.25,8
False,0.20766666666666667,cw,True,0.08266666666666667,0.0,50.0,0.06666666666666667,0.25,9
False,0.21571428571428572,cw,True,0.09071428571428572,0.0,50.0,0.125,0.25,10
False,0.215,cw,True,0.09,0.0,50.0,0.08000000000000002,0.25,11
False,0.19,cw,True,0.06499999999999999,0.0,50.0,0.1125,0.25,12
False,0.20071428571428573,cw,True,0.07571428571428572,0.0,50.0,0.08888888888888889,0.25,13
False,0.2692857142857143,cw,True,0.1442857142857143,0.0,50.0,0.1,0.25,14
