freq_hz,repeat,take,p_pos,p_neg,log_ratio,sense,n,ramp_log_ratio,ramp_sense,ramp_n,swing_deg,modal,amp_deg
80.0,2,2026-09-12_192946,0.00112,0.00119,-0.03,-,398,-0.06,-,870,0.282,True,-0.575113582082851
80.0,3,2026-09-12_193102,0.00814,0.00714,0.06,+,381,0.29,+,917,12.813,False,32.29827004781363
80.0,4,2026-09-12_193217,0.00056,0.00172,-0.49,-,324,0.03,+,934,0.172,True,-0.02308271024746683
80.0,5,2026-09-13_000039,0.00535,0.00426,0.1,+,399,0.35,+,878,13.243,False,35.06914022259437
80.0,6,2026-09-13_000214,0.00133,0.0009,0.17,+,393,0.23,+,706,0.158,True,0.006553839772550307
80.0,7,2026-09-13_000348,0.00402,0.00411,-0.01,-,382,0.42,+,925,11.678,False,42.06302028018105
80.0,8,2026-09-13_000921,0.00699,0.00921,-0.12,-,398,0.38,+,946,1.142,False,-16.09672346629479
80.0,9,2026-09-13_001828,0.0072,0.01024,-0.15,-,399,0.38,+,935,0.661,True,-12.974408758977738
80.0,10,2026-09-13_002716,0.00377,0.00445,-0.07,-,400,0.1,+,945,0.187,True,-0.49064516316079954
80.0,11,2026-09-13_003534,0.00535,0.00413,0.11,+,400,0.44,+,950,11.5,False,42.718052184739356
90.0,1,2026-09-13_004905,0.0053,0.00658,-0.09,-,400,-0.0,-,830,1.278,True,-12.434494390050354
90.0,2,2026-09-13_010221,0.00519,0.00427,0.08,+,400,-0.35,-,653,0.488,True,-2.497468469749776
90.0,3,2026-09-13_011559,0.00313,0.00396,-0.1,-,400,-0.38,-,1001,11.566,False,22.330350977493914
90.0,4,2026-09-13_012952,0.05772,0.05586,0.01,+,372,0.18,+,1000,7.503,False,-51.28020143837402
90.0,5,2026-09-13_014331,0.0059,0.00669,-0.05,-,399,0.57,+,1006,84.13,False,91.7199241994891
100.0,1,2026-09-13_020355,0.00134,0.00133,0.0,+,399,0.28,+,1065,3.358,True,0.9003293489193053
100.0,2,2026-09-13_022120,0.00176,0.00132,0.13,+,399,-0.41,-,1064,10.5,True,24.130013498580453
100.0,3,2026-09-13_023858,0.00223,0.0017,0.12,+,399,0.32,+,1053,11.763,False,37.316207572015585
100.0,4,2026-09-13_025623,0.00252,0.00275,-0.04,-,400,0.3,+,1065,11.942,,
100.0,5,2026-09-13_031352,0.00178,0.00167,0.03,+,228,0.25,+,1061,0.357,True,0.14281443357180346
110.0,1,2026-09-13_033303,0.00257,0.00344,-0.13,-,400,0.56,+,1121,9.759,True,34.21569499972651
110.0,2,2026-09-13_035033,0.02742,0.02018,0.13,+,400,-0.13,-,1124,17.075,True,30.940735488604254
110.0,3,2026-09-13_040810,0.00223,0.00216,0.01,+,400,0.47,+,1123,9.807,True,30.024620494871545
110.0,4,2026-09-13_042552,0.00288,0.00241,0.08,+,401,-0.46,-,1122,14.323,True,22.063768447043202
110.0,5,2026-09-13_044258,0.0029,0.00296,-0.01,-,400,0.33,+,541,9.858,True,23.4810802403514
