Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.10500000,0.26023133,0.29932554,0.24909207,0.13599048
0.10600000,0.32190924,0.20651875,0.19986572,0.15259255
0.10700000,0.28431043,0.34519486,0.26163518,0.13296915
0.10800000,0.31638539,0.29383221,0.21594897,0.15915403
0.10900000,0.32892850,0.26737266,0.26313059,0.16217536
0.11000000,0.21057772,0.29084140,0.26917325,0.11481063
0.11100000,0.32642598,0.21201209,0.15970336,0.15713981
0.11200000,0.31287576,0.31528672,0.26313059,0.14453566
0.11300000,0.28180792,0.30579546,0.23953978,0.15411847
0.11400000,0.32493057,0.22348704,0.23502304,0.16116825
0.11500000,0.26825770,0.28583636,0.27118748,0.17777032
0.11600000,0.33042390,0.24991607,0.19785150,0.15662099
0.11700000,0.33042390,0.30231635,0.27320170,0.18884854
0.11800000,0.23316141,0.32074953,0.26062807,0.12741478
0.11900000,0.32090213,0.21451460,0.15265358,0.16266366
0.12000000,0.30585650,0.29779962,0.27167577,0.14606159
0.12100000,0.29584643,0.29181799,0.23853267,0.14352855
0.12200000,0.32642598,0.26737266,0.24002808,0.15411847
0.12300000,0.25171667,0.31528672,0.26364940,0.13446455
0.12400000,0.32493057,0.26288644,0.18280587,0.16318247
0.12500000,0.32642598,0.28333384,0.26667074,0.16217536
0.12600000,0.25070956,0.29181799,0.26114689,0.13043611
0.12700000,0.32190924,0.18857387,0.18378246,0.15814692
0.12800000,0.29383221,0.31827754,0.26566362,0.14505448
0.12900000,0.31638539,0.30579546,0.23099460,0.15915403
0.13000000,0.32340464,0.25641652,0.25208289,0.16418958
0.13100000,0.23264260,0.29132969,0.26413770,0.12994781
0.13200000,0.32743309,0.22748497,0.17926572,0.15863521
0.13300000,0.32792138,0.30878628,0.26615192,0.15762810
0.13400000,0.26273385,0.33973205,0.25510422,0.14505448
0.13500000,0.32541887,0.20453505,0.21543016,0.16367077
0.13600000,0.27628407,0.29132969,0.26767785,0.14102603
0.13700000,0.31888791,0.26438185,0.20941801,0.14908292
0.13800000,0.32392346,0.28632466,0.26364940,0.15613269
0.13900000,0.21311075,0.31678213,0.26917325,0.11078219
0.14000000,0.31940672,0.22296823,0.15466781,0.16367077
0.14100000,0.30436110,0.29432051,0.26264229,0.14755699
0.14200000,0.28330332,0.28934599,0.24506363,0.14352855
0.14300000,0.32541887,0.24643696,0.22699667,0.15158544
0.14400000,0.26123844,0.31427961,0.26465651,0.13800470
0.14500000,0.32541887,0.26938688,0.19684439,0.15762810
0.14600000,0.32691427,0.28183844,0.26767785,0.16568499
0.14700000,0.23114719,0.29581591,0.26163518,0.11883908
0.14800000,0.32392346,0.18707846,0.15768914,0.18634602
0.14900000,0.29682302,0.31876583,0.26465651,0.14203314
0.15000000,0.30033265,0.30829798,0.23300882,0.16467788
0.15100000,0.33545946,0.24494156,0.24457533,0.18936735
