# skew_n, 4961
# skew_median_ms, 0.9948340011760592
# skew_p95_ms, 8.50900000659749
# skew_max_ms, 115.99279200891033
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
0,306622.823027,0.000912,306622.823483,306622.822571
1,306622.847612,0.000879,306622.847172,306622.848051
2,306622.867047,0.006626,306622.863734,306622.870360
3,306622.888079,0.001036,306622.887561,306622.888597
4,306622.910785,0.000985,306622.911278,306622.910293
5,306622.928324,0.001006,306622.928827,306622.927822
6,306622.949716,0.000940,306622.949246,306622.950186
7,306622.966593,0.001021,306622.966082,306622.967103
8,306622.992067,0.001051,306622.992593,306622.991542
9,306623.009135,0.000888,306623.008692,306623.009579
10,306623.031525,0.001314,306623.030868,306623.032182
11,306623.048311,0.000867,306623.048745,306623.047878
12,306623.070850,0.001103,306623.071401,306623.070298
13,306623.086720,0.001061,306623.086190,306623.087251
14,306623.111988,0.001069,306623.112523,306623.111454
15,306623.128401,0.000932,306623.128867,306623.127935
16,306623.150895,0.000991,306623.151391,306623.150400
17,306623.173922,0.001044,306623.174444,306623.173400
18,306623.190727,0.000954,306623.191204,306623.190250
19,306623.212337,0.005859,306623.209407,306623.215266
20,306623.233073,0.000877,306623.233511,306623.232635
21,306623.249005,0.000868,306623.248571,306623.249439
22,306623.272975,0.013715,306623.279832,306623.266117
23,306623.302896,0.001110,306623.303451,306623.302341
24,306623.319338,0.000814,306623.319745,306623.318931
25,306623.340051,0.008105,306623.335999,306623.344104
26,306623.359847,0.001035,306623.359329,306623.360364
27,306623.383217,0.000952,306623.382741,306623.383693
28,306623.400043,0.001041,306623.399523,306623.400564
29,306623.424005,0.000873,306623.423569,306623.424442
30,306623.442549,0.001359,306623.441869,306623.443228
31,306623.463835,0.000903,306623.463384,306623.464287
32,306623.483760,0.006592,306623.487056,306623.480464
33,306623.502729,0.000933,306623.503196,306623.502263
34,306623.523416,0.007643,306623.527238,306623.519595
35,306623.542174,0.001174,306623.542761,306623.541587
36,306623.565703,0.000991,306623.566199,306623.565208
37,306623.583950,0.000851,306623.583524,306623.584375
38,306623.605995,0.000927,306623.606458,306623.605531
39,306623.623503,0.000962,306623.623022,306623.623984
40,306623.646970,0.000955,306623.647448,306623.646493
41,306623.669565,0.001184,306623.668973,306623.670157
42,306623.685942,0.000964,306623.685460,306623.686424
43,306623.703044,0.000901,306623.702593,306623.703494
44,306623.725813,0.000744,306623.726185,306623.725441
45,306623.744253,0.000975,306623.744741,306623.743766
46,306623.766681,0.001014,306623.766174,306623.767188
47,306623.790162,0.000785,306623.790555,306623.789770
48,306623.803909,0.009344,306623.799238,306623.808581
49,306623.831990,0.000933,306623.832456,306623.831524
50,306623.849954,0.000891,306623.849509,306623.850400
51,306623.870981,0.001021,306623.871491,306623.870470
52,306623.890830,0.006997,306623.887332,306623.894329
53,306623.913047,0.000869,306623.912612,306623.913481
54,306623.928534,0.001008,306623.929038,306623.928031
55,306623.953736,0.000861,306623.953305,306623.954166
56,306623.975446,0.000844,306623.975024,306623.975869
57,306623.991069,0.001039,306623.990549,306623.991589
58,306624.015628,0.000930,306624.016093,306624.015163
59,306624.032328,0.001488,306624.033072,306624.031583
60,306624.055249,0.000895,306624.054802,306624.055697
61,306624.077275,0.000976,306624.077763,306624.076787
62,306624.094833,0.000973,306624.095320,306624.094347
