freq_hz,frame,t_label,t_frame,frame_minus_target_ms
20,1023,583506.301000,583511.304694,+3.7
40,6959,583535.080000,583540.079773,-0.2
60,12995,583564.077000,583569.075135,-1.9
80,19048,583593.094000,583598.092808,-1.2
100,25081,583622.082000,583627.083224,+1.2
120,31096,583651.083000,583656.084003,+1.0
140,37107,583680.086000,583685.085039,-1.0
160,43154,583709.094000,583714.097819,+3.8
