freq_hz,n_repeats,settle_10pct_med_s,settle_10pct_mad_s,n_settled,n_refused,rise_1090_med_s,rise_1090_mad_s,n_rise,swing_med_deg,swing_mad_deg,d_radial_med_deg,d_azim_med_deg,cone_pre_med_deg,cone_post_med_deg,cone_peak_med_deg,cone_final_med_deg,cone_settle_med_s,cone_settle_mad_s,n_cone_settled,cone_tau_med_s,cone_tau_mad_s,n_cone_tau,cone_med_hz,cone_over_drive,circ_ratio_med,mech_med_hz
20.0,8,1.9032,0.0412,3,5,0.8266,0.0143,2,6.338,0.142,-2.532,77.499,4.492,4.391,6.753,4.822,3.8058,0.0,1,0.5353,0.1395,7,20.0,1.0,3.3,3.55
50.0,10,1.1104,0.7795,4,6,nan,nan,0,9.898,0.24,-0.978,33.486,0.809,1.661,7.383,1.392,2.3171,0.2203,9,0.9374,0.0396,9,50.0,1.0,2.28,3.085
