# generated, 2026-09-04T03:29:05+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
25,431176.516417,431176.516417,6.9755,-2.6579,134.6923,43.5501,-13.2526,77.9686,0.670640,-0.157946,-0.724772,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.685,1.4619,42.2259,4.3547,0.9722,,,2.4232,0.3727,2.7959
26,431176.539845,431176.539845,6.7980,-2.5482,134.5930,43.1968,-10.7060,77.9686,0.672592,-0.127160,-0.729007,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.784,1.4619,42.2259,4.7349,0.9167,,,2.6034,0.2797,2.8830
27,431176.568069,431176.568069,6.9562,-2.7184,134.7232,43.7014,-14.0880,77.9686,0.670120,-0.168174,-0.722950,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.380,1.4619,42.2259,4.3907,1.0000,,,2.4824,0.3574,2.8398
28,431176.595960,431176.595960,7.0095,-2.5213,134.5754,44.1239,-13.9513,77.9686,0.675674,-0.167854,-0.717836,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.433,1.4619,42.2259,4.5889,0.9111,,,2.6415,0.3456,2.9871
29,431176.619357,431176.619357,6.9893,-2.5445,134.6188,43.6045,-13.2733,77.9686,0.671253,-0.158348,-0.724117,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.700,1.4619,42.2259,4.5049,0.9111,,,2.4658,0.3508,2.8165
30,431176.648100,431176.648100,6.9326,-2.7626,134.7344,43.6172,-13.7458,77.9686,0.670080,-0.163915,-0.723965,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.326,1.4619,42.2259,4.4284,1.0000,,,2.7968,0.3491,3.1459
31,431176.671705,431176.671705,6.9875,-2.6532,134.6949,43.5385,-13.5223,77.9686,0.669746,-0.161068,-0.724912,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.173,1.4619,42.2259,4.4675,0.9722,,,2.5498,0.4327,2.9825
32,431176.696594,431176.696594,6.9633,-2.6807,134.7359,43.7453,-13.4784,77.9686,0.672410,-0.161163,-0.722420,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.209,1.4619,42.2259,4.4751,0.9833,,,2.4489,0.3768,2.8257
33,431176.727825,431176.727825,6.9392,-2.5738,134.6545,43.4361,-12.9916,77.9686,0.669946,-0.154566,-0.726141,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.456,1.4619,42.2259,4.4199,0.9222,,,2.4268,0.2624,2.6891
34,431176.744218,431176.744218,6.8884,-2.7719,134.7188,43.8719,-13.5996,77.9686,0.673617,-0.162960,-0.720891,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.605,1.4619,42.2259,4.3099,1.0000,,,2.4827,0.4670,2.9497
35,431176.775385,431176.775385,6.9274,-2.5426,134.6856,43.6237,-11.8844,77.9686,0.675130,-0.142081,-0.723887,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.212,1.4619,42.2259,4.4547,0.9111,,,2.4162,0.3445,2.7606
36,431176.803319,431176.803319,6.9472,-2.6885,134.7438,43.5114,-13.1619,77.9686,0.670413,-0.156773,-0.725237,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.888,1.4619,42.2259,4.3292,0.9833,,,2.3268,0.3518,2.6785
37,431176.828654,431176.828654,6.9228,-2.6958,134.7799,43.2818,-12.9763,77.9686,0.668080,-0.153947,-0.727990,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.263,1.4619,42.2259,4.2983,0.9944,,,2.4072,0.3788,2.7860
38,431176.856606,431176.856606,6.9755,-2.5934,134.6975,43.4067,-12.7397,77.9686,0.670255,-0.151536,-0.726495,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.205,1.4619,42.2259,4.4732,0.9222,,,2.4288,0.2801,2.7089
39,431176.884242,431176.884242,6.9637,-2.5541,134.6492,43.2273,-12.4822,77.9686,0.668706,-0.148031,-0.728642,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.252,1.4619,42.2259,4.5058,0.9167,,,2.4299,0.2623,2.6923
40,431176.908837,431176.908837,6.9732,-2.6002,134.6679,43.4745,-13.9783,77.9686,0.667657,-0.166197,-0.725680,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.056,1.4619,42.2259,4.4069,0.9333,,,2.4146,0.2835,2.6982
41,431176.932390,431176.932390,6.9444,-2.5421,134.5647,43.3444,-11.7294,77.9686,0.672050,-0.139534,-0.727241,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.551,1.4619,42.2259,4.4913,0.9111,,,2.4734,0.2572,2.7306
42,431176.965692,431176.965692,6.9497,-2.5999,134.6701,43.6862,-13.8637,77.9686,0.670587,-0.165502,-0.723133,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.509,1.4619,42.2259,4.3978,0.9333,,,2.5085,0.2849,2.7934
43,431176.993082,431176.993082,6.9742,-2.5693,134.6470,43.3060,-13.1009,77.9686,0.668043,-0.155470,-0.727701,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.648,1.4619,42.2259,4.4790,0.9222,,,2.4054,0.3583,2.7637
44,431177.020667,431177.020667,6.9711,-2.6075,134.6585,43.4505,-13.2975,77.9686,0.669289,-0.158182,-0.725969,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.198,1.4619,42.2259,4.4597,0.9389,,,2.3998,0.4127,2.8125
45,431177.049059,431177.049059,6.9078,-2.5796,134.7091,43.2430,-11.3912,77.9686,0.671599,-0.135311,-0.728455,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.325,1.4619,42.2259,4.4440,0.9111,,,2.4827,0.3601,2.8428
46,431177.073720,431177.073720,6.9046,-2.5956,134.6312,43.5673,-13.0723,77.9686,0.671346,-0.155885,-0.724565,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.200,1.4619,42.2259,4.4928,0.9278,,,2.4780,0.4140,2.8919
47,431177.103985,431177.103985,6.8998,-2.6102,134.6238,43.8687,-13.5873,77.9686,0.673613,-0.162806,-0.720929,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.466,1.4619,42.2259,4.5178,0.9556,,,2.4653,0.3640,2.8293
48,431177.152811,431177.152811,6.9351,-2.6200,134.6593,43.2971,-13.2519,77.9686,0.667520,-0.157203,-0.727807,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.617,1.4619,42.2259,4.5284,0.9389,,,2.3976,0.3733,2.7709
49,431177.188237,431177.188237,6.8845,-2.8288,134.7559,43.6731,-13.6054,77.9686,0.671165,-0.162439,-0.723292,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.448,1.4619,42.2259,4.3561,0.9944,,,2.3756,0.4378,2.8134
50,431177.232725,431177.232725,7.0010,-2.5715,134.6760,43.6462,-13.7967,77.9686,0.670289,-0.164598,-0.723616,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.135,1.4619,42.2259,4.4807,0.9222,,,2.4712,0.3788,2.8500
51,431177.264541,431177.264541,6.8475,-2.4992,134.6414,43.1393,-11.6084,77.9686,0.669788,-0.137590,-0.729694,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.586,1.4619,42.2259,4.6413,0.8833,,,2.4812,0.2662,2.7473
52,431177.312267,431177.312267,6.9591,-2.7161,134.7017,43.5307,-13.9295,77.9686,0.668489,-0.165800,-0.725005,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.640,1.4619,42.2259,4.4172,1.0000,,,2.4281,0.4538,2.8820
53,431177.343714,431177.343714,6.9392,-2.7532,134.7349,43.7170,-13.7131,77.9686,0.671397,-0.163832,-0.722763,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.239,1.4619,42.2259,4.3870,1.0000,,,2.3660,0.5012,2.8671
54,431177.368741,431177.368741,6.9781,-2.6296,134.6868,43.5970,-13.7224,77.9686,0.669898,-0.163581,-0.724208,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.120,1.4619,42.2259,4.4473,0.9611,,,2.5043,0.3777,2.8821
55,431177.402612,431177.402612,6.9794,-2.4739,134.4521,43.5774,-13.4221,77.9686,0.670506,-0.160011,-0.724443,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.208,1.4619,42.2259,4.7599,0.8944,,,2.4475,0.2868,2.7344
56,431177.432812,431177.432812,6.9721,-2.6504,134.7384,43.5616,-12.8197,77.9686,0.671956,-0.152908,-0.724634,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.415,1.4619,42.2259,4.3797,0.9444,,,2.7639,0.3855,3.1493
57,431177.464004,431177.464004,6.9121,-2.6269,134.7130,43.5801,-12.1480,77.9686,0.673931,-0.145069,-0.724411,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.463,1.4619,42.2259,4.3836,0.9333,,,2.4448,0.2808,2.7257
58,431177.496734,431177.496734,6.9822,-2.6714,134.7096,43.6626,-12.9508,77.9686,0.672849,-0.154731,-0.723418,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.560,1.4619,42.2259,4.3265,0.9778,,,2.4468,0.4945,2.9413
59,431177.530793,431177.530793,6.9462,-2.7458,134.7033,43.7336,-12.7647,77.9686,0.674221,-0.152742,-0.722562,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.147,1.4619,42.2259,4.3029,1.0000,,,2.5457,0.6071,3.1528
