# generated, 2026-09-01T02:57:22+00:00
# source, results/flights/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
25,431176.516417,431176.516417,6.8666,-2.3809,134.7628,42.8641,-8.5363,77.8613,0.672726,-0.100975,-0.732969,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.311,0.4641,39.8854,5.1733,0.8444,,,11.7509,8.5545,20.3054
26,431176.539845,431176.539845,6.8338,-2.4918,134.7157,42.6570,-8.4631,77.8613,0.670229,-0.099725,-0.735423,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.213,0.4641,39.8854,5.2956,0.8833,,,11.1715,8.9310,20.1025
27,431176.568069,431176.568069,6.9995,-2.4473,134.7310,42.9208,-10.0422,77.8613,0.670553,-0.118746,-0.732296,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.105,0.4641,39.8854,4.9168,0.8333,,,11.0169,8.2368,19.2538
28,431176.595960,431176.595960,6.9759,-2.5081,134.7059,42.8754,-10.4656,77.8613,0.669087,-0.123592,-0.732835,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.292,0.4641,39.8854,5.0008,0.8500,,,12.5964,15.2276,27.8240
29,431176.619357,431176.619357,6.8360,-2.3964,134.7407,42.1761,-8.5873,77.8613,0.663885,-0.100253,-0.741085,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.449,0.4641,39.8854,5.3454,0.8556,,,11.5551,6.2527,17.8077
30,431176.648100,431176.648100,6.8521,-2.4781,134.7224,42.5791,-9.8119,77.8613,0.666710,-0.115304,-0.736344,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.919,0.4641,39.8854,5.1043,0.8611,,,12.5819,10.6360,23.2179
31,431176.671705,431176.671705,6.8438,-2.4802,134.7253,42.7600,-9.0526,77.8613,0.670472,-0.106824,-0.734204,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.546,0.4641,39.8854,5.1642,0.8722,,,10.9759,5.2904,16.2662
32,431176.696594,431176.696594,6.9380,-2.5025,134.6928,43.0358,-9.0072,77.8613,0.674040,-0.106844,-0.730927,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.278,0.4641,39.8854,5.1431,0.8667,,,11.5434,10.3869,21.9303
33,431176.727825,431176.727825,6.8175,-2.5767,134.7571,42.6823,-8.6162,77.8613,0.670282,-0.101564,-0.735124,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.442,0.4641,39.8854,5.3370,0.9056,,,13.5926,7.3510,20.9437
34,431176.744218,431176.744218,6.9361,-2.4659,134.7027,42.8050,-9.9473,77.8613,0.669291,-0.117379,-0.733670,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.912,0.4641,39.8854,4.9399,0.8500,,,12.4987,12.6830,25.1817
35,431176.775385,431176.775385,6.8121,-2.4815,134.7114,42.9092,-9.4727,77.8613,0.671555,-0.112050,-0.732433,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.339,0.4641,39.8854,5.1694,0.8722,,,11.6212,8.5186,20.1398
36,431176.803319,431176.803319,6.9214,-2.5202,134.7038,42.6336,-8.7253,77.8613,0.669469,-0.102746,-0.735700,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.578,0.4641,39.8854,5.1661,0.8778,,,12.8648,9.0944,21.9593
37,431176.828654,431176.828654,6.9740,-2.4318,134.7295,42.8405,-9.7239,77.8613,0.670191,-0.114846,-0.733249,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.709,0.4641,39.8854,4.9806,0.8333,,,12.2965,13.4101,25.7066
