# generated, 2026-09-04T03:25:53+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
25,431176.516417,431176.516417,6.9820,-2.6495,134.6887,43.6974,-13.2519,77.9686,0.672454,-0.158365,-0.722998,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.407,1.4619,42.2259,4.3671,0.9667,,,3.0596,4.0810,7.1407
26,431176.539845,431176.539845,6.9837,-2.5865,134.6595,43.4309,-13.3377,77.9686,0.668936,-0.158595,-0.726204,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.273,1.4619,42.2259,4.4640,0.9222,,,3.0533,4.1131,7.1665
27,431176.568069,431176.568069,6.9389,-2.7205,134.7465,43.6838,-13.6215,77.9686,0.671251,-0.162660,-0.723162,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.320,1.4619,42.2259,4.3103,1.0000,,,3.5313,4.1168,7.6481
28,431176.595960,431176.595960,6.9937,-2.6082,134.6730,43.6473,-13.6325,77.9686,0.670772,-0.162679,-0.723602,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.037,1.4619,42.2259,4.4350,0.9333,,,3.2338,4.5700,7.8038
29,431176.619357,431176.619357,6.9602,-2.6311,134.6906,43.5782,-13.2606,77.9686,0.670964,-0.158122,-0.724434,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.266,1.4619,42.2259,4.4219,0.9556,,,3.3427,4.3751,7.7178
30,431176.648100,431176.648100,6.9689,-2.6891,134.6979,43.7881,-13.4110,77.9686,0.673123,-0.160497,-0.721904,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.234,1.4619,42.2259,4.4447,1.0000,,,3.9371,4.0963,8.0334
31,431176.671705,431176.671705,6.9840,-2.6518,134.7087,43.4935,-13.9414,77.9686,0.667998,-0.165826,-0.725452,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.470,1.4619,42.2259,4.4821,0.9722,,,2.9863,4.0885,7.0748
32,431176.696594,431176.696594,6.8820,-2.8476,134.7887,43.6377,-13.8125,77.9686,0.670140,-0.164757,-0.723717,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.169,1.4619,42.2259,4.4910,0.9889,,,3.1125,4.7868,7.8993
33,431176.727825,431176.727825,6.9134,-2.4830,134.6454,43.3926,-12.2134,77.9686,0.671445,-0.145335,-0.726663,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.128,1.4619,42.2259,4.5415,0.8944,,,3.1844,3.2297,6.4140
34,431176.744218,431176.744218,6.9544,-2.6372,134.6971,43.4326,-13.3468,77.9686,0.668932,-0.158706,-0.726183,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.780,1.4619,42.2259,4.3022,0.9611,,,2.9753,3.7761,6.7515
