# generated, 2026-09-01T15:53:21+00:00
# source, results/flights/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
25,431176.516417,431176.516417,7.1500,-2.5204,134.5475,43.9023,-13.0673,77.8613,0.675474,-0.156781,-0.720523,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.509,0.4641,39.8854,5.0826,0.8833,,,9.8352,3.9594,13.7946
26,431176.539845,431176.539845,6.9235,-2.4933,134.4609,45.3444,-14.9895,77.8613,0.687140,-0.183983,-0.702844,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.975,0.4641,39.8854,5.4331,0.8889,,,9.0029,3.1893,12.1922
27,431176.568069,431176.568069,7.1579,-2.5208,134.4813,44.2789,-14.5980,77.8613,0.675613,-0.175959,-0.715950,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.101,0.4641,39.8854,5.2265,0.8833,,,9.3799,4.7886,14.1685
28,431176.595960,431176.595960,6.9606,-2.5889,134.7712,43.6087,-12.3379,77.8613,0.673800,-0.147380,-0.724067,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.705,0.4641,39.8854,4.9233,0.9056,,,9.7206,3.5003,13.2209
29,431176.619357,431176.619357,6.9536,-2.6283,134.7628,42.0630,-13.7101,77.8613,0.650859,-0.158783,-0.742408,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.805,0.4641,39.8854,5.0390,0.9222,,,9.2288,3.6371,12.8659
30,431176.648100,431176.648100,6.8598,-2.4950,134.6865,43.0812,-10.7582,77.8613,0.671029,-0.127499,-0.730386,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.241,0.4641,39.8854,5.0509,0.8556,,,10.1921,3.7460,13.9381
31,431176.671705,431176.671705,7.0215,-2.4813,134.7275,43.0494,-12.0669,77.8613,0.667545,-0.142706,-0.730765,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.894,0.4641,39.8854,4.7882,0.8333,,,8.6974,4.9822,13.6796
32,431176.696594,431176.696594,7.1017,-2.4222,134.5510,43.8944,-12.8529,77.8613,0.675960,-0.154230,-0.720619,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.003,0.4641,39.8854,5.1869,0.8444,,,8.6615,3.4423,12.1038
33,431176.727825,431176.727825,7.0237,-2.4885,134.7552,43.4103,-11.7419,77.8613,0.672837,-0.139851,-0.726452,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.907,0.4641,39.8854,4.8017,0.8556,,,10.1325,5.0914,15.2240
34,431176.744218,431176.744218,7.0007,-2.4540,134.7107,43.6823,-11.4496,77.8613,0.676914,-0.137100,-0.723181,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.338,0.4641,39.8854,4.8469,0.8278,,,10.1142,4.5400,14.6543
