index,t_capture,skew_s,t_a,t_b
0,584327.906870,0.005192,584327.909466,584327.904274
1,584327.914456,0.002699,584327.913107,584327.915806
2,584327.919286,0.004633,584327.916969,584327.921602
3,584327.924208,0.000442,584327.924429,584327.923987
4,584327.928370,0.000824,584327.927958,584327.928782
5,584327.931545,0.000696,584327.931197,584327.931892
6,584327.938436,0.004281,584327.936295,584327.940576
7,584327.941947,0.005067,584327.939414,584327.944481
8,584327.947857,0.000927,584327.948321,584327.947394
9,584327.951943,0.000900,584327.952393,584327.951493
10,584327.955798,0.000900,584327.956249,584327.955348
11,584327.962334,0.002708,584327.960980,584327.963688
12,584327.965999,0.002904,584327.964547,584327.967451
13,584327.970608,0.003993,584327.968612,584327.972605
14,584327.975209,0.000996,584327.974711,584327.975707
15,584327.979652,0.001247,584327.979028,584327.980275
16,584327.985973,0.002346,584327.984800,584327.987147
17,584327.989612,0.003366,584327.987929,584327.991295
18,584327.994157,0.003909,584327.992202,584327.996111
19,584327.999738,0.000902,584328.000189,584327.999287
20,584328.004831,0.000937,584328.005300,584328.004363
21,584328.009078,0.000855,584328.009505,584328.008650
22,584328.014100,0.002255,584328.012973,584328.015228
23,584328.018211,0.004037,584328.016193,584328.020230
24,584328.023838,0.000928,584328.024303,584328.023374
25,584328.027939,0.000877,584328.028377,584328.027500
26,584328.033095,0.000891,584328.033541,584328.032650
27,584328.038174,0.001834,584328.037257,584328.039091
28,584328.041588,0.003205,584328.039985,584328.043190
29,584328.046167,0.004116,584328.044108,584328.048225
30,584328.051841,0.000919,584328.052300,584328.051381
31,584328.056044,0.000625,584328.056357,584328.055732
32,584328.061916,0.003218,584328.060307,584328.063525
33,584328.069237,0.005221,584328.066626,584328.071847
34,584328.071805,0.002396,584328.070607,584328.073003
35,584328.075757,0.000844,584328.076179,584328.075335
36,584328.080572,0.000726,584328.080209,584328.080935
37,584328.090513,0.002637,584328.091831,584328.089195
38,584328.093360,0.000228,584328.093474,584328.093246
39,584328.095550,0.000955,584328.095072,584328.096028
40,584328.099680,0.000919,584328.100140,584328.099221
41,584328.104112,0.001089,584328.104657,584328.103568
42,584328.108805,0.001188,584328.109399,584328.108211
43,584328.113487,0.001875,584328.112549,584328.114424
44,584328.117168,0.003627,584328.115354,584328.118981
45,584328.121801,0.003960,584328.119822,584328.123781
46,584328.131322,0.000153,584328.131398,584328.131245
47,584328.131937,0.000400,584328.132137,584328.131736
48,584328.137624,0.002907,584328.136171,584328.139078
49,584328.142201,0.004754,584328.139824,584328.144578
50,584328.149728,0.005531,584328.146962,584328.152493
51,584328.153303,0.000680,584328.153643,584328.152963
52,584328.156097,0.000781,584328.155707,584328.156487
53,584328.162482,0.000168,584328.162567,584328.162398
54,584328.165648,0.004598,584328.163349,584328.167947
55,584328.171089,0.004860,584328.168659,584328.173519
56,584328.175260,0.003125,584328.173698,584328.176823
57,584328.186159,0.000180,584328.186249,584328.186069
58,584328.187195,0.001065,584328.187728,584328.186663
59,584328.190363,0.003153,584328.188786,584328.191939
60,584328.194670,0.004035,584328.192653,584328.196688
61,584328.198702,0.002834,584328.197286,584328.200119
62,584328.203992,0.000562,584328.204273,584328.203711
63,584328.208715,0.000980,584328.209205,584328.208225
64,584328.216736,0.005771,584328.213851,584328.219622
65,584328.220452,0.002661,584328.219122,584328.221783
66,584328.223041,0.000740,584328.222671,584328.223411
67,584328.228677,0.000929,584328.229141,584328.228213
68,584328.231389,0.000966,584328.230906,584328.231871
69,584328.235485,0.000810,584328.235890,584328.235080
70,584328.241429,0.003211,584328.239824,584328.243034
71,584328.251089,0.009670,584328.246254,584328.255924
72,584328.257426,0.003365,584328.255744,584328.259109
73,584328.260045,0.002324,584328.258883,584328.261207
74,584328.264607,0.001158,584328.265186,584328.264028
75,584328.269108,0.000132,584328.269174,584328.269042
76,584328.271389,0.000966,584328.271872,584328.270906
77,584328.279309,0.000864,584328.279741,584328.278877
78,584328.283466,0.000878,584328.283027,584328.283905
79,584328.289419,0.003224,584328.287807,584328.291031
80,584328.293500,0.003165,584328.291918,584328.295082
81,584328.299302,0.006292,584328.296156,584328.302447
82,584328.308453,0.000598,584328.308154,584328.308752
83,584328.310305,0.001059,584328.309775,584328.310834
84,584328.311429,0.000737,584328.311060,584328.311798
85,584328.318123,0.002741,584328.316753,584328.319494
86,584328.322242,0.003782,584328.320350,584328.324133
87,584328.327600,0.000539,584328.327870,584328.327331
88,584328.332556,0.000592,584328.332851,584328.332260
89,584328.338111,0.000861,584328.337680,584328.338541
90,584328.343893,0.006545,584328.340620,584328.347166
91,584328.347730,0.003033,584328.346213,584328.349246
92,584328.354776,0.002109,584328.353722,584328.355831
93,584328.356076,0.002170,584328.354990,584328.357161
94,584328.361117,0.000177,584328.361206,584328.361029
95,584328.368793,0.005542,584328.366022,584328.371564
96,584328.372288,0.000533,584328.372021,584328.372554
97,584328.375041,0.003013,584328.373535,584328.376547
98,584328.379973,0.000867,584328.380406,584328.379539
99,584328.384152,0.000945,584328.384625,584328.383680
100,584328.388186,0.001272,584328.388822,584328.387550
101,584328.394015,0.002914,584328.392559,584328.395472
102,584328.398175,0.003112,584328.396619,584328.399732
103,584328.402308,0.003721,584328.400448,584328.404169
104,584328.410585,0.002946,584328.409112,584328.412058
105,584328.413055,0.000736,584328.412687,584328.413423
106,584328.421264,0.010233,584328.416148,584328.426380
107,584328.426560,0.001227,584328.425946,584328.427173
108,584328.427587,0.001868,584328.426653,584328.428522
109,584328.433648,0.000178,584328.433737,584328.433559
110,584328.437945,0.000138,584328.437876,584328.438014
111,584328.441084,0.000674,584328.441421,584328.440747
112,584328.448602,0.000627,584328.448288,584328.448915
113,584328.451190,0.003003,584328.449688,584328.452691
114,584328.455508,0.000914,584328.455965,584328.455051
115,584328.459870,0.000788,584328.460264,584328.459476
116,584328.463772,0.000897,584328.464221,584328.463324
117,584328.469468,0.003078,584328.467930,584328.471007
118,584328.473514,0.003115,584328.471957,584328.475071
119,584328.477999,0.003874,584328.476062,584328.479936
120,584328.483522,0.000896,584328.483970,584328.483074
121,584328.494598,0.007067,584328.498132,584328.491065
122,584328.501337,0.000289,584328.501482,584328.501193
123,584328.502179,0.000619,584328.502489,584328.501870
124,584328.503711,0.000795,584328.504109,584328.503313
125,584328.508615,0.000733,584328.508981,584328.508248
126,584328.512020,0.000769,584328.512404,584328.511636
127,584328.516304,0.000741,584328.516674,584328.515933
128,584328.521747,0.003986,584328.519754,584328.523740
129,584328.526130,0.003294,584328.524483,584328.527777
130,584328.531579,0.000855,584328.532007,584328.531151
131,584328.536051,0.000479,584328.536290,584328.535812
132,584328.540094,0.000604,584328.540396,584328.539791
133,584328.546989,0.005684,584328.544147,584328.549832
134,584328.554130,0.005069,584328.551595,584328.556664
135,584328.556502,0.003838,584328.554583,584328.558421
136,584328.560670,0.001044,584328.560148,584328.561192
137,584328.563905,0.000494,584328.563658,584328.564152
138,584328.569564,0.003138,584328.567996,584328.571133
139,584328.573771,0.003912,584328.571815,584328.575727
140,584328.578633,0.004545,584328.576360,584328.580906
141,584328.586767,0.000234,584328.586883,584328.586650
142,584328.593206,0.003127,584328.591643,584328.594770
143,584328.595683,0.000354,584328.595506,584328.595861
144,584328.599835,0.006276,584328.596697,584328.602973
145,584328.605703,0.005880,584328.602763,584328.608644
146,584328.609331,0.004933,584328.606864,584328.611797
147,584328.613317,0.001469,584328.612583,584328.614052
148,584328.618518,0.000690,584328.618863,584328.618173
149,584328.626536,0.003818,584328.624627,584328.628445
150,584328.627679,0.003312,584328.626022,584328.629335
151,584328.632651,0.004412,584328.630445,584328.634857
152,584328.641675,0.001870,584328.640740,584328.642611
153,584328.643359,0.000690,584328.643014,584328.643704
154,584328.647695,0.000250,584328.647570,584328.647820
155,584328.650633,0.004312,584328.648477,584328.652789
156,584328.655176,0.003387,584328.653482,584328.656869
157,584328.665352,0.000959,584328.664873,584328.665832
158,584328.667672,0.002509,584328.668926,584328.666418
159,584328.669787,0.000398,584328.669986,584328.669589
160,584328.677466,0.007541,584328.673695,584328.681236
161,584328.682052,0.002943,584328.680581,584328.683524
162,584328.684623,0.003749,584328.682748,584328.686498
163,584328.690507,0.000975,584328.690995,584328.690020
164,584328.694808,0.000580,584328.695098,584328.694518
165,584328.699796,0.000630,584328.699481,584328.700111
166,584328.702716,0.003315,584328.701058,584328.704373
167,584328.707946,0.005318,584328.705287,584328.710605
168,584328.715589,0.000577,584328.715877,584328.715300
169,584328.717594,0.000211,584328.717488,584328.717700
170,584328.722794,0.004275,584328.720657,584328.724932
171,584328.735786,0.009831,584328.730871,584328.740702
172,584328.741930,0.000649,584328.742254,584328.741605
