frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,576665.230604,66.879,51,37.939,11.328,57.463,146.34,68.175,319.1,205.36,75.94,193.21,68.16
1,576665.233823,66.786,51,37.023,11.89,57.28,145.317,67.852,317.9,206.1,75.7,191.91,67.84
2,576665.236388,66.658,60,37.766,11.582,57.678,145.572,68.085,318.91,205.7,76.27,192.14,68.09
3,576665.240259,66.859,57,37.568,11.256,57.514,146.346,67.87,318.61,205.27,76.01,193.25,67.86
4,576665.248323,66.727,59,37.877,10.812,57.811,146.317,67.736,319.12,204.63,76.42,192.86,67.74
5,576665.25174,66.69,54,37.841,10.833,58.007,146.59,67.781,319.06,204.66,76.68,193.23,67.79
6,576665.256903,66.181,57,37.77,11.191,58.466,144.775,67.851,318.84,205.2,77.29,190.92,67.85
7,576665.260496,65.761,58,37.64,11.303,58.725,143.042,67.869,318.71,205.33,77.6,188.89,67.86
8,576665.263962,65.389,64,39.248,10.983,58.495,140.46,67.106,320.82,204.91,77.29,185.39,67.06
9,576665.268171,65.723,63,39.177,10.846,58.287,141.767,67.367,320.8,204.71,77.03,187.02,67.33
10,576665.276272,65.644,61,39.511,10.494,58.524,141.912,66.976,321.18,204.26,77.33,187.37,66.96
11,576665.280015,66.018,62,37.668,11.217,58.275,143.376,67.786,318.69,205.26,76.98,189.25,67.82
12,576665.283365,65.478,60,39.467,10.289,58.664,141.344,66.733,321.09,204.01,77.53,186.54,66.73
13,576665.288878,65.385,63,38.703,10.431,58.495,140.44,67.582,320.11,204.18,77.3,185.43,67.57
14,576665.291721,65.357,61,38.491,10.548,58.534,140.38,67.903,319.84,204.32,77.33,185.3,67.92
15,576665.300195,65.749,60,37.674,11.076,58.52,142.476,68.033,318.76,205.04,77.34,187.93,68.03
16,576665.30424,65.256,61,37.853,11.343,58.958,140.859,68.322,318.93,205.36,77.99,186.06,68.34
17,576665.307678,65.176,60,37.996,11.173,58.909,140.316,68.259,319.15,205.16,77.86,185.22,68.29
18,576665.312818,65.133,62,38.785,10.208,59.579,141.681,67.529,320.22,203.88,78.73,187.09,67.51
19,576665.320896,65.548,60,37.443,11.134,58.294,140.83,68.677,318.44,205.11,77.03,185.96,68.67
20,576665.327609,65.472,60,37.5,11.39,58.287,140.402,68.688,318.51,205.45,77.02,185.39,68.69
21,576665.331574,65.586,61,37.411,11.452,58.017,140.369,68.636,318.39,205.53,76.66,185.35,68.63
22,576665.335596,65.6,56,38.64,10.254,58.848,142.457,67.497,319.96,203.95,77.77,187.66,67.47
23,576665.339947,65.739,54,38.795,9.954,58.694,142.843,67.327,320.26,203.53,77.59,188.47,67.31
24,576665.34362,65.643,51,38.773,9.962,58.953,142.944,67.517,320.14,203.58,77.89,189.01,67.52
25,576665.351662,65.86,54,39.224,10.094,58.55,143.163,67.18,320.9,203.7,77.4,188.67,67.15
26,576665.355834,66.067,48,39.894,10.072,57.968,142.896,66.505,321.57,203.8,76.64,187.83,66.55
27,576665.361128,66.272,54,39.46,10.012,57.904,143.896,66.832,320.97,203.61,76.69,189.92,66.89
28,576665.36397,66.146,51,39.808,10.027,57.994,143.403,66.301,321.59,203.62,76.71,189.25,66.26
29,576665.367644,66.235,55,39.877,10.143,57.953,143.808,66.388,321.66,203.79,76.56,190.16,66.42
30,576665.376149,66.147,53,39.973,10.174,57.998,143.421,66.212,321.72,203.88,76.67,189.16,66.21
31,576665.379446,66.455,50,40.038,9.971,57.693,144.421,66.197,321.85,203.59,76.22,190.84,66.18
32,576665.383628,66.419,49,39.997,9.658,57.928,144.807,66.29,321.78,203.16,76.53,191.42,66.31
33,576665.387885,66.151,51,40.718,9.395,57.848,143.073,65.928,322.67,202.85,76.43,188.66,65.91
34,576665.392744,66.779,54,40.382,9.674,57.478,145.782,66.101,322.29,203.21,76.06,192.24,66.06
35,576665.396204,66.223,51,39.99,10.212,57.845,143.47,66.072,321.85,203.88,76.45,189.31,66.04
36,576665.404479,66.336,50,40.72,9.608,57.206,142.527,66.256,322.74,203.14,75.67,188.15,66.2
37,576665.416378,66.732,52,41.058,9.269,56.96,144.191,66.062,323.19,202.62,75.19,190.29,66.09
38,576665.420254,67.244,54,39.77,9.491,55.96,144.672,64.947,321.53,202.94,73.95,191.05,64.94
39,576665.42862,67.264,54,41.294,9.341,56.622,146.504,65.551,323.53,202.74,74.81,193.45,65.54
40,576665.43206,67.112,54,41.448,9.2,56.869,146.215,65.374,323.73,202.52,75.01,193.37,65.39
41,576665.436362,66.972,57,39.561,9.606,55.887,142.865,64.187,321.35,203.07,73.92,188.73,64.21
42,576665.439854,67.301,56,41.757,9.426,56.727,147.003,65.123,324.12,202.91,74.85,194.15,65.13
43,576665.443592,66.844,60,39.863,9.965,56.137,142.755,64.261,321.65,203.57,74.18,188.51,64.26
44,576665.451851,66.647,57,39.717,9.917,56.291,142.009,64.11,321.47,203.5,74.38,187.53,64.11
45,576665.455492,66.711,64,40.01,9.583,56.313,142.433,64.06,321.9,203.05,74.41,188.23,64.06
46,576665.459382,66.669,58,40.005,9.54,56.217,141.946,63.844,321.77,203.03,74.31,187.59,63.87
47,576665.463985,66.611,59,40.046,9.729,56.303,141.83,63.764,321.86,203.27,74.4,187.41,63.78
48,576665.467916,66.517,59,39.726,9.92,56.692,142.275,63.813,321.53,203.48,74.94,187.7,63.81
49,576665.471951,66.558,59,39.95,9.996,56.638,142.375,63.986,321.82,203.58,74.86,187.85,63.98
50,576665.481652,66.508,63,40.074,9.9,56.773,142.424,63.956,321.94,203.47,75.06,187.74,63.94
51,576665.483568,66.695,60,39.925,10.008,56.517,142.854,63.889,321.78,203.61,74.69,188.51,63.87
52,576665.487939,66.783,58,39.782,10.062,56.789,144.056,64.203,321.55,203.69,75.04,190.21,64.19
53,576665.49606,66.256,63,39.859,9.834,57.261,142.211,63.923,321.75,203.33,75.69,187.33,63.78
54,576665.50354,66.361,60,39.863,9.846,57.387,143.12,64.061,321.58,203.43,75.86,188.67,64.02
55,576665.508167,66.676,55,39.709,10.022,57.369,144.898,64.18,321.45,203.64,75.81,191.28,64.17
56,576665.511413,66.259,59,39.767,10.163,57.872,143.743,64.045,321.53,203.82,76.48,189.79,64.03
57,576665.515743,66.054,59,39.688,10.293,58.082,143.103,64.114,321.29,204.06,76.76,188.92,64.14
58,576665.519347,66.053,63,39.846,10.084,58.261,143.537,64.164,321.56,203.75,77.03,189.18,64.15
59,576665.528618,66.121,61,39.682,10.031,58.329,144.09,64.219,321.45,203.66,77.16,190.09,64.22
60,576665.531557,65.799,66,39.709,10.056,58.686,143.161,64.238,321.51,203.66,77.57,188.83,64.21
61,576665.536264,65.815,62,39.647,10.257,58.737,143.373,64.244,321.46,203.91,77.63,189.03,64.2
62,576665.539648,65.67,63,39.694,10.332,58.967,143.128,64.333,321.43,204.05,77.92,188.97,64.32
63,576665.543336,65.752,66,39.54,10.312,59.006,143.676,64.365,321.22,204.02,77.97,189.7,64.35
64,576665.548583,65.748,64,39.53,10.249,59.045,143.748,64.375,321.19,203.93,78.07,189.26,64.37
65,576665.556504,65.747,63,39.609,10.204,59.108,143.9,64.468,321.26,203.91,78.1,190.16,64.44
66,576665.559564,65.57,65,39.726,10.16,59.232,143.217,64.506,321.42,203.84,78.26,189.23,64.51
67,576665.563169,65.659,62,39.434,10.261,59.431,144.191,64.557,321.11,203.92,78.6,190.27,64.53
68,576665.568466,65.333,64,39.63,10.155,59.563,142.717,64.717,321.34,203.82,78.71,188.43,64.7
69,576665.572371,65.287,64,39.778,10.106,59.745,142.904,64.813,321.57,203.72,78.9,188.79,64.82
70,576665.58411,65.039,61,40.049,10.336,59.925,142.004,64.769,321.99,204.02,79.22,187.03,64.76
71,576665.587369,64.953,63,39.785,10.257,60.3,142.431,65.011,321.64,203.83,79.89,187.62,65.0
72,576665.591998,64.81,67,39.945,10.053,60.418,141.949,65.109,321.78,203.67,79.88,187.01,65.09
73,576665.595488,64.933,62,39.861,10.096,60.244,142.193,65.286,321.76,203.68,79.65,187.31,65.3
74,576665.604549,64.896,67,39.834,10.136,60.407,142.382,65.316,321.59,203.75,79.84,187.95,65.34
75,576665.607312,65.024,64,39.795,10.426,60.101,142.341,65.54,321.53,204.15,79.5,187.86,65.54
76,576665.61208,64.417,61,40.266,9.795,61.254,141.853,65.15,322.07,203.47,80.79,187.18,65.25
77,576665.615645,65.033,63,40.011,10.518,59.862,141.82,65.684,321.78,204.3,79.15,187.24,65.71
78,576665.61981,65.065,58,40.288,10.528,59.64,141.463,65.613,322.2,204.31,78.8,186.75,65.6
79,576665.624112,64.997,64,40.333,10.384,59.746,141.353,65.609,322.26,204.12,78.94,186.61,65.6
80,576665.632979,65.176,63,39.838,10.61,59.634,142.045,66.077,321.6,204.42,78.8,187.52,66.07
81,576665.635451,65.108,63,40.298,10.401,59.62,141.647,65.844,322.18,204.16,78.77,187.11,65.83
82,576665.640334,65.086,62,39.805,10.572,59.793,141.942,66.305,321.56,204.37,79.01,187.38,66.3
83,576665.643591,65.236,59,40.126,10.616,59.451,141.929,66.014,321.93,204.45,78.54,187.48,66.03
84,576665.647807,65.317,61,39.845,10.851,59.363,142.154,66.281,321.61,204.74,78.44,187.66,66.27
85,576665.657386,65.42,58,39.906,10.979,59.157,142.217,66.209,321.73,204.84,78.29,187.69,66.16
86,576665.668734,65.738,54,39.271,11.259,58.695,142.839,66.798,320.81,205.28,77.59,188.59,66.82
87,576665.672754,65.736,55,40.953,10.157,59.215,144.096,65.674,323.13,203.79,78.23,190.42,65.64
88,576665.680938,65.943,49,40.256,10.867,58.589,143.724,66.253,322.15,204.76,77.41,189.72,66.24
89,576665.685017,66.184,46,40.629,10.343,59.146,146.472,66.088,322.54,204.09,78.17,192.99,66.03
90,576665.687427,66.601,46,41.051,10.403,58.43,147.128,65.969,322.87,204.33,77.23,193.07,66.02
91,576665.691535,64.677,47,40.494,9.838,59.577,139.288,63.918,322.49,203.39,78.73,183.93,63.9
92,576665.696019,66.597,47,40.386,10.925,57.999,146.023,66.395,322.24,204.9,76.62,192.53,66.42
93,576665.699872,66.449,49,40.497,10.853,58.113,145.442,66.366,322.52,204.71,76.79,191.74,66.39
94,576665.708226,66.273,47,39.793,11.443,57.417,142.693,67.26,321.58,205.52,75.85,188.24,67.33
95,576665.712223,65.897,50,41.291,9.683,59.332,145.288,65.92,323.56,203.17,78.43,191.57,65.9
96,576665.715657,66.379,47,43.174,9.333,58.402,145.758,65.169,325.9,202.77,77.17,192.01,65.16
97,576665.720382,65.054,51,39.651,10.114,59.243,140.464,65.256,321.48,203.74,78.23,185.26,65.19
98,576665.723521,66.739,51,40.863,10.434,57.903,146.619,66.381,322.95,204.18,76.51,193.57,66.37
99,576665.732214,66.271,52,41.359,10.014,58.387,145.093,66.179,323.54,203.67,77.16,191.33,66.19
100,576665.736031,65.956,51,40.458,10.04,58.843,144.422,66.282,322.48,203.66,77.8,190.73,66.31
101,576665.739356,64.999,54,39.641,10.131,59.391,140.527,66.036,321.52,203.73,78.45,185.34,65.95
102,576665.745215,65.2,55,39.354,10.283,59.275,141.313,66.287,320.98,203.98,78.33,186.62,66.28
103,576665.751966,65.137,61,39.828,10.324,59.154,140.693,66.213,321.61,204.03,78.17,185.79,66.2
104,576665.760077,65.054,60,39.56,10.394,59.607,141.326,66.884,321.25,204.12,78.77,186.63,66.87
105,576665.763483,65.637,60,40.305,10.172,59.145,143.379,66.913,322.1,203.9,78.23,188.78,66.96
106,576665.76803,65.481,66,40.059,10.24,59.283,142.851,67.06,321.9,203.92,78.34,188.61,67.04
107,576665.772172,65.558,64,39.862,10.323,59.182,143.029,67.143,321.73,204.06,78.06,188.89,67.08
108,576665.775481,65.344,61,39.602,10.334,59.54,142.726,67.417,321.38,204.0,78.71,188.15,67.42
109,576665.784673,65.411,68,39.552,10.37,59.41,142.775,67.437,321.27,204.06,78.53,188.37,67.45
110,576665.787707,65.364,62,39.111,10.43,59.573,142.91,67.731,320.75,204.15,78.68,188.72,67.66
111,576665.7918,65.498,68,39.274,10.497,59.264,142.898,67.46,320.9,204.28,78.21,188.77,67.42
112,576665.796571,65.068,61,39.257,10.324,59.648,141.501,67.767,320.83,204.03,78.82,186.86,67.75
113,576665.800085,65.131,63,39.034,10.325,59.462,141.393,67.87,320.54,204.04,78.58,186.72,67.85
114,576665.808747,65.789,56,37.839,10.657,59.369,144.768,68.187,319.37,204.35,78.57,190.23,68.07
115,576665.812872,65.731,54,37.97,10.773,59.256,144.168,68.135,319.29,204.6,78.28,190.08,68.05
116,576665.81558,65.374,61,38.39,10.627,59.456,142.684,68.111,319.8,204.51,78.47,188.46,67.92
117,576665.820807,64.783,52,38.378,10.547,59.282,139.146,69.25,319.67,204.34,78.34,183.77,69.23
118,576665.823927,66.511,56,36.685,11.222,59.088,148.253,68.829,317.55,205.19,78.09,195.46,68.78
119,576665.828031,65.924,50,37.38,10.915,59.175,145.053,68.613,318.41,204.77,78.23,190.77,68.64
120,576665.836407,65.395,51,36.483,11.298,59.285,142.392,68.421,317.28,205.3,78.32,187.88,68.36
121,576665.848592,65.772,51,37.122,11.07,59.071,143.948,68.22,318.2,204.99,78.13,189.48,68.17
122,576665.851978,66.157,56,36.66,11.269,59.042,146.061,68.646,317.48,205.26,78.04,192.45,68.67
123,576665.861853,66.355,54,36.672,11.284,58.825,146.669,68.57,317.4,205.31,77.76,193.44,68.54
124,576665.863852,66.316,57,36.919,11.275,58.819,146.43,68.595,317.71,205.3,77.75,193.15,68.57
125,576665.867714,66.25,56,37.059,11.234,58.734,145.835,68.539,318.07,205.08,77.84,192.0,68.52
126,576665.872027,66.292,59,36.963,11.183,58.906,146.507,68.466,317.82,205.16,77.85,193.44,68.45
127,576665.875723,66.473,55,36.904,11.221,58.648,146.919,68.511,317.73,205.22,77.51,193.99,68.5
128,576665.884394,66.407,55,36.924,11.163,58.562,146.318,68.38,317.81,205.14,77.5,192.3,68.44
129,576665.88767,66.439,55,36.936,11.234,58.423,146.158,68.338,317.75,205.25,77.23,192.76,68.33
130,576665.891686,66.284,60,36.967,11.226,58.552,145.575,68.342,317.82,205.22,77.38,192.24,68.33
131,576665.896116,66.224,61,37.389,11.104,58.58,145.299,68.233,318.41,205.07,77.48,191.76,68.23
132,576665.900182,66.406,63,37.484,11.102,58.305,145.671,68.156,318.5,205.06,77.05,192.36,68.14
133,576665.90337,66.416,60,37.61,11.012,58.311,145.744,68.045,318.61,204.94,77.12,192.41,68.06
134,576665.912393,65.894,57,39.367,10.651,58.204,142.508,67.253,321.1,204.39,77.05,187.99,67.22
135,576665.915506,65.874,61,37.521,11.21,58.581,143.32,67.996,318.59,205.18,77.43,189.09,68.01
136,576665.920079,66.134,61,37.62,11.095,58.522,144.64,67.874,318.71,205.04,77.41,190.82,67.88
137,576665.928842,66.4,59,37.85,11.146,58.171,145.299,67.543,318.87,205.13,76.94,191.99,67.57
138,576665.936693,66.182,60,38.248,11.02,58.312,144.397,67.525,319.51,204.96,77.06,190.65,67.51
139,576665.939529,66.088,61,38.063,11.161,58.202,143.589,67.579,319.26,205.15,76.91,189.58,67.57
140,576665.94338,65.92,62,38.141,11.168,58.323,142.946,67.558,319.36,205.15,77.07,188.74,67.55
141,576665.947623,66.251,59,38.12,11.144,57.913,143.802,67.505,319.33,205.13,76.53,189.87,67.5
142,576665.952554,66.03,61,38.265,11.155,58.041,142.871,67.436,319.52,205.14,76.7,188.65,67.43
143,576665.96008,65.696,61,38.923,10.918,58.12,141.212,67.266,320.4,204.82,76.8,186.44,67.25
144,576665.96371,65.522,64,39.193,10.741,58.25,140.584,67.138,320.94,204.52,76.95,185.6,66.97
145,576665.968053,65.655,64,38.837,10.991,58.089,140.915,67.384,320.25,204.89,76.69,185.99,67.51
146,576665.9721,65.657,62,38.83,10.889,58.069,140.876,67.359,320.27,204.79,76.73,186.0,67.35
147,576665.976418,65.908,58,39.136,10.677,57.863,141.753,67.209,320.86,204.4,76.44,187.69,67.11
148,576665.983802,65.782,59,39.769,10.096,58.346,142.234,66.659,321.47,203.76,77.12,187.66,66.65
149,576665.987756,65.701,58,38.972,10.99,57.736,140.305,67.532,320.46,204.92,76.29,185.25,67.52
150,576665.991418,65.757,57,38.836,11.068,57.641,140.378,67.519,320.41,205.02,76.25,185.09,67.53
151,576665.996092,65.96,58,38.594,11.132,57.295,140.643,67.963,319.93,205.11,75.67,185.71,68.01
152,576665.999601,66.438,52,40.999,10.068,57.242,143.197,66.331,323.16,203.7,75.63,189.09,66.31
153,576666.003884,65.979,58,38.531,11.221,57.264,140.67,67.768,319.88,205.23,75.67,185.73,67.76
154,576666.012307,66.556,56,40.113,10.098,57.624,144.836,66.929,321.96,203.71,76.22,191.16,66.9
155,576666.024302,65.991,52,39.26,10.803,56.617,139.15,68.188,320.86,204.65,74.7,183.57,68.3
156,576666.02793,65.966,50,40.078,10.221,57.855,142.055,66.764,321.75,203.99,76.5,187.04,66.78
157,576666.036447,66.053,49,38.973,11.055,56.675,139.628,68.003,320.52,204.98,74.92,184.23,67.98
158,576666.039589,66.084,53,39.847,10.038,58.204,143.575,66.713,321.62,203.66,76.92,189.57,66.7
159,576666.043567,66.156,50,40.713,9.867,57.783,142.94,65.99,322.7,203.47,76.38,188.45,65.95
160,576666.047574,66.454,49,40.808,9.765,57.806,144.703,66.22,322.89,203.3,76.38,191.05,66.2
161,576666.051412,66.143,56,40.678,9.73,57.976,143.342,66.138,322.73,203.25,76.58,188.91,66.21
162,576666.056814,66.112,54,40.587,9.749,58.117,143.517,66.075,322.44,203.29,76.84,189.77,66.15
163,576666.064571,65.944,52,40.424,9.45,58.364,143.178,66.374,322.38,202.88,77.12,189.06,66.36
164,576666.067577,65.966,50,40.803,9.656,58.339,143.24,65.743,322.92,203.12,77.04,189.14,65.76
165,576666.071634,65.979,53,41.032,9.54,58.273,143.155,65.638,323.19,203.0,77.0,189.0,65.62
166,576666.075771,66.194,52,40.807,9.503,58.148,144.06,65.826,322.89,202.95,76.83,190.2,65.81
167,576666.07982,65.828,55,40.95,9.456,58.504,142.874,65.699,322.98,202.85,77.4,188.53,65.81
168,576666.088421,66.118,49,40.102,9.646,58.341,144.106,66.279,321.93,203.18,77.15,190.21,66.25
169,576666.09198,65.89,49,40.478,9.722,58.451,143.09,65.925,322.45,203.24,77.23,188.91,65.91
170,576666.095943,65.634,52,41.051,9.573,58.7,142.28,65.386,323.22,203.05,77.56,187.86,65.37
171,576666.099299,66.041,57,41.01,9.312,58.217,143.364,65.744,323.17,202.71,76.93,189.27,65.69
172,576666.112237,65.933,47,40.509,9.64,58.629,143.768,65.699,322.45,203.14,77.43,189.99,65.7
173,576666.116129,66.672,52,40.881,9.047,57.746,145.827,65.653,322.98,202.36,76.3,192.55,65.64
174,576666.120318,66.281,50,40.927,9.154,58.264,144.846,65.673,323.02,202.43,76.9,191.35,65.73
175,576666.123393,66.26,54,38.794,9.425,57.151,141.959,64.28,320.24,202.74,75.79,187.21,64.25
176,576666.127867,66.34,55,41.108,9.046,58.125,144.839,65.492,323.27,202.36,76.82,190.91,65.44
177,576666.13238,66.196,56,40.872,9.307,58.5,144.942,65.458,322.97,202.69,77.29,191.4,65.44
178,576666.140253,66.2,55,38.913,9.526,57.34,142.091,64.266,320.41,202.98,75.78,187.63,64.26
179,576666.14354,66.505,50,40.481,9.271,58.106,145.752,65.399,322.35,202.73,76.81,191.9,65.43
180,576666.147605,66.234,55,39.012,9.575,57.358,142.328,64.234,320.62,202.97,75.88,187.82,64.16
181,576666.152388,66.244,55,38.994,9.633,57.253,142.125,64.267,320.55,203.1,75.83,187.54,64.28
182,576666.155554,66.213,60,39.031,9.521,57.403,142.322,64.222,320.63,202.95,75.85,188.16,64.24
