frame,t,nx,ny,nz,agree_deg
0,576665.229794,0.28991,-0.85937,-0.42123,3.99
1,576665.233125,0.28878,-0.8575,-0.42579,4.15
2,576665.237049,0.29096,-0.85802,-0.42326,4.23
3,576665.240674,0.29237,-0.85644,-0.42549,3.79
4,576665.244611,0.29308,-0.85533,-0.42723,3.85
5,576665.252053,0.29236,-0.85473,-0.42891,4.16
6,576665.25736,0.30009,-0.85319,-0.42663,4.08
7,576665.261052,0.30227,-0.85292,-0.42563,4.4
8,576665.264445,0.30431,-0.84902,-0.43193,4.21
9,576665.268491,0.30192,-0.85053,-0.43064,4.15
10,576665.276583,0.29452,-0.8518,-0.43324,4.76
11,576665.280613,0.29197,-0.85524,-0.42816,5.04
12,576665.283678,0.29686,-0.84951,-0.43612,4.72
13,576665.289237,0.29819,-0.85229,-0.42975,5.29
14,576665.29204,0.29916,-0.85288,-0.4279,5.49
15,576665.300563,0.29702,-0.85413,-0.42689,5.2
16,576665.304636,0.30217,-0.85371,-0.42411,5.59
17,576665.308282,0.30351,-0.85277,-0.42504,5.57
18,576665.312365,0.30283,-0.85045,-0.43016,5.21
19,576665.320535,0.29987,-0.85619,-0.42074,5.62
20,576665.328242,0.30226,-0.85535,-0.42073,5.51
21,576665.331947,0.30106,-0.85598,-0.4203,5.36
22,576665.335973,0.30154,-0.84742,-0.43699,5.06
23,576665.3404,0.29754,-0.85099,-0.43277,4.72
24,576665.344164,0.29828,-0.85186,-0.43054,4.88
25,576665.352026,0.29656,-0.85034,-0.43472,4.54
26,576665.356017,0.29236,-0.84807,-0.44193,4.26
27,576665.360719,0.29182,-0.8481,-0.44223,4.45
28,576665.364451,0.2918,-0.84548,-0.44723,4.3
29,576665.368245,0.29167,-0.84578,-0.44675,4.24
30,576665.376785,0.29193,-0.84464,-0.44874,4.26
31,576665.379769,0.29387,-0.84111,-0.45406,4.15
32,576665.384009,0.2901,-0.84503,-0.44919,4.2
33,576665.388274,0.29156,-0.84223,-0.45347,4.27
34,576665.392357,0.28692,-0.84516,-0.45098,3.85
35,576665.39588,0.2902,-0.84372,-0.45158,4.33
36,576665.404865,0.29044,-0.84331,-0.45219,4.44
37,576665.416591,0.28142,-0.84136,-0.46143,5.17
38,576665.419868,0.28006,-0.84038,-0.46403,3.31
39,576665.428843,0.27492,-0.8402,-0.46743,4.79
40,576665.432655,0.28214,-0.83972,-0.46397,3.86
41,576665.436668,0.28131,-0.83502,-0.47288,3.26
42,576665.440252,0.27998,-0.83833,-0.46777,3.76
43,576665.444141,0.27863,-0.83225,-0.47931,4.24
44,576665.447585,0.28418,-0.83195,-0.47655,3.63
45,576665.456069,0.28503,-0.83136,-0.47706,3.44
46,576665.460416,0.28472,-0.83071,-0.47839,3.35
47,576665.464265,0.28539,-0.8298,-0.47957,3.34
48,576665.467527,0.28467,-0.83003,-0.47959,3.62
49,576665.471564,0.28186,-0.83062,-0.48024,4.05
50,576665.480841,0.28886,-0.83004,-0.47707,3.24
51,576665.484151,0.28731,-0.82943,-0.47906,3.2
52,576665.488371,0.28701,-0.83162,-0.47543,3.25
53,576665.496712,0.29465,-0.82838,-0.47641,3.02
54,576665.503938,0.29009,-0.83137,-0.47399,3.26
55,576665.508829,0.29387,-0.82853,-0.47664,3.03
56,576665.511816,0.29495,-0.82875,-0.47558,3.08
57,576665.516145,0.29417,-0.83217,-0.47006,3.15
58,576665.51972,0.30337,-0.82428,-0.47805,3.18
59,576665.523864,0.30094,-0.82417,-0.47978,3.54
60,576665.531885,0.29452,-0.8324,-0.46943,3.65
61,576665.53722,0.29928,-0.83154,-0.46794,3.05
62,576665.540392,0.30197,-0.8301,-0.46877,3.16
63,576665.543668,0.29395,-0.8315,-0.47138,4.01
64,576665.5479,0.29987,-0.83151,-0.46762,3.23
65,576665.556898,0.28947,-0.82693,-0.48207,5.33
66,576665.560515,0.29349,-0.82836,-0.47716,4.89
67,576665.563498,0.29345,-0.82676,-0.47996,5.08
68,576665.568884,0.29733,-0.83351,-0.46567,4.42
69,576665.571674,0.29836,-0.82675,-0.47693,5.26
70,576665.584838,0.29989,-0.83019,-0.46995,4.89
71,576665.58772,0.30229,-0.82667,-0.4746,5.45
72,576665.592683,0.30632,-0.82905,-0.4678,4.92
73,576665.59588,0.30501,-0.83098,-0.46523,4.9
74,576665.599681,0.30834,-0.82769,-0.46889,4.99
75,576665.607805,0.30381,-0.83128,-0.46548,5.2
76,576665.612506,0.30879,-0.82884,-0.46656,5.26
77,576665.616062,0.3046,-0.83174,-0.46414,5.19
78,576665.620473,0.30464,-0.8321,-0.46347,4.97
79,576665.623521,0.30498,-0.83127,-0.46473,5.14
80,576665.632274,0.30442,-0.83427,-0.4597,5.19
81,576665.635866,0.30511,-0.8315,-0.46424,5.27
82,576665.641248,0.30735,-0.83225,-0.46141,5.58
83,576665.643747,0.30486,-0.83253,-0.46255,5.23
84,576665.648485,0.30608,-0.83242,-0.46194,5.42
85,576665.656681,0.30547,-0.8315,-0.464,5.45
86,576665.668214,0.30339,-0.83598,-0.45727,5.57
87,576665.672249,0.30561,-0.83659,-0.45467,3.35
88,576665.680464,0.30424,-0.83403,-0.46026,4.74
89,576665.684183,0.30406,-0.83826,-0.45262,3.44
90,576665.688392,0.2994,-0.83504,-0.4616,4.15
91,576665.691818,0.31013,-0.82815,-0.46689,3.62
92,576665.696432,0.29598,-0.83978,-0.45515,4.31
93,576665.699499,0.29712,-0.84445,-0.44568,3.33
94,576665.708668,0.30141,-0.84186,-0.44768,4.96
95,576665.713088,0.30093,-0.84247,-0.44686,3.28
96,576665.716081,0.29473,-0.84347,-0.4491,2.42
97,576665.720676,0.30568,-0.83552,-0.45658,4.1
98,576665.724204,0.29214,-0.84833,-0.44158,3.02
99,576665.732659,0.29431,-0.84168,-0.45272,4.09
100,576665.736768,0.29911,-0.84584,-0.44168,3.48
101,576665.739709,0.30516,-0.84062,-0.44748,4.55
102,576665.744783,0.30522,-0.84433,-0.44038,4.11
103,576665.752821,0.30539,-0.84387,-0.44115,4.13
104,576665.760511,0.30706,-0.84621,-0.43548,4.47
105,576665.763893,0.304,-0.84733,-0.43546,3.84
106,576665.768436,0.3048,-0.84704,-0.43546,4.18
107,576665.773332,0.30084,-0.84719,-0.43791,4.71
108,576665.775868,0.30786,-0.84812,-0.43117,4.27
109,576665.785352,0.3035,-0.84821,-0.43409,4.8
110,576665.787917,0.30498,-0.84929,-0.43093,4.9
111,576665.792368,0.30433,-0.84849,-0.43294,4.55
112,576665.797057,0.3125,-0.84796,-0.42814,4.5
113,576665.799872,0.30702,-0.84859,-0.43086,5.24
114,576665.809482,0.30905,-0.85065,-0.4253,4.28
115,576665.812437,0.31071,-0.85029,-0.42481,4.09
