frame,t,nx,ny,nz,agree_deg
0,576665.229794,0.26765,-0.87867,-0.39534,0.43
1,576665.233125,0.26651,-0.87691,-0.40001,0.34
2,576665.237049,0.2687,-0.87741,-0.39743,0.4
3,576665.240674,0.27021,-0.8759,-0.39974,0.7
4,576665.244611,0.27093,-0.87485,-0.40153,0.52
5,576665.252053,0.2702,-0.8743,-0.40322,0.63
6,576665.25736,0.27804,-0.87287,-0.40098,0.43
7,576665.261052,0.28021,-0.87264,-0.39998,0.42
8,576665.264445,0.28231,-0.86893,-0.40653,0.79
9,576665.268491,0.27989,-0.87035,-0.40515,0.34
10,576665.276583,0.27219,-0.87157,-0.40777,1.46
11,576665.280613,0.26958,-0.87485,-0.40244,1.15
12,576665.283678,0.27459,-0.86941,-0.41075,1.5
13,576665.289237,0.27588,-0.87209,-0.40416,1.58
14,576665.29204,0.27686,-0.87267,-0.40224,1.64
15,576665.300563,0.27472,-0.87383,-0.40118,1.25
16,576665.304636,0.27991,-0.87348,-0.39836,1.66
17,576665.308282,0.28128,-0.87259,-0.39933,1.64
18,576665.312365,0.28061,-0.87036,-0.40464,1.52
19,576665.320535,0.27755,-0.87581,-0.39486,1.67
20,576665.328242,0.28,-0.87502,-0.39488,1.56
21,576665.331947,0.27878,-0.87561,-0.39444,1.4
22,576665.335973,0.27949,-0.86747,-0.41156,1.1
23,576665.3404,0.2753,-0.87082,-0.40728,0.92
24,576665.344164,0.27602,-0.87167,-0.40499,1.08
25,576665.352026,0.27433,-0.8702,-0.40927,0.71
26,576665.356017,0.27012,-0.86801,-0.41664,0.69
27,576665.360719,0.26961,-0.86804,-0.4169,0.47
28,576665.364451,0.26962,-0.86555,-0.42206,0.42
29,576665.368245,0.2695,-0.86583,-0.42155,0.27
30,576665.376785,0.26977,-0.86474,-0.42361,0.34
31,576665.379769,0.27197,-0.86138,-0.42902,0.92
32,576665.384009,0.26795,-0.8651,-0.42403,0.24
33,576665.388274,0.26945,-0.86245,-0.42846,0.33
34,576665.392357,0.26477,-0.86519,-0.42585,0.35
35,576665.39588,0.26805,-0.86386,-0.42649,0.36
36,576665.404865,0.26834,-0.86348,-0.42708,0.52
37,576665.416591,0.25922,-0.86161,-0.43638,1.36
38,576665.419868,0.25793,-0.86057,-0.43919,0.76
39,576665.428843,0.2527,-0.86044,-0.44248,1.2
40,576665.432655,0.26007,-0.85998,-0.43909,0.81
41,576665.436668,0.25928,-0.85545,-0.44831,0.77
42,576665.440252,0.25794,-0.85863,-0.44297,1.04
43,576665.444141,0.25658,-0.85284,-0.45479,0.39
44,576665.447585,0.26224,-0.85255,-0.45209,0.41
45,576665.456069,0.26314,-0.85199,-0.45263,0.62
46,576665.460416,0.26283,-0.85135,-0.45401,0.69
47,576665.464265,0.26352,-0.85048,-0.45523,0.7
48,576665.467527,0.26276,-0.85072,-0.45523,0.45
49,576665.471564,0.25987,-0.85129,-0.45582,0.05
50,576665.480841,0.26706,-0.85073,-0.4527,0.81
51,576665.484151,0.26553,-0.85013,-0.45472,0.95
52,576665.488371,0.26519,-0.85223,-0.45097,0.96
53,576665.496712,0.27299,-0.84916,-0.45211,1.04
54,576665.503938,0.26828,-0.852,-0.44957,0.81
55,576665.508829,0.27231,-0.84928,-0.45229,1.6
56,576665.511816,0.2733,-0.84952,-0.45125,1.01
57,576665.516145,0.27239,-0.85278,-0.44561,1.12
58,576665.51972,0.28205,-0.84526,-0.45384,1.57
59,576665.523864,0.27957,-0.84517,-0.45556,1.47
60,576665.531885,0.2727,-0.85303,-0.44495,0.98
61,576665.53722,0.27759,-0.8522,-0.4435,1.18
62,576665.540392,0.28036,-0.85084,-0.44437,0.95
63,576665.543668,0.27213,-0.85219,-0.4469,0.58
64,576665.5479,0.27819,-0.85218,-0.44317,0.96
65,576665.556898,0.26756,-0.8479,-0.45769,1.34
66,576665.560515,0.27164,-0.84926,-0.45274,0.87
67,576665.563498,0.27165,-0.84774,-0.45558,1.12
68,576665.568884,0.27547,-0.85415,-0.44108,1.09
69,576665.571674,0.27662,-0.84777,-0.45252,1.26
70,576665.584838,0.2781,-0.85102,-0.44545,1.08
71,576665.58772,0.28059,-0.84772,-0.45016,1.44
