frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,578061.783813,64.091,58,40.046,10.214,62.419,142.853,66.747,321.88,203.89,82.48,188.6,66.73
1,578061.792121,64.158,60,39.505,10.439,62.338,143.013,66.665,321.15,204.24,82.25,188.92,66.67
2,578061.799982,64.161,66,40.418,10.516,61.601,141.338,66.137,322.4,204.26,81.42,186.62,66.09
3,578061.804142,64.686,65,38.927,10.809,61.547,143.945,66.797,320.46,204.62,81.3,189.99,66.73
4,578061.80828,64.32,64,39.177,10.724,62.019,143.116,66.945,320.7,204.56,81.9,189.01,66.9
5,578061.812256,64.372,64,38.934,10.939,62.013,143.375,66.672,320.41,204.85,81.95,189.3,66.66
6,578061.815647,64.059,67,39.943,10.68,61.847,141.381,66.176,321.75,204.5,81.72,186.66,66.16
7,578061.824458,64.474,63,38.614,10.996,61.899,143.647,66.744,319.98,204.88,81.88,189.65,66.74
8,578061.828873,63.935,67,39.881,10.568,62.054,141.225,66.075,321.75,204.32,81.99,186.41,66.0
9,578061.832404,64.424,63,38.567,10.947,62.056,143.744,66.633,319.94,204.82,82.05,189.62,66.68
10,578061.837181,64.31,63,38.564,10.975,62.369,143.871,66.646,319.87,204.92,82.41,190.12,66.61
11,578061.840518,63.922,65,39.745,10.71,62.169,141.423,66.081,321.49,204.54,82.15,186.72,66.06
12,578061.843937,64.216,66,38.714,10.861,62.306,143.238,66.697,320.28,204.68,82.4,188.79,66.68
13,578061.851728,64.474,60,38.578,11.036,62.096,144.1,66.492,319.93,204.96,82.06,190.26,66.52
14,578061.856357,64.298,65,38.634,10.893,62.355,143.779,66.669,320.08,204.69,82.42,189.83,66.63
15,578061.860791,64.188,66,38.985,10.777,62.313,143.112,66.631,320.6,204.52,82.46,188.75,66.57
16,578061.86357,63.92,68,39.913,10.475,62.268,141.642,66.198,321.75,204.17,82.36,187.03,66.12
17,578061.867719,64.154,66,40.322,10.513,61.659,141.437,66.025,322.25,204.28,81.47,186.73,66.0
18,578061.879693,64.235,65,40.386,10.486,61.517,141.521,66.141,322.33,204.25,81.29,186.84,66.12
19,578061.883953,64.292,65,40.77,10.337,61.371,141.476,65.861,322.84,204.05,81.09,186.78,65.84
20,578061.891516,64.341,66,40.864,10.32,61.153,141.227,65.969,322.97,204.03,80.84,186.47,65.98
21,578061.899627,64.81,63,39.617,10.616,61.314,144.058,66.633,321.31,204.39,81.1,190.08,66.63
22,578061.903427,64.592,61,39.959,10.465,61.535,143.417,66.46,321.9,204.1,81.46,189.1,66.38
23,578061.907504,64.349,62,40.678,10.259,61.579,142.251,66.291,322.8,203.91,81.66,187.42,66.27
24,578061.911092,64.633,63,40.207,10.547,61.42,143.364,66.668,322.14,204.3,81.17,189.09,66.67
25,578061.917404,64.722,60,40.312,10.492,61.337,143.64,66.349,322.28,204.22,81.06,189.44,66.36
26,578061.919404,64.577,62,40.495,10.311,61.565,143.408,66.241,322.51,203.97,81.44,189.07,66.26
27,578061.929496,64.715,65,40.448,10.265,61.391,143.731,66.132,322.43,203.96,81.14,189.74,66.13
28,578061.932852,64.158,67,41.549,9.98,61.761,141.691,65.752,323.78,203.54,81.88,187.02,65.81
29,578061.935766,64.206,65,41.91,10.055,61.453,141.229,65.283,324.35,203.68,81.2,186.44,65.26
30,578061.941108,64.116,63,41.933,10.104,61.576,141.053,65.23,324.39,203.75,81.41,186.2,65.24
31,578061.943319,64.262,61,40.462,10.142,62.247,143.341,65.953,322.46,203.8,82.29,189.19,65.96
32,578061.952797,64.305,61,41.699,9.993,61.292,141.363,65.057,324.07,203.6,80.98,186.62,65.04
