# generated, 2026-08-15T22:04:08+00:00
# source, camera:0
# radius_mm, 10.2446
# axial, True
# fps_measured, 120.3796171216232
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
22,664710.996147,664710.996147,1.9310,3.7103,23.3278,44.2990,113.3366,16.4949,-0.276660,0.641269,-0.715704,17.7643,3.0969,47.2198,685.661,465.306,1311.935,860.937,16.495,519256.0,33.2865,91.633,2,9.813,5.1677,0.3745,5.5422
23,664711.004736,664711.004736,1.1551,3.4944,22.0706,50.7353,103.8632,10.4367,-0.185509,0.751677,-0.632904,5.7039,-0.4836,12.6239,623.144,445.940,1406.945,782.674,10.437,520296.0,41.3940,106.195,2,9.487,5.4151,0.3806,5.7957
24,664711.012720,664711.012720,1.1597,3.4974,22.0926,50.5518,103.8148,10.3673,-0.184389,0.749861,-0.635381,-0.8207,-1.9992,-2.6412,623.094,445.897,1404.790,785.164,10.367,520245.0,41.6218,105.834,2,0.187,4.9751,0.5125,5.4876
25,664711.020644,664711.020644,1.1545,3.4985,22.0804,50.6411,103.8491,10.4157,-0.185075,0.750712,-0.634176,-3.9365,-2.3605,-8.4406,622.945,446.108,1405.940,783.870,10.416,519964.0,41.4790,106.024,2,0.093,4.8338,0.3572,5.1911
26,664711.028423,664711.028423,1.1512,3.4987,22.0737,50.6854,103.8776,10.4511,-0.185566,0.751095,-0.633578,-4.8705,-2.1371,-8.9073,622.857,446.196,1406.555,783.279,10.451,519859.0,41.3933,106.115,2,0.049,4.6522,0.3737,5.0259
27,664711.036181,664711.036181,1.1645,3.4978,22.1003,50.5085,103.7630,10.3088,-0.183596,0.749561,-0.635964,-4.2416,-1.6890,-6.0577,623.208,445.841,1404.106,785.639,10.309,519970.0,41.7364,105.752,2,0.198,5.0491,0.3820,5.4311
28,664711.044451,664711.044451,1.1298,3.4729,22.0500,51.2954,104.2900,10.9244,-0.192621,0.756234,-0.625305,-3.9098,-1.6972,-4.8400,622.833,445.535,1410.133,774.174,10.924,519879.0,43.9005,107.211,2,0.887,4.7763,0.3598,5.1361
29,664711.052782,664711.052782,1.1324,3.5853,21.7753,51.4268,104.9420,11.4750,-0.201583,0.755377,-0.623514,-2.9674,1.0891,-12.1020,627.604,454.031,1431.616,777.299,11.475,520335.0,39.5678,107.908,2,0.526,5.3364,0.3798,5.7162
30,664711.061073,664711.061073,1.2114,3.5090,22.1040,50.9433,102.6248,9.2645,-0.169721,0.757748,-0.630089,-0.2111,0.5680,-0.8697,623.428,446.571,1405.056,775.140,9.265,519991.0,40.6161,106.884,2,1.869,4.8314,0.3988,5.2302
31,664711.068895,664711.068895,1.1216,3.5797,21.7595,51.5436,105.0495,11.6011,-0.203330,0.756223,-0.621919,-0.8102,1.7597,-7.3966,627.293,453.875,1433.165,775.956,11.601,520089.0,40.9767,108.114,2,1.984,4.8625,0.5004,5.3630
