frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,605275.557566,51.285,71,118.31,22.193,72.034,115.172,66.797,424.55,219.62,94.54,150.54,66.34
1,605275.561844,51.171,76,118.342,22.13,72.169,115.102,66.909,424.62,219.52,94.71,150.52,66.39
2,605275.565845,51.15,75,118.381,22.129,72.162,115.038,66.934,424.7,219.5,94.69,150.53,66.4
3,605275.573967,51.215,74,118.44,22.106,72.155,115.19,66.986,424.78,219.47,94.68,150.72,66.45
4,605275.577471,51.224,73,118.454,22.092,72.167,115.233,66.951,424.8,219.45,94.7,150.78,66.42
5,605275.581405,51.16,75,118.407,22.08,72.226,115.166,66.965,424.74,219.44,94.77,150.7,66.43
6,605275.585294,51.302,75,118.463,22.032,72.141,115.387,66.986,424.83,219.35,94.67,151.05,66.41
7,605275.588914,51.109,79,118.35,22.034,72.229,115.045,66.928,424.66,219.37,94.78,150.54,66.39
8,605275.597577,51.291,72,118.465,21.978,72.18,115.422,66.851,424.85,219.29,94.68,151.16,66.34
9,605275.601861,51.125,77,118.345,22.041,72.236,115.095,66.802,424.66,219.38,94.79,150.61,66.27
10,605275.605576,51.042,74,118.304,22.12,72.189,114.815,66.869,424.61,219.49,94.73,150.24,66.33
11,605275.609726,51.43,76,118.446,22.086,72.025,115.522,67.006,424.78,219.44,94.51,151.16,66.48
12,605275.614135,51.249,74,118.35,22.087,72.137,115.245,66.9,424.59,219.5,94.66,150.6,66.44
13,605275.621924,51.304,73,118.286,22.149,72.05,115.245,66.87,424.56,219.5,94.61,150.87,66.31
14,605275.62583,51.142,79,118.153,22.174,72.132,114.971,66.81,424.37,219.54,94.75,150.33,66.27
15,605275.629695,51.368,77,118.254,22.096,72.092,115.473,66.845,424.56,219.44,94.58,151.19,66.3
16,605275.633373,51.381,77,118.213,22.073,72.083,115.493,66.769,424.48,219.43,94.59,151.13,66.24
17,605275.637372,51.053,79,117.971,22.191,72.186,114.835,66.714,424.17,219.58,94.72,150.28,66.18
18,605275.649329,51.053,79,117.86,22.241,72.193,114.848,66.785,424.03,219.65,94.73,150.3,66.25
19,605275.657337,51.112,78,117.723,22.276,72.115,114.869,66.812,423.85,219.69,94.63,150.33,66.28
20,605275.661272,51.091,74,117.685,22.315,72.11,114.809,66.906,423.8,219.75,94.63,150.25,66.37
21,605275.665189,51.187,76,117.727,22.301,72.103,115.038,66.867,423.85,219.73,94.62,150.55,66.34
22,605275.673061,51.185,78,117.695,22.305,72.11,115.044,66.881,423.81,219.73,94.63,150.56,66.35
23,605275.677086,51.228,78,117.719,22.309,72.093,115.123,66.966,423.84,219.74,94.61,150.66,66.44
24,605275.681226,51.066,76,117.74,22.287,72.249,114.968,66.952,423.82,219.72,94.84,150.31,66.41
25,605275.686299,51.23,79,117.79,22.317,72.114,115.162,66.943,423.93,219.75,94.64,150.71,66.41
26,605275.690753,51.146,80,117.793,22.288,72.218,115.117,66.972,423.94,219.71,94.77,150.65,66.44
27,605275.698142,51.075,78,117.897,22.189,72.321,115.106,66.902,424.07,219.58,94.91,150.63,66.37
28,605275.701807,51.398,75,118.114,22.054,72.186,115.699,66.957,424.35,219.4,94.73,151.4,66.43
29,605275.705907,51.077,75,117.974,22.142,72.22,114.949,67.03,424.2,219.5,94.77,150.49,66.47
30,605275.710607,50.992,75,117.976,22.178,72.237,114.766,67.078,424.2,219.54,94.82,150.22,66.48
31,605275.713455,51.078,74,118.156,22.143,72.158,114.854,66.809,424.44,219.51,94.66,150.39,66.3
32,605275.717737,51.565,73,118.448,22.133,71.837,115.564,66.802,424.79,219.51,94.26,151.22,66.28
33,605275.725765,51.036,73,118.258,22.174,72.124,114.694,66.841,424.54,219.56,94.64,150.08,66.31
34,605275.737564,51.294,76,118.55,22.181,71.942,115.047,66.804,424.9,219.59,94.39,150.48,66.31
