frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,577892.376027,63.913,62,39.19,10.674,62.341,141.768,66.371,320.75,204.5,82.37,187.19,66.36
1,577892.380308,64.539,60,38.47,10.854,61.924,144.046,66.065,319.76,204.76,81.88,189.73,66.07
2,577892.384474,64.267,63,38.791,10.567,62.027,142.859,66.073,320.27,204.34,82.0,188.27,66.06
3,577892.388061,64.016,63,38.947,10.377,62.215,142.002,66.06,320.45,204.12,82.18,187.38,66.02
4,577892.396843,64.007,65,38.866,10.273,62.327,142.216,66.163,320.43,203.92,82.39,187.45,66.16
5,577892.400664,63.937,64,38.98,10.302,62.467,142.176,66.039,320.49,204.02,82.62,187.64,66.03
6,577892.404113,64.119,64,38.89,10.772,62.215,142.528,66.021,320.37,204.62,82.21,188.04,65.97
7,577892.4082,64.518,58,38.51,11.078,62.056,144.241,65.889,319.95,204.97,82.03,190.14,65.9
8,577892.411728,64.204,60,38.65,10.867,62.11,142.723,65.966,320.11,204.73,82.09,188.26,65.94
9,577892.420843,64.483,63,38.828,10.444,61.661,143.135,66.059,320.34,204.17,81.5,188.82,66.03
10,577892.424314,63.934,61,38.787,10.112,62.162,141.467,65.925,320.23,203.75,82.15,186.81,65.91
11,577892.428385,64.805,63,38.701,10.62,61.377,144.176,65.96,320.27,204.35,81.14,189.87,65.95
12,577892.432347,64.271,61,38.546,10.885,61.759,142.262,66.037,320.02,204.72,81.64,187.52,66.03
13,577892.4359,64.504,62,38.631,10.811,61.623,143.16,65.936,319.97,204.76,81.26,189.33,65.96
14,577892.441004,64.627,59,38.559,10.96,61.299,143.052,65.917,319.97,204.84,81.04,188.51,65.93
15,577892.450093,64.347,64,39.144,10.572,61.502,142.063,65.817,320.9,204.26,81.25,187.25,65.79
16,577892.452433,64.96,62,38.816,10.757,60.893,143.871,65.994,320.47,204.51,80.52,189.3,65.97
17,577892.457136,64.903,63,38.73,10.723,61.016,143.851,65.988,320.11,204.59,80.64,189.76,65.99
18,577892.464728,64.619,66,38.936,10.449,61.28,142.967,65.929,320.42,204.2,80.98,188.78,65.91
19,577892.472851,64.712,67,38.97,10.496,61.279,143.452,65.898,320.52,204.23,80.98,189.1,65.89
20,577892.476797,64.91,63,38.926,10.802,61.038,143.944,65.84,320.45,204.65,80.69,189.75,65.8
21,577892.483921,64.688,65,39.088,10.567,61.129,142.975,65.711,320.68,204.34,80.81,188.45,65.68
22,577892.487948,65.077,62,38.905,10.475,60.727,144.108,65.758,320.38,204.23,80.25,190.27,65.74
23,577892.495728,65.004,63,38.922,10.494,60.809,143.907,65.827,320.4,204.26,80.36,190.01,65.81
24,577892.49998,65.002,63,38.893,10.666,60.834,143.954,65.806,320.36,204.48,80.39,190.07,65.79
25,577892.504113,64.847,65,38.903,10.769,60.933,143.357,65.766,320.38,204.62,80.52,189.28,65.75
26,577892.509588,65.011,62,38.802,10.692,60.8,143.926,65.76,320.25,204.52,80.34,190.03,65.74
27,577892.512533,64.677,68,39.13,10.338,61.003,142.625,65.804,320.68,204.05,80.61,188.31,65.79
28,577892.516587,64.765,66,39.065,10.277,60.813,142.644,65.737,320.74,203.93,80.44,187.95,65.74
29,577892.524857,64.847,67,38.908,10.546,60.84,143.138,65.816,320.48,204.32,80.43,188.84,65.8
30,577892.528485,64.984,63,38.62,10.7,60.737,143.628,65.832,320.01,204.53,80.26,189.63,65.82
31,577892.532071,64.778,64,38.862,10.614,60.874,142.853,65.773,320.31,204.42,80.45,188.51,65.75
32,577892.535829,64.805,67,38.77,10.616,60.738,142.674,65.765,320.2,204.42,80.26,188.39,65.75
33,577892.541469,64.827,69,38.684,10.73,60.635,142.554,65.826,320.09,204.57,80.13,188.24,65.81
34,577892.553461,64.984,67,38.258,10.949,60.471,143.001,66.046,319.43,204.88,79.93,188.47,65.97
35,577892.556358,65.169,62,38.264,10.684,60.311,143.615,65.945,319.47,204.53,79.7,189.8,65.96
36,577892.564534,64.997,67,38.115,10.62,60.403,142.913,66.048,319.32,204.46,79.91,188.37,66.05
37,577892.572987,64.96,66,37.837,10.931,60.306,142.484,66.024,319.01,204.84,79.75,188.08,66.03
38,577892.575804,65.246,64,37.978,10.928,60.286,143.974,66.201,319.13,204.85,79.66,190.05,66.21
39,577892.580287,65.103,63,38.065,10.781,60.32,143.28,66.101,319.39,204.57,79.74,188.82,66.12
40,577892.584585,65.105,63,38.055,10.627,60.362,143.395,66.051,319.22,204.46,79.79,189.1,66.06
41,577892.588783,65.135,60,37.794,10.74,60.3,143.406,66.126,318.92,204.58,79.69,189.37,66.12
42,577892.592971,65.225,61,37.709,10.857,60.277,143.841,66.205,318.81,204.74,79.65,189.94,66.19
43,577892.601256,65.15,58,37.915,10.694,60.356,143.622,66.094,319.09,204.52,79.76,189.64,66.08
44,577892.603702,64.831,60,38.373,10.445,60.536,142.339,65.908,319.69,204.19,80.0,187.96,65.89
45,577892.608278,64.857,63,37.978,10.555,60.601,142.633,66.154,319.27,204.31,80.1,188.03,66.1
46,577892.612431,65.071,61,37.871,10.656,60.455,143.431,66.24,319.1,204.44,79.92,189.11,66.21
47,577892.615585,64.901,60,37.824,10.885,60.493,142.612,66.215,318.89,204.8,79.97,188.0,66.2
48,577892.625022,64.899,62,38.137,10.85,60.34,142.237,66.179,319.33,204.76,79.82,187.43,66.15
49,577892.636325,65.359,59,37.61,10.605,59.885,143.636,66.364,318.68,204.38,79.21,189.46,66.32
50,577892.64064,65.398,58,37.753,10.73,59.654,143.291,66.286,318.87,204.57,78.83,189.22,66.28
51,577892.643638,65.321,59,37.782,10.744,59.612,142.773,66.115,318.91,204.59,78.78,188.55,66.11
52,577892.653141,64.808,64,37.865,10.591,60.313,141.697,66.242,319.02,204.35,79.77,187.07,66.21
53,577892.65614,65.228,61,37.621,10.595,59.77,142.648,66.246,318.7,204.39,78.99,188.38,66.24
54,577892.659727,65.129,61,38.025,10.603,59.661,141.854,66.111,319.26,204.37,78.87,187.33,66.07
55,577892.663742,65.121,62,37.88,10.68,59.619,141.715,66.037,319.04,204.5,78.79,187.15,66.03
