frame,t,nx,ny,nz,agree_deg
0,577892.373351,0.29986,-0.85156,-0.43004,1.51
1,577892.380842,0.29377,-0.85147,-0.4344,1.22
2,577892.385271,0.29608,-0.8506,-0.43453,1.35
3,577892.388539,0.29776,-0.84998,-0.43459,1.51
4,577892.392446,0.29552,-0.85124,-0.43365,1.8
5,577892.397257,0.302,-0.85008,-0.43145,1.0
6,577892.402289,0.29469,-0.85088,-0.43493,1.59
7,577892.40848,0.29131,-0.85369,-0.43168,0.94
8,577892.41212,0.30261,-0.85465,-0.42191,0.72
9,577892.416032,0.29574,-0.85713,-0.42175,0.79
10,577892.420135,0.29557,-0.85059,-0.43489,1.74
11,577892.424752,0.29115,-0.85482,-0.42956,0.47
12,577892.433059,0.28725,-0.85522,-0.43139,1.96
13,577892.436621,0.29586,-0.85232,-0.43131,0.59
14,577892.440249,0.28969,-0.85212,-0.43586,1.27
15,577892.444721,0.29171,-0.85094,-0.43682,1.4
16,577892.44907,0.29024,-0.85885,-0.42205,0.63
17,577892.457898,0.28383,-0.8543,-0.43544,1.45
18,577892.46841,0.28138,-0.85502,-0.43562,2.06
19,577892.472262,0.28715,-0.85259,-0.43661,1.39
20,577892.476605,0.28814,-0.85716,-0.42691,0.57
21,577892.484321,0.30219,-0.85379,-0.42394,1.11
22,577892.488557,0.28785,-0.85757,-0.42629,0.55
23,577892.491881,0.2833,-0.85522,-0.43398,1.03
24,577892.496804,0.28292,-0.85409,-0.43645,1.21
25,577892.500861,0.29275,-0.85433,-0.42944,0.08
26,577892.509093,0.29087,-0.85807,-0.42321,0.86
27,577892.513061,0.28893,-0.85917,-0.42231,1.37
28,577892.517314,0.27936,-0.85432,-0.43828,1.96
29,577892.520493,0.29778,-0.8482,-0.43805,1.32
30,577892.525583,0.29305,-0.85926,-0.41928,1.22
31,577892.533027,0.29488,-0.85878,-0.41897,1.39
32,577892.536313,0.29579,-0.85745,-0.42105,1.14
33,577892.540757,0.29628,-0.85696,-0.42171,0.95
34,577892.552755,0.30153,-0.85532,-0.42132,1.25
35,577892.561767,0.29683,-0.85804,-0.41912,1.33
36,577892.565209,0.29858,-0.85385,-0.42636,0.86
37,577892.568373,0.29906,-0.85355,-0.42663,0.87
38,577892.572359,0.29609,-0.85545,-0.4249,1.06
39,577892.576688,0.29734,-0.85674,-0.42142,0.93
40,577892.584265,0.29517,-0.8563,-0.42381,0.64
41,577892.589355,0.2981,-0.85652,-0.42132,1.04
42,577892.5934,0.2928,-0.85975,-0.41845,0.74
