# skew_n, 1327
# skew_median_ms, 1.0143749532289803
# skew_p95_ms, 8.148295630235229
# skew_max_ms, 17.411499982699752
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
0,359021.753025,0.000798,359021.752627,359021.753424
1,359021.785731,0.003514,359021.783974,359021.787488
2,359021.808721,0.000937,359021.808253,359021.809189
3,359021.828462,0.008000,359021.832462,359021.824462
4,359021.849718,0.001810,359021.848813,359021.850624
5,359021.871939,0.000597,359021.871640,359021.872237
6,359021.887073,0.013061,359021.880543,359021.893604
7,359021.912203,0.000562,359021.911922,359021.912484
8,359021.929834,0.001371,359021.930520,359021.929149
9,359021.952286,0.001049,359021.951762,359021.952811
10,359021.965100,0.007283,359021.968742,359021.961459
11,359021.988031,0.007532,359021.991797,359021.984265
12,359022.008668,0.000540,359022.008398,359022.008937
13,359022.028338,0.008020,359022.032348,359022.024329
14,359022.048773,0.000965,359022.048290,359022.049255
15,359022.068272,0.008026,359022.072286,359022.064259
16,359022.088719,0.000534,359022.088452,359022.088986
17,359022.113214,0.001755,359022.112336,359022.114091
18,359022.128221,0.000504,359022.127969,359022.128473
19,359022.145500,0.000760,359022.145120,359022.145880
20,359022.169775,0.000539,359022.169506,359022.170045
21,359022.191871,0.000513,359022.191614,359022.192128
22,359022.210098,0.000981,359022.210589,359022.209608
23,359022.233484,0.001593,359022.232688,359022.234281
24,359022.248821,0.001543,359022.248050,359022.249592
25,359022.272136,0.000689,359022.271792,359022.272481
26,359022.288855,0.001460,359022.288125,359022.289586
27,359022.313455,0.001819,359022.312545,359022.314364
28,359022.328485,0.000513,359022.328229,359022.328741
29,359022.352886,0.000988,359022.352392,359022.353380
30,359022.370156,0.001815,359022.369249,359022.371064
31,359022.390287,0.005772,359022.393173,359022.387401
32,359022.409033,0.000774,359022.408646,359022.409421
33,359022.429088,0.008168,359022.433172,359022.425004
34,359022.448094,0.000496,359022.447847,359022.448342
35,359022.466148,0.000614,359022.465841,359022.466455
36,359022.489576,0.000734,359022.489209,359022.489942
37,359022.512070,0.000518,359022.511811,359022.512329
38,359022.528257,0.000566,359022.527974,359022.528540
39,359022.551939,0.000485,359022.551696,359022.552181
40,359022.568887,0.001687,359022.568044,359022.569731
41,359022.592701,0.001331,359022.592035,359022.593366
42,359022.608941,0.000952,359022.608465,359022.609417
43,359022.632791,0.000587,359022.632497,359022.633085
44,359022.648239,0.000524,359022.647977,359022.648501
45,359022.673101,0.001114,359022.672544,359022.673658
46,359022.688520,0.001457,359022.687792,359022.689248
47,359022.714439,0.000989,359022.714933,359022.713944
48,359022.728847,0.001025,359022.728334,359022.729359
49,359022.754265,0.000748,359022.753892,359022.754639
50,359022.769592,0.001367,359022.768909,359022.770276
51,359022.793242,0.001072,359022.792706,359022.793777
52,359022.815985,0.000508,359022.815731,359022.816239
53,359022.833267,0.001350,359022.832592,359022.833941
54,359022.855975,0.000536,359022.855708,359022.856243
55,359022.872230,0.000809,359022.871825,359022.872635
56,359022.895977,0.000561,359022.895697,359022.896258
57,359022.913125,0.001460,359022.912395,359022.913855
58,359022.936010,0.000561,359022.935730,359022.936291
59,359022.955804,0.000761,359022.955423,359022.956184
60,359022.979495,0.001508,359022.980249,359022.978741
61,359023.001182,0.000764,359023.000800,359023.001564
62,359023.017488,0.001117,359023.016929,359023.018046
63,359023.041225,0.001599,359023.042025,359023.040425
64,359023.057500,0.001995,359023.056503,359023.058498
65,359023.081333,0.000801,359023.080932,359023.081733
66,359023.097048,0.000887,359023.096605,359023.097492
67,359023.113879,0.000311,359023.113723,359023.114034
68,359023.129422,0.000815,359023.129014,359023.129830
69,359023.156326,0.008647,359023.152003,359023.160650
70,359023.175888,0.000959,359023.175408,359023.176367
71,359023.196814,0.007096,359023.200362,359023.193266
72,359023.217320,0.000987,359023.216827,359023.217814
73,359023.234610,0.000763,359023.234228,359023.234991
74,359023.257100,0.000681,359023.256759,359023.257440
75,359023.276789,0.006051,359023.279815,359023.273764
76,359023.296507,0.000995,359023.296010,359023.297005
77,359023.312940,0.000979,359023.312451,359023.313430
78,359023.336924,0.001633,359023.336107,359023.337740
79,359023.354553,0.001549,359023.353779,359023.355328
80,359023.377050,0.000773,359023.376664,359023.377436
81,359023.393934,0.000545,359023.393661,359023.394206
82,359023.416389,0.000972,359023.415903,359023.416875
83,359023.433702,0.001611,359023.432897,359023.434508
