# generated, 2026-08-28T22:18:44+00:00
# source, /Users/meli/Desktop/Kevin/UCB/FlyingRobotsLinLiweiLab/ESP32_PMW/results/flights/2026-08-28_135533
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
24,359022.248821,359022.248821,-1.6612,-3.9337,0.4993,63.2932,-175.1492,77.4390,-0.890118,-0.075539,0.449426,,,,614.249,474.982,421.487,358.198,77.439,50495.0,1.5244,63.321,2,0.200,43.2545,3.7277,46.9822
25,359022.272136,359022.272136,-1.6537,-4.0928,0.4711,63.4118,-174.9217,76.9709,-0.890736,-0.079156,0.447575,,,,614.062,478.300,421.475,357.612,76.971,50334.0,1.4446,63.624,2,0.235,33.6721,3.6008,37.2729
26,359022.288856,359022.288856,-1.6547,-4.2049,0.4505,63.4897,-174.6443,76.4505,-0.890948,-0.083524,0.446358,,,,613.804,480.522,421.382,357.141,76.451,50292.0,1.7474,63.830,2,0.260,36.9923,3.1125,40.1048
27,359022.313454,359022.313454,-1.6457,-4.3853,0.4378,63.6516,-174.4671,76.1815,-0.891937,-0.086401,0.443828,,,,613.849,484.103,421.300,356.347,76.182,50205.0,1.5955,64.206,2,0.227,32.9913,3.3035,36.2948
28,359022.328485,359022.328485,-1.6409,-4.5664,0.4196,63.8221,-174.1563,75.6699,-0.892765,-0.091372,0.441159,,,,613.753,487.653,421.054,355.648,75.670,50141.0,1.4874,64.463,2,0.327,37.5531,2.8987,40.4518
29,359022.352886,359022.352886,-1.6357,-4.9486,0.3692,64.1522,-173.5445,74.5636,-0.894249,-0.101184,0.435983,,,,613.292,495.382,420.952,353.881,74.564,50033.0,1.5015,65.328,2,0.641,33.8023,3.9258,37.7282
30,359022.370157,359022.370157,-1.6562,-5.2438,0.3133,64.2511,-172.8560,73.2035,-0.893714,-0.112015,0.434428,,,,612.229,501.523,420.222,352.783,73.204,49884.0,1.5927,65.586,2,0.628,35.5607,2.8531,38.4138
31,359022.390287,359022.390287,-1.8965,-5.6753,0.2336,65.1331,-172.0443,72.0535,-0.898555,-0.125576,0.420512,,,,607.090,512.022,420.460,345.807,72.054,49706.0,1.6601,69.126,2,1.147,34.2201,4.0393,38.2595
36,359022.489576,359022.489576,-2.9841,-7.5980,-0.7640,68.4759,-169.5765,69.3253,-0.914911,-0.168306,0.366893,,,,576.919,549.395,418.912,328.250,69.325,48171.0,1.6080,76.654,2,4.039,34.2199,2.7948,37.0147
89,359023.551677,359023.551677,-2.0539,-3.8580,-11.6983,31.7267,173.2196,87.0881,-0.522190,0.062086,-0.850566,,,,456.048,467.598,390.817,206.404,87.088,37672.0,1.3627,116.069,2,81.069,35.1543,5.3543,40.5086
91,359023.592758,359023.592758,-1.9506,-2.5566,-11.8782,30.2872,176.9613,90.3077,-0.503625,0.026735,-0.863509,,,,459.289,437.599,391.040,208.750,90.308,37743.0,1.1930,115.293,2,2.405,41.2411,4.6233,45.8645
92,359023.609026,359023.609026,-1.9709,-2.1432,-11.7691,29.6958,179.6879,91.0525,-0.495387,0.002698,-0.868668,,,,461.183,430.722,390.465,210.986,91.052,37942.0,1.2221,114.406,2,1.486,35.8498,5.7606,41.6105
93,359023.632667,359023.632667,-1.6149,-1.4008,-11.7129,29.3463,-177.4778,92.3166,-0.489612,-0.021567,-0.871673,,,,468.628,417.961,390.142,214.435,92.317,37804.0,1.3265,113.133,2,1.439,42.7618,5.0614,47.8232
95,359023.664308,359023.664308,-1.0529,-0.2111,-11.1319,27.8163,-176.3466,94.5839,-0.465689,-0.029735,-0.884449,,,,485.242,393.854,390.810,224.650,94.584,38415.0,1.1810,109.634,2,1.623,62.5360,4.9380,67.4740
96,359023.688803,359023.688803,-1.0071,0.3383,-10.6275,27.2939,-174.9105,95.9680,-0.456746,-0.040679,-0.888666,,,,491.301,382.405,392.159,230.083,95.968,39060.0,1.3458,107.958,2,0.845,45.4547,8.6598,54.1145
111,359023.984875,359023.984875,2.5234,1.2357,-3.0062,5.7941,-15.0300,98.1617,0.097500,-0.026180,0.994891,,,,627.033,365.623,407.139,334.696,98.162,46356.0,1.1730,69.089,2,21.937,38.2718,7.5575,45.8293
112,359024.000800,359024.000800,2.6768,1.1891,-2.9129,5.5202,-16.1719,98.1398,0.092391,-0.026793,0.995362,,,,630.721,366.820,407.207,336.238,98.140,46487.0,1.1809,68.346,2,0.296,33.9634,5.4792,39.4426
113,359024.021809,359024.021809,2.8098,1.1832,-2.8288,5.4337,-13.5690,97.5057,0.092051,-0.022217,0.995506,,,,633.923,367.109,407.191,337.407,97.506,46442.0,1.1681,67.748,2,0.263,38.0340,6.1537,44.1877
114,359024.041910,359024.041910,2.8305,1.1438,-2.7958,5.3163,-13.9037,97.4251,0.089939,-0.022264,0.995698,,,,634.662,367.820,407.371,338.371,97.425,46483.0,1.3162,67.335,2,0.122,35.8726,5.5038,41.3764
115,359024.060745,359024.060745,2.8394,1.1085,-2.7708,5.2467,-14.0479,97.3045,0.088710,-0.022197,0.995810,,,,635.095,368.327,407.320,338.469,97.305,46485.0,1.1698,67.263,2,0.071,36.3230,5.5440,41.8670
116,359024.080882,359024.080882,2.8531,1.0327,-2.7260,5.1506,-13.6497,96.9414,0.087239,-0.021185,0.995962,,,,635.839,369.931,407.296,339.131,96.941,46615.0,1.1033,66.914,2,0.103,35.3746,5.6617,41.0363
117,359024.105076,359024.105076,2.5650,0.8379,-2.4012,4.5847,-15.3160,95.9320,0.077094,-0.021114,0.996800,,,,634.582,374.048,408.681,343.015,95.932,47151.0,1.1126,65.510,2,0.583,35.6392,5.2059,40.8451
