Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.09000000,0.01397748,0.02691733,0.01300089,0.01306192
0.09100000,0.01904355,0.01989807,0.02911466,0.01403851
0.09200000,0.01202429,0.01391644,0.01104770,0.01104770
0.09300000,0.06811731,0.04882962,0.02404859,0.01104770
0.09400000,0.01300089,0.01593066,0.01403851,0.01202429
0.09500000,0.01202429,0.01196326,0.01403851,0.01306192
0.09600000,0.01202429,0.01092563,0.01202429,0.00903348
0.09700000,0.01397748,0.01293985,0.01104770,0.00903348
0.09800000,0.01202429,0.01196326,0.01605274,0.01202429
0.09900000,0.01300089,0.01092563,0.01403851,0.01306192
0.10000000,0.01202429,0.01092563,0.01702933,0.02111881
0.10100000,0.01001007,0.01092563,0.02307199,0.01001007
0.10200000,0.01397748,0.00994903,0.01104770,0.01001007
0.10300000,0.01202429,0.01293985,0.01904355,0.01507614
0.10400000,0.01300089,0.01293985,0.01605274,0.01202429
0.10500000,0.01098666,0.01196326,0.01300089,0.01104770
0.10600000,0.01098666,0.01391644,0.01202429,0.01104770
0.10700000,0.02099673,0.03985717,0.01202429,0.01001007
0.10800000,0.01300089,0.01196326,0.01904355,0.01605274
0.10900000,0.01702933,0.01495407,0.02105777,0.01202429
0.11000000,0.01202429,0.01593066,0.02105777,0.01605274
0.11100000,0.01001007,0.01593066,0.01202429,0.01001007
0.11200000,0.01001007,0.02191229,0.01202429,0.01709037
0.11300000,0.01202429,0.01196326,0.01202429,0.01202429
0.11400000,0.01501511,0.00994903,0.01300089,0.01709037
0.11500000,0.01001007,0.01293985,0.01104770,0.01306192
0.11600000,0.01397748,0.01092563,0.01202429,0.01202429
0.11700000,0.01702933,0.01196326,0.01501511,0.01709037
0.11800000,0.01300089,0.01092563,0.01702933,0.01403851
0.11900000,0.01098666,0.01391644,0.01104770,0.01104770
0.12000000,0.01599170,0.01196326,0.01202429,0.01104770
0.12100000,0.01300089,0.00994903,0.01403851,0.01001007
0.12200000,0.01300089,0.01092563,0.01300089,0.01403851
0.12300000,0.01098666,0.00897244,0.01702933,0.01306192
0.12400000,0.01098666,0.01293985,0.01605274,0.01507614
0.12500000,0.01397748,0.01495407,0.01501511,0.01403851
0.12600000,0.01001007,0.01196326,0.01605274,0.01001007
0.12700000,0.01098666,0.01196326,0.01104770,0.01202429
0.12800000,0.01300089,0.01092563,0.01403851,0.01605274
0.12900000,0.02301096,0.03088473,0.05017243,0.03118992
0.13000000,0.00897244,0.01092563,0.01300089,0.01001007
0.13100000,0.01397748,0.01092563,0.01403851,0.00903348
0.13200000,0.01001007,0.01196326,0.01501511,0.01104770
0.13300000,0.01599170,0.01495407,0.01605274,0.01403851
0.13400000,0.01202429,0.01293985,0.02008118,0.01001007
