Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.10500000,0.00500504,0.00897244,0.01004059,0.01055940
0.10600000,0.00799585,0.00747703,0.00802637,0.00753807
0.10700000,0.00500504,0.00646992,0.00650044,0.00402844
0.10800000,0.00299081,0.00497452,0.01004059,0.00451674
0.10900000,0.00549333,0.03540147,0.02407910,0.00854518
0.11000000,0.00952177,0.00497452,0.00601215,0.00402844
0.11100000,0.00448622,0.00497452,0.00701926,0.00451674
0.11200000,0.00601215,0.00497452,0.00851466,0.00451674
0.11300000,0.00601215,0.00299081,0.01104770,0.00653096
0.11400000,0.00448622,0.00946074,0.00500504,0.01409955
0.11500000,0.00701926,0.00796533,0.00750755,0.00906400
0.11600000,0.00750755,0.00546281,0.00952177,0.00503555
0.11700000,0.00350963,0.00299081,0.00650044,0.00402844
0.11800000,0.00399792,0.00448622,0.00701926,0.00604266
0.11900000,0.00500504,0.00497452,0.00903348,0.00604266
0.12000000,0.00650044,0.00897244,0.00750755,0.00854518
0.12100000,0.00549333,0.00946074,0.00650044,0.00805689
0.12200000,0.01052889,0.00695822,0.00802637,0.01409955
0.12300000,0.00601215,0.00546281,0.00802637,0.00451674
0.12400000,0.00549333,0.00448622,0.00601215,0.00552385
0.12500000,0.00500504,0.01046785,0.00601215,0.00402844
0.12600000,0.00601215,0.00497452,0.00701926,0.00704978
0.12700000,0.00500504,0.00546281,0.00802637,0.00503555
0.12800000,0.00701926,0.00946074,0.00952177,0.01156652
0.12900000,0.00799585,0.00695822,0.00952177,0.00503555
0.13000000,0.00448622,0.00497452,0.00701926,0.00350963
0.13100000,0.00900296,0.00448622,0.00601215,0.00805689
0.13200000,0.00750755,0.00646992,0.01355022,0.01055940
0.13300000,0.02655110,0.00598163,0.01004059,0.00753807
0.13400000,0.00500504,0.01046785,0.00601215,0.00302133
0.13500000,0.00399792,0.00546281,0.00750755,0.00753807
0.13600000,0.01303140,0.00396741,0.01052889,0.01055940
0.13700000,0.00500504,0.00546281,0.00903348,0.00451674
0.13800000,0.00750755,0.00845363,0.00601215,0.00302133
0.13900000,0.00549333,0.00646992,0.00650044,0.00402844
0.14000000,0.00601215,0.00796533,0.00802637,0.00805689
0.14100000,0.00701926,0.00546281,0.00701926,0.00604266
0.14200000,0.00448622,0.00598163,0.00701926,0.00402844
0.14300000,0.00750755,0.00497452,0.00802637,0.00805689
0.14400000,0.00448622,0.00796533,0.00500504,0.00402844
0.14500000,0.00851466,0.02093570,0.00601215,0.08560442
0.14600000,0.00549333,0.02441481,0.01052889,0.00402844
0.14700000,0.00601215,0.00448622,0.00451674,0.00653096
0.14800000,0.00250252,0.00994903,0.00802637,0.00402844
0.14900000,0.00549333,0.00448622,0.00802637,0.00805689
0.15000000,0.00701926,0.00396741,0.00601215,0.00302133
0.15100000,0.00399792,0.00646992,0.00750755,0.00350963
0.15200000,0.01953185,0.13367107,0.13809626,0.00350963
0.15300000,0.00350963,0.39408551,0.38569292,0.00302133
0.15400000,0.00601215,0.38810389,0.39121677,0.00753807
0.15500000,0.00399792,0.18555254,0.17825861,0.00653096
0.15600000,0.00601215,0.00796533,0.00851466,0.01007111
0.15700000,0.00549333,0.00695822,0.00750755,0.00955229
0.15800000,0.00750755,0.01544237,0.00650044,0.00552385
0.15900000,0.00299081,0.02291940,0.01705985,0.02618488
