frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,607956.499718,50.9,64,122.732,20.257,72.258,114.573,65.408,430.4,217.0,94.83,149.79,64.76
1,607956.503467,51.206,71,122.835,20.224,72.304,115.404,65.922,430.5,216.88,95.04,150.76,65.44
2,607956.506914,51.274,70,122.837,20.206,72.297,115.565,65.755,430.56,216.96,94.83,150.98,65.13
3,607956.515453,51.478,65,122.634,20.409,72.069,115.715,66.056,430.32,217.2,94.59,151.04,65.48
4,607956.519703,51.386,65,122.859,20.165,72.347,115.927,65.566,430.57,216.9,94.91,151.47,65.01
5,607956.523338,51.189,71,122.742,20.286,72.288,115.336,65.737,430.47,217.02,94.82,150.58,65.2
6,607956.526842,51.331,66,122.933,20.145,72.331,115.762,65.425,430.72,216.85,94.87,151.33,64.92
7,607956.530949,51.081,71,122.65,20.299,72.278,115.052,65.461,430.3,217.08,94.82,150.35,64.89
8,607956.538947,51.393,66,122.501,20.442,72.067,115.497,65.621,430.1,217.28,94.53,151.05,65.11
9,607956.542854,51.617,65,122.618,20.373,71.977,115.921,65.715,430.23,217.19,94.41,151.55,65.15
10,607956.547132,51.295,70,122.648,20.32,72.107,115.315,65.746,430.25,217.17,94.53,150.57,65.25
11,607956.555469,51.402,66,122.811,20.22,72.015,115.435,65.598,430.45,217.02,94.51,150.48,65.06
12,607956.558865,51.388,68,122.721,20.195,72.144,115.608,65.668,430.36,216.95,94.63,151.16,65.1
13,607956.567424,51.088,74,122.636,20.168,72.319,115.135,65.637,430.31,216.9,94.87,150.39,65.03
14,607956.571102,51.133,74,122.609,20.254,72.224,115.095,65.893,430.27,217.01,94.75,150.34,65.29
15,607956.575817,51.436,68,122.609,20.268,72.091,115.644,65.881,430.14,217.01,94.72,151.11,65.33
16,607956.578972,51.107,73,122.718,20.154,72.347,115.225,65.704,430.36,216.9,94.89,150.66,65.13
17,607956.583481,51.034,74,122.695,20.165,72.356,115.059,65.624,430.32,216.88,94.96,150.39,64.94
18,607956.595343,50.972,71,122.905,20.118,72.381,114.946,65.429,430.68,216.84,94.94,150.11,64.77
19,607956.599474,51.06,74,122.814,20.132,72.389,115.176,65.535,430.49,216.89,94.93,150.6,65.04
20,607956.602867,51.116,74,122.805,20.184,72.327,115.217,65.546,430.5,216.93,94.88,150.56,64.96
21,607956.607623,50.941,75,122.774,20.15,72.47,115.01,65.653,430.48,216.78,95.26,150.34,65.2
22,607956.614906,51.058,65,123.066,20.149,72.233,114.924,65.297,430.82,216.89,94.73,150.26,64.71
23,607956.61859,51.114,71,122.837,20.118,72.412,115.348,65.634,430.46,216.81,95.15,150.74,65.14
24,607956.622469,51.303,68,122.816,20.158,72.256,115.573,65.532,430.44,216.92,94.79,150.95,64.96
25,607956.627365,51.208,68,122.965,20.105,72.188,115.226,65.599,430.71,216.82,94.7,150.55,65.03
26,607956.635607,51.067,69,122.801,20.148,72.192,114.881,65.661,430.61,216.86,94.66,150.15,64.99
27,607956.643206,51.253,67,122.848,20.136,72.151,115.279,65.784,430.58,216.84,94.65,150.71,65.17
28,607956.647438,51.239,63,122.58,20.206,72.186,115.299,65.66,430.22,216.97,94.66,150.88,65.15
29,607956.650318,50.908,66,122.808,20.08,72.352,114.74,65.3,430.51,216.78,94.88,150.11,64.69
30,607956.654958,51.432,66,122.711,20.121,72.225,115.85,65.604,430.35,216.86,94.73,151.47,65.04
31,607956.658823,51.215,66,122.792,20.149,72.234,115.316,65.576,430.46,216.91,94.75,150.6,65.05
32,607956.666873,51.49,63,122.681,20.162,72.214,115.977,65.507,430.35,216.91,94.7,151.57,64.9
33,607956.679334,51.153,73,122.73,20.072,72.403,115.432,65.623,430.33,216.83,94.96,150.8,65.11
34,607956.683631,51.043,68,122.972,20.007,72.384,115.125,65.322,430.67,216.72,94.95,150.43,64.73
35,607956.69505,51.429,67,122.893,20.052,72.214,115.824,65.653,430.65,216.75,94.73,151.26,65.03
36,607956.699025,51.419,67,122.768,20.1,72.194,115.765,65.754,430.33,216.82,94.85,151.05,65.25
37,607956.703138,50.924,67,122.824,20.134,72.306,114.708,65.452,430.5,216.87,94.83,149.98,64.87
38,607956.707134,51.394,68,122.839,20.068,72.252,115.795,65.635,430.58,216.75,94.78,151.39,65.02
39,607956.710411,51.231,70,122.598,20.179,72.35,115.542,65.859,430.18,216.85,95.1,151.07,65.29
40,607956.719353,51.171,71,122.712,20.19,72.349,115.389,65.709,430.35,216.95,94.89,150.87,65.14
41,607956.723353,51.317,67,122.685,20.271,72.198,115.515,65.759,430.33,217.13,94.6,150.95,65.41
42,607956.727001,51.258,69,122.702,20.291,72.246,115.444,65.851,430.37,217.07,94.78,150.84,65.27
43,607956.730315,51.528,64,122.637,20.44,71.978,115.695,66.031,430.26,217.28,94.46,151.03,65.45
44,607956.734824,51.651,64,122.565,20.488,71.941,115.949,66.069,430.23,217.31,94.39,151.4,65.48
45,607956.743289,51.081,67,122.787,20.246,72.273,115.044,65.432,430.47,217.03,94.8,150.24,64.78
46,607956.74738,51.198,74,122.636,20.244,72.302,115.382,65.87,430.25,216.92,95.02,150.61,65.46
47,607956.751231,51.706,64,123.057,20.032,72.142,116.415,65.387,430.85,216.73,94.64,152.03,64.8
48,607956.759397,51.259,70,122.78,20.157,72.289,115.515,65.626,430.44,216.91,94.85,150.84,65.06
49,607956.775373,50.974,66,122.857,20.102,72.384,114.955,65.181,430.62,216.84,94.89,150.32,64.58
50,607956.778591,51.047,71,122.699,20.152,72.403,115.165,65.595,430.39,216.87,94.97,150.58,65.02
51,607956.782527,50.963,69,122.615,20.132,72.532,115.163,65.558,430.13,216.82,95.34,150.58,65.12
52,607956.787033,51.465,63,122.6,20.239,72.276,116.014,65.721,430.21,217.01,94.8,151.69,65.16
