index,t_capture,skew_s,t_a,t_b
0,582439.887371,0.000971,582439.886885,582439.887856
1,582439.895558,0.001703,582439.894706,582439.896409
2,582439.903338,0.003250,582439.901713,582439.904963
3,582439.909823,0.007739,582439.905953,582439.913693
4,582439.913862,0.001930,582439.912897,582439.914827
5,582439.914916,0.001594,582439.914118,582439.915713
6,582439.968024,0.007967,582439.964041,582439.972007
7,582439.976505,0.020150,582439.966430,582439.986579
8,582439.988347,0.004031,582439.986332,582439.990363
9,582439.991191,0.005298,582439.988542,582439.993840
10,582439.993024,0.002603,582439.991722,582439.994325
11,582439.994918,0.000459,582439.994688,582439.995147
12,582439.998446,0.004814,582440.000852,582439.996039
13,582440.009064,0.015150,582440.001490,582440.016639
14,582440.017766,0.000581,582440.018057,582440.017475
15,582440.018552,0.000453,582440.018778,582440.018325
16,582440.019337,0.000791,582440.019732,582440.018941
17,582440.023901,0.004105,582440.025953,582440.021848
18,582440.033966,0.000788,582440.034361,582440.033572
19,582440.038410,0.003183,582440.036818,582440.040001
20,582440.040797,0.002003,582440.039796,582440.041799
21,582440.043743,0.007058,582440.040214,582440.047272
22,582440.046743,0.005314,582440.044086,582440.049400
23,582440.050234,0.000422,582440.050023,582440.050445
24,582440.050868,0.000484,582440.050626,582440.051109
25,582440.059062,0.000502,582440.059313,582440.058811
26,582440.066425,0.000160,582440.066505,582440.066345
27,582440.067687,0.000241,582440.067807,582440.067566
28,582440.068841,0.000343,582440.068669,582440.069012
29,582440.070229,0.000175,582440.070142,582440.070317
30,582440.070873,0.000100,582440.070923,582440.070823
31,582440.071872,0.000351,582440.071697,582440.072048
32,582440.072668,0.000728,582440.072304,582440.073033
33,582440.079292,0.011636,582440.073474,582440.085110
34,582440.085186,0.001405,582440.084483,582440.085888
35,582440.086181,0.001336,582440.085513,582440.086849
36,582440.086860,0.000795,582440.086462,582440.087257
37,582440.087396,0.000515,582440.087138,582440.087653
38,582440.088106,0.000917,582440.087647,582440.088564
39,582440.090072,0.004152,582440.087996,582440.092148
40,582440.091791,0.002544,582440.090519,582440.093063
41,582440.097818,0.003646,582440.099641,582440.095995
