index,t_capture,skew_s,t_a,t_b
0,585744.571959,0.000698,585744.571610,585744.572308
1,585744.592333,0.015179,585744.584743,585744.599922
2,585744.613192,0.027723,585744.599330,585744.627054
3,585744.630768,0.000250,585744.630643,585744.630894
4,585744.631296,0.000415,585744.631089,585744.631503
5,585744.662079,0.000152,585744.662003,585744.662155
6,585744.664791,0.004060,585744.662761,585744.666821
7,585744.667073,0.000941,585744.666602,585744.667543
8,585744.670607,0.000204,585744.670505,585744.670709
9,585744.672802,0.000933,585744.672336,585744.673269
10,585744.693032,0.000353,585744.693209,585744.692856
11,585744.696697,0.000025,585744.696684,585744.696709
12,585744.698141,0.000423,585744.697929,585744.698352
13,585744.699209,0.000133,585744.699143,585744.699276
14,585744.700123,0.000239,585744.700242,585744.700003
15,585744.702532,0.000218,585744.702423,585744.702641
16,585744.703275,0.000301,585744.703425,585744.703124
17,585744.704339,0.000089,585744.704294,585744.704383
18,585744.705114,0.000538,585744.704845,585744.705383
19,585744.706273,0.000920,585744.705813,585744.706733
20,585744.706903,0.000254,585744.706775,585744.707030
21,585744.707540,0.000410,585744.707335,585744.707745
22,585744.708353,0.000621,585744.708664,585744.708043
23,585744.713752,0.003211,585744.715358,585744.712147
24,585744.723031,0.000471,585744.723267,585744.722795
25,585744.724500,0.000290,585744.724355,585744.724645
26,585744.730017,0.003500,585744.728266,585744.731767
27,585744.733564,0.005146,585744.730991,585744.736137
28,585744.739773,0.001059,585744.740303,585744.739244
29,585744.743593,0.000953,585744.743117,585744.744070
30,585744.747578,0.000796,585744.747180,585744.747976
31,585744.753889,0.002952,585744.752413,585744.755365
32,585744.758138,0.002660,585744.756808,585744.759468
33,585744.762218,0.003705,585744.760366,585744.764071
34,585744.767492,0.001032,585744.766976,585744.768008
35,585744.772713,0.000862,585744.773144,585744.772282
36,585744.778490,0.003449,585744.776766,585744.780215
37,585744.781167,0.003863,585744.779236,585744.783099
38,585744.786033,0.004315,585744.783875,585744.788190
39,585744.792129,0.000676,585744.791791,585744.792466
40,585744.801412,0.000129,585744.801476,585744.801347
41,585744.802185,0.000572,585744.802471,585744.801899
42,585744.805357,0.003930,585744.803391,585744.807322
43,585744.810477,0.004149,585744.808403,585744.812551
44,585744.816472,0.001100,585744.817022,585744.815922
45,585744.820064,0.001476,585744.819326,585744.820802
46,585744.824413,0.000872,585744.823978,585744.824849
47,585744.830065,0.004592,585744.827769,585744.832361
48,585744.834059,0.005409,585744.831354,585744.836764
49,585744.844293,0.001577,585744.843504,585744.845082
50,585744.845401,0.002153,585744.844325,585744.846477
51,585744.847233,0.000935,585744.846765,585744.847701
52,585744.854219,0.000332,585744.854053,585744.854385
53,585744.858185,0.001835,585744.857268,585744.859103
54,585744.862211,0.004471,585744.859976,585744.864446
55,585744.871843,0.001069,585744.871308,585744.872377
56,585744.873094,0.000325,585744.872931,585744.873256
57,585744.875676,0.001122,585744.875115,585744.876237
58,585744.883400,0.003040,585744.881880,585744.884921
59,585744.887519,0.007587,585744.883725,585744.891313
60,585744.892777,0.003577,585744.890989,585744.894566
61,585744.899896,0.000871,585744.899460,585744.900331
62,585744.901935,0.000895,585744.901487,585744.902383
63,585744.907976,0.002557,585744.906698,585744.909255
64,585744.912066,0.007429,585744.908352,585744.915781
65,585744.916062,0.001894,585744.915115,585744.917009
66,585744.920233,0.000376,585744.920045,585744.920421
67,585744.926284,0.001147,585744.925711,585744.926858
68,585744.933702,0.000187,585744.933609,585744.933796
69,585744.935134,0.000448,585744.934910,585744.935358
70,585744.938787,0.004239,585744.936668,585744.940907
71,585744.945020,0.001184,585744.944428,585744.945612
72,585744.947777,0.001050,585744.947253,585744.948302
73,585744.951793,0.000920,585744.951333,585744.952253
74,585744.957945,0.003175,585744.956357,585744.959532
75,585744.962341,0.003390,585744.960646,585744.964036
76,585744.966406,0.003553,585744.964629,585744.968182
77,585744.972419,0.000552,585744.972143,585744.972695
78,585744.976655,0.000712,585744.976299,585744.977011
79,585744.983300,0.003340,585744.981630,585744.984970
80,585744.987090,0.005621,585744.984280,585744.989901
81,585744.991692,0.003058,585744.990163,585744.993221
82,585745.000822,0.001592,585745.001618,585745.000026
83,585745.004358,0.001610,585745.003553,585745.005163
84,585745.006299,0.001801,585745.005398,585745.007199
85,585745.015716,0.011782,585745.009825,585745.021607
86,585745.019877,0.005800,585745.016977,585745.022777
87,585745.026144,0.005073,585745.023607,585745.028680
88,585745.033270,0.009878,585745.028330,585745.038209
89,585745.039021,0.001862,585745.038090,585745.039952
90,585745.042230,0.004043,585745.040208,585745.044252
91,585745.047824,0.000684,585745.048166,585745.047482
92,585745.052169,0.000270,585745.052034,585745.052304
93,585745.058191,0.003890,585745.056246,585745.060136
94,585745.061068,0.003841,585745.059147,585745.062988
95,585745.066503,0.004924,585745.064041,585745.068965
96,585745.074351,0.000548,585745.074626,585745.074077
97,585745.075501,0.000919,585745.075961,585745.075041
98,585745.079645,0.000899,585745.079195,585745.080094
99,585745.085617,0.002682,585745.084276,585745.086958
100,585745.090452,0.004882,585745.088011,585745.092893
101,585745.097050,0.000659,585745.097380,585745.096721
102,585745.100437,0.000643,585745.100758,585745.100115
103,585745.108060,0.000952,585745.108536,585745.107584
104,585745.111045,0.000339,585745.110875,585745.111214
105,585745.114400,0.003784,585745.112508,585745.116292
106,585745.117731,0.004651,585745.115406,585745.120056
107,585745.125318,0.000626,585745.125005,585745.125631
108,585745.128125,0.000933,585745.128591,585745.127659
109,585745.133811,0.003162,585745.132230,585745.135392
