t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.309,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.803,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.297,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.296,0,-0.00,-0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.306,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.799,1,0.00,0.00,0.00,0.01,100.0,100.0,100.0,100.0
5.306,1,0.05,0.05,0.00,0.00,100.0,100.0,100.0,100.0
5.801,1,0.05,0.06,0.00,0.01,100.0,100.0,100.0,100.0
6.307,1,0.10,0.10,0.00,0.02,100.0,100.0,100.0,100.0
6.801,1,0.05,0.07,0.00,0.02,100.0,100.0,100.0,100.0
7.304,1,0.11,0.13,0.00,0.05,100.0,100.0,100.0,100.0
7.808,1,0.22,0.21,0.00,0.10,100.0,100.0,100.0,100.0
8.302,1,0.11,0.10,0.00,0.18,100.0,100.0,100.0,100.0
8.807,1,0.26,0.22,0.00,0.17,100.0,100.0,100.0,100.0
9.303,1,0.30,0.27,0.00,0.22,100.0,100.0,100.0,100.0
9.810,1,0.20,0.23,0.00,0.27,100.0,100.0,100.0,100.0
10.306,1,0.28,0.28,0.00,0.34,100.0,100.0,100.0,100.0
10.803,1,0.43,0.44,0.00,0.33,100.0,100.0,100.0,100.0
11.310,1,0.38,0.39,0.00,0.46,100.0,100.0,100.0,100.0
11.807,1,0.43,0.47,0.00,0.47,100.0,100.0,100.0,100.0
12.311,1,0.47,0.45,0.00,0.57,100.0,100.0,100.0,100.0
12.806,1,0.52,0.62,0.00,0.56,100.0,100.0,100.0,100.0
13.309,1,0.74,0.79,0.00,0.55,100.0,100.0,100.0,100.0
13.814,1,0.79,0.85,0.00,0.55,100.0,100.0,100.0,100.0
14.308,1,0.94,0.94,0.00,0.56,100.0,100.0,100.0,100.0
14.811,1,0.87,0.92,0.00,0.61,100.0,100.0,100.0,100.0
15.317,1,0.90,0.88,0.00,0.62,100.0,100.0,100.0,100.0
