z,ux,uy,uz,vx,vy,vz,a,b,nz,bdc_z,dbdc_zz
0.014,-0.002068916846721457,4.87890977618477e-19,1.261101427931785e-20,-4.336808689942018e-19,-0.002068916846721457,9.402746290310332e-21,0.002068916846721457,0.002068916846721457,1.0,-0.000792618316880661,-0.011692236302560803
0.018,-0.0020876370594380897,5.421010862427522e-19,9.452546138130626e-20,-3.7947076036992655e-19,-0.0020876370594380897,9.970336483964273e-21,0.0020876370594380897,0.0020876370594380897,1.0,-0.0008240936550895496,-0.0039027381178271363
0.02,-0.0020893962636163183,5.421010862427522e-19,9.947306287147374e-20,-3.2526065174565133e-19,-0.0020893962636163183,-3.52022359491905e-21,0.0020893962636163183,0.0020893962636163183,1.0,-0.0008277986699744247,0.0002062617463763451
0.0199,-0.0020894064287586456,5.963111948670274e-19,1.7164972069200906e-20,-4.87890977618477e-19,-0.0020894064287586456,2.5338653056078426e-21,0.0020894064287586456,0.0020894064287586456,1.0,-0.0008278089831212275,0.0
0.024,-0.0020798653504563334,4.87890977618477e-19,6.294377401358365e-20,-3.7947076036992655e-19,-0.002079865350456334,-1.9098049132230374e-20,0.002079865350456334,0.002079865350456334,1.0,-0.0008106393030567812,0.008294693185122293
0.03,-0.0020097517074833056,5.421010862427522e-19,-1.0480181546327785e-19,-4.87890977618477e-19,-0.002009751707483306,-6.831283885614741e-20,0.002009751707483306,0.002009751707483306,1.0,-0.0007285196452862526,0.01854200622480001
-1.0,-0.002105555881215443,8.879130513417613e-06,4.137974831259317e-07,8.805017428436754e-06,-0.002078123199491111,1.5093961310711414e-07,0.0021081588927104235,0.002075520234922268,0.9999999779290639,-0.0008329862678023701,0.00020986924305821955
