index,t_capture,skew_s,t_a,t_b
0,584581.250390,0.000628,584581.250704,584581.250076
1,584581.265655,0.000032,584581.265639,584581.265671
2,584581.268663,0.000051,584581.268689,584581.268638
3,584581.273616,0.000012,584581.273610,584581.273622
4,584581.274782,0.000997,584581.274283,584581.275280
5,584581.278686,0.000811,584581.279092,584581.278280
6,584581.281448,0.002980,584581.279958,584581.282938
7,584581.285223,0.003234,584581.283606,584581.286840
8,584581.289454,0.003481,584581.287713,584581.291194
9,584581.296154,0.008018,584581.292145,584581.300163
10,584581.303279,0.006188,584581.300185,584581.306373
11,584581.307281,0.003603,584581.305479,584581.309083
12,584581.313789,0.005782,584581.310898,584581.316680
13,584581.316711,0.003372,584581.315025,584581.318397
14,584581.328702,0.009928,584581.323737,584581.333666
15,584581.335435,0.005112,584581.332879,584581.337991
16,584581.340225,0.003081,584581.338685,584581.341765
17,584581.351257,0.000257,584581.351128,584581.351386
18,584581.352758,0.000926,584581.353221,584581.352295
19,584581.354660,0.001119,584581.354101,584581.355220
20,584581.355484,0.001409,584581.354780,584581.356189
21,584581.360957,0.001364,584581.361639,584581.360275
22,584581.363155,0.000553,584581.362879,584581.363431
23,584581.369130,0.010072,584581.364094,584581.374166
24,584581.376476,0.005890,584581.373531,584581.379421
25,584581.385612,0.000864,584581.386044,584581.385180
26,584581.386589,0.000289,584581.386733,584581.386445
27,584581.389998,0.000179,584581.389908,584581.390088
28,584581.393493,0.004981,584581.391002,584581.395983
29,584581.398563,0.006414,584581.395356,584581.401770
30,584581.404511,0.006975,584581.401023,584581.407998
31,584581.407914,0.002290,584581.406769,584581.409059
32,584581.409878,0.002048,584581.408854,584581.410902
33,584581.413957,0.004040,584581.411937,584581.415977
34,584581.421735,0.002491,584581.420490,584581.422981
35,584581.425471,0.003063,584581.423940,584581.427002
36,584581.429494,0.003128,584581.427930,584581.431057
37,584581.434079,0.004066,584581.432046,584581.436113
38,584581.439663,0.001647,584581.440486,584581.438839
39,584581.444279,0.005891,584581.441334,584581.447224
40,584581.450983,0.000241,584581.450863,584581.451104
41,584581.454382,0.005232,584581.451765,584581.456998
42,584581.460743,0.001671,584581.461579,584581.459908
43,584581.463569,0.000510,584581.463314,584581.463824
44,584581.466214,0.002916,584581.464755,584581.467672
45,584581.472272,0.007790,584581.468377,584581.476167
46,584581.486539,0.000323,584581.486378,584581.486701
47,584581.488851,0.000646,584581.488529,584581.489174
48,584581.489334,0.000509,584581.489079,584581.489588
49,584581.491373,0.001492,584581.490627,584581.492119
50,584581.497474,0.009622,584581.492663,584581.502285
51,584581.504080,0.000108,584581.504026,584581.504134
52,584581.507128,0.004979,584581.504638,584581.509617
53,584581.528992,0.038217,584581.509883,584581.548100
54,584581.581433,0.019642,584581.571612,584581.591254
55,584581.590688,0.003237,584581.589069,584581.592306
56,584581.598468,0.012479,584581.592228,584581.604707
57,584581.605045,0.001938,584581.604076,584581.606014
58,584581.606438,0.001504,584581.605686,584581.607190
59,584581.609211,0.003801,584581.607310,584581.611112
60,584581.611506,0.002353,584581.610330,584581.612682
61,584581.612975,0.000537,584581.612706,584581.613244
62,584581.614446,0.001411,584581.613741,584581.615152
63,584581.616019,0.000396,584581.615821,584581.616217
64,584581.617441,0.001296,584581.616793,584581.618089
65,584581.625467,0.001067,584581.626001,584581.624934
66,584581.629379,0.002469,584581.628145,584581.630614
67,584581.631168,0.000063,584581.631200,584581.631137
68,584581.634698,0.005830,584581.631783,584581.637613
69,584581.641684,0.000312,584581.641528,584581.641840
70,584581.643257,0.000286,584581.643114,584581.643400
71,584581.648212,0.008761,584581.643831,584581.652593
72,584581.655404,0.002649,584581.654080,584581.656729
73,584581.660173,0.002439,584581.661392,584581.658953
74,584581.666568,0.000869,584581.667002,584581.666133
75,584581.668249,0.000447,584581.668472,584581.668025
76,584581.672073,0.000837,584581.672491,584581.671655
77,584581.679393,0.000876,584581.679830,584581.678955
78,584581.683522,0.001022,584581.684033,584581.683011
79,584581.687633,0.000889,584581.688078,584581.687189
80,584581.691586,0.000721,584581.691946,584581.691225
81,584581.697971,0.004198,584581.700070,584581.695872
82,584581.703695,0.000917,584581.704153,584581.703236
83,584581.707863,0.001011,584581.708368,584581.707357
84,584581.711758,0.001006,584581.712261,584581.711254
85,584581.719827,0.001564,584581.720609,584581.719045
86,584581.722146,0.001929,584581.721182,584581.723110
87,584581.728307,0.008076,584581.724269,584581.732344
88,584581.734050,0.004908,584581.731596,584581.736504
89,584581.739586,0.000784,584581.739978,584581.739194
90,584581.742324,0.002087,584581.741280,584581.743367
91,584581.746002,0.003408,584581.744298,584581.747706
92,584581.752284,0.007775,584581.748396,584581.756171
93,584581.759382,0.000812,584581.759788,584581.758976
94,584581.761879,0.001933,584581.760913,584581.762846
95,584581.765537,0.002497,584581.764289,584581.766786
96,584581.769316,0.003002,584581.767815,584581.770817
97,584581.777229,0.011253,584581.771602,584581.782855
98,584581.783295,0.001365,584581.782613,584581.783978
99,584581.785258,0.003842,584581.783337,584581.787179
100,584581.789508,0.003060,584581.787978,584581.791038
101,584581.793762,0.004480,584581.791522,584581.796002
102,584581.799152,0.000787,584581.799545,584581.798758
103,584581.803688,0.006658,584581.800359,584581.807017
104,584581.809432,0.003017,584581.807924,584581.810941
105,584581.813945,0.004078,584581.811906,584581.815984
106,584581.819680,0.001591,584581.820476,584581.818885
107,584581.822219,0.001819,584581.821310,584581.823129
108,584581.827588,0.007124,584581.824026,584581.831150
109,584581.833769,0.003946,584581.831796,584581.835742
110,584581.838900,0.000991,584581.839396,584581.838405
111,584581.841846,0.002761,584581.840465,584581.843227
112,584581.845819,0.003082,584581.844278,584581.847360
113,584581.852081,0.007765,584581.848198,584581.855964
114,584581.859610,0.001948,584581.860584,584581.858636
115,584581.861996,0.001918,584581.861037,584581.862955
116,584581.865487,0.003164,584581.863905,584581.867069
117,584581.869650,0.003051,584581.868124,584581.871175
118,584581.874003,0.003917,584581.872044,584581.875961
119,584581.881385,0.003258,584581.879756,584581.883014
120,584581.885237,0.002944,584581.883765,584581.886709
121,584581.889446,0.003486,584581.887703,584581.891189
122,584581.894194,0.004216,584581.892086,584581.896302
123,584581.899466,0.000673,584581.899803,584581.899129
124,584581.903857,0.006201,584581.900757,584581.906958
125,584581.909446,0.003178,584581.907857,584581.911035
126,584581.914023,0.004009,584581.912019,584581.916028
127,584581.922892,0.000813,584581.923298,584581.922485
128,584581.925534,0.000364,584581.925352,584581.925716
129,584581.928620,0.004382,584581.926429,584581.930811
130,584581.933397,0.003865,584581.931464,584581.935329
131,584581.939500,0.000687,584581.939843,584581.939156
132,584581.942292,0.003139,584581.940723,584581.943861
133,584581.946785,0.004149,584581.944711,584581.948860
134,584581.950285,0.004521,584581.948025,584581.952546
135,584581.958879,0.000873,584581.959315,584581.958443
136,584581.962491,0.002510,584581.961236,584581.963746
137,584581.966496,0.003293,584581.964849,584581.968142
138,584581.970749,0.003493,584581.969002,584581.972495
139,584581.975607,0.004621,584581.973297,584581.977918
140,584581.988585,0.002284,584581.987443,584581.989727
141,584581.990237,0.001311,584581.989582,584581.990893
142,584581.991223,0.001737,584581.990354,584581.992092
143,584581.994645,0.006659,584581.991315,584581.997974
144,584581.999794,0.001064,584582.000326,584581.999262
145,584582.004108,0.005880,584582.001168,584582.007047
146,584582.010044,0.004111,584582.007989,584582.012100
147,584582.014948,0.004297,584582.012799,584582.017097
148,584582.025556,0.000142,584582.025485,584582.025627
149,584582.026558,0.000644,584582.026236,584582.026880
150,584582.032462,0.000182,584582.032371,584582.032553
151,584582.035788,0.005030,584582.033273,584582.038303
152,584582.039152,0.000386,584582.039345,584582.038959
