freq_hz,n_1,n_B,median_1_deg_s,median_B_deg_s,ratio_B_over_1,ratio_ci_lo,ratio_ci_hi,p_mannwhitney,p_bonferroni,differs
10.0,17,3,332.593,442.701,1.331,0.613,2.928,0.41578947368421054,1.0,False
20.0,16,3,936.895,1112.241,1.187,0.848,2.214,0.2538699690402477,1.0,False
30.0,8,5,1008.488,553.704,0.549,0.187,0.797,0.010878010878010878,0.0979020979020979,False
40.0,11,7,677.308,546.265,0.807,0.329,1.203,0.24629210658622425,1.0,False
50.0,5,5,1766.105,650.912,0.369,0.209,0.693,0.007936507936507936,0.07142857142857142,False
60.0,6,6,1280.025,632.925,0.494,0.391,1.296,0.30952380952380953,1.0,False
80.0,4,14,2079.935,1391.222,0.669,0.52,0.911,0.06143790849673203,0.5529411764705883,False
100.0,5,3,1114.265,899.404,0.807,0.573,1.23,0.14285714285714285,1.0,False
110.0,5,4,719.205,636.256,0.885,0.271,1.149,0.4126984126984127,1.0,False
