design,freq_hz,n,t_s,delta_med,delta_q25,delta_q75,env_med,env_q25,env_q75
design 1,10.0,22,0.24,1.1614,0.4478,1.7576,3.8276,3.3946,4.6864
design 1,10.0,22,0.26,1.0543,0.3063,1.4274,3.6706,3.3385,4.4216
design 1,10.0,22,0.28,0.7735,0.4153,1.6114,3.5291,3.1823,4.3309
design 1,10.0,22,0.3,0.7614,0.4441,1.3717,3.5032,3.018,4.3002
design 1,10.0,22,0.32,0.6158,0.3203,1.2337,3.5905,2.9927,4.2874
design 1,10.0,22,0.34,0.8631,0.4112,1.157,3.4648,2.9748,4.1816
design 1,10.0,22,0.36,0.8024,0.3406,1.0737,3.6343,3.045,4.4035
design 1,10.0,22,0.38,0.8709,0.5692,1.1482,3.6679,3.2496,4.4432
design 1,10.0,22,0.4,0.9799,0.5845,1.3152,3.7125,3.3479,4.4777
design 1,10.0,22,0.42,0.844,0.4424,1.1509,3.615,3.2823,4.4523
design 1,10.0,22,0.44,0.8656,0.4678,1.4275,3.6333,3.3189,4.4878
design 1,10.0,22,0.46,0.9327,0.4978,1.439,3.6317,3.2549,4.3415
design 1,10.0,22,0.48,1.0931,0.5761,1.5437,3.6433,3.1006,4.538
design 1,10.0,22,0.5,1.0204,0.5121,1.3942,3.5674,3.1599,4.6159
design 1,10.0,22,0.52,0.7943,0.4161,1.393,3.5663,3.1857,4.588
design 1,10.0,22,0.54,0.7047,0.4093,1.0104,3.5072,3.1407,4.6455
design 1,10.0,22,0.56,0.5886,0.3798,0.8528,3.4543,3.1746,4.6097
design 1,10.0,22,0.58,0.6361,0.4013,0.9482,3.368,3.2133,4.3697
design 1,10.0,22,0.6,0.6138,0.4425,0.8512,3.3033,2.8647,4.3715
design 1,10.0,22,0.62,0.5022,0.4066,0.9141,3.2098,2.8727,4.2888
design 1,10.0,22,0.64,0.6406,0.327,1.2057,3.4358,2.9157,4.1756
design 1,10.0,22,0.66,0.7371,0.3325,1.216,3.4449,2.9152,3.9724
design 1,10.0,22,0.68,0.7029,0.4147,0.9976,3.4237,3.0957,4.4516
design 1,10.0,22,0.7,0.8782,0.5674,1.3219,3.4966,3.1105,4.4802
design 1,10.0,22,0.72,0.8694,0.5705,1.1634,3.5219,3.0447,4.3903
design 1,10.0,22,0.74,0.9563,0.5909,1.3809,3.5587,3.0357,4.3916
design 1,10.0,22,0.76,0.8203,0.4111,1.3726,3.7574,2.9981,4.4324
design 1,10.0,22,0.78,0.9152,0.5496,1.5017,3.7298,2.9366,4.4099
design 1,10.0,22,0.8,0.8046,0.5356,1.5975,3.8564,2.9152,4.4836
design 1,10.0,22,0.82,0.6179,0.4387,1.3836,3.8197,2.8974,4.6708
design 1,10.0,22,0.84,0.6294,0.3852,1.0299,3.7536,2.8342,4.65
design 1,10.0,22,0.86,0.6485,0.4096,0.819,3.7648,2.924,4.6617
design 1,10.0,22,0.88,0.7855,0.555,0.9909,3.7439,2.931,4.627
design 1,10.0,22,0.9,0.6677,0.3058,1.1013,3.7199,2.9683,4.5674
design 1,10.0,22,0.92,0.6283,0.4436,0.9572,3.6227,2.8774,4.4101
design 1,10.0,22,0.94,0.734,0.3832,1.164,3.8626,2.9325,4.3348
design 1,10.0,22,0.96,0.7368,0.4478,0.9828,3.6971,2.9672,4.4903
design 1,10.0,22,0.98,0.7358,0.3557,1.1357,3.5937,3.0532,4.3863
design 1,10.0,22,1.0,0.6694,0.4526,1.3398,3.5279,3.027,4.5102
design 1,10.0,22,1.02,0.7896,0.2795,1.5222,3.5781,3.0857,4.5958
design 1,10.0,22,1.04,0.6785,0.3728,1.331,3.5528,3.0705,4.7472
design 1,10.0,22,1.06,0.5927,0.276,1.1948,3.7218,3.1409,4.72
design 1,10.0,22,1.08,0.6244,0.3554,1.0368,3.6563,3.0734,4.6402
design 1,10.0,22,1.1,0.5745,0.4752,1.1822,3.4829,3.0979,4.5717
design 1,10.0,22,1.12,0.5435,0.3641,1.104,3.3643,3.0813,4.1207
design 1,10.0,22,1.14,0.6039,0.3512,0.9858,3.3881,3.0537,4.2218
design 1,10.0,22,1.16,0.5959,0.396,1.0252,3.3783,3.0263,4.2013
design 1,10.0,22,1.18,0.6109,0.4189,0.9772,3.2602,2.9495,4.1795
design 1,10.0,22,1.2,0.7367,0.3284,0.9226,3.247,2.9649,4.1723
design 1,10.0,22,1.22,0.5586,0.3856,0.9758,3.262,3.0199,4.2295
design 1,10.0,22,1.24,0.6511,0.3469,0.993,3.3299,2.8473,4.0302
design 1,10.0,22,1.26,0.4962,0.3931,0.9326,3.3648,2.8558,3.8619
design 1,10.0,22,1.28,0.4865,0.3398,1.0722,3.2869,2.8479,3.7855
design 1,10.0,22,1.3,0.6237,0.3671,1.1082,3.1706,2.9325,3.7254
design 1,10.0,22,1.32,0.5063,0.34,1.0198,3.1612,2.9703,3.7884
design 1,10.0,22,1.34,0.5542,0.2926,0.8275,3.1759,2.9757,3.5897
design 1,10.0,22,1.36,0.5429,0.2845,0.8172,3.253,3.0289,3.6053
design 1,10.0,22,1.38,0.4978,0.3472,0.8396,3.3582,2.9608,3.6664
design 1,10.0,22,1.4,0.6436,0.3776,0.8967,3.378,2.9624,3.8593
design 1,10.0,22,1.42,0.5871,0.3442,0.8471,3.2987,2.9183,3.794
design 1,10.0,22,1.44,0.645,0.3357,1.024,3.3952,2.9319,3.929
design 1,10.0,22,1.46,0.6384,0.3901,1.0383,3.2669,2.9511,3.8723
design 1,10.0,22,1.48,0.7494,0.4254,1.2244,3.215,2.8796,3.8227
design 1,10.0,22,1.5,0.777,0.4124,1.132,3.1186,2.8188,3.6305
design 1,10.0,22,1.52,0.5801,0.3521,1.0585,3.2264,2.7827,3.7281
design 1,10.0,22,1.54,0.5224,0.2599,0.9736,3.2365,2.6197,3.6807
design 1,10.0,22,1.56,0.4605,0.3036,0.8005,3.2479,2.8446,4.0698
design 1,10.0,22,1.58,0.4554,0.3028,0.993,3.2574,2.6442,4.0308
design 1,10.0,22,1.6,0.4903,0.3727,0.8536,3.1002,2.693,4.1787
design 1,10.0,22,1.62,0.4222,0.2958,0.7715,3.2017,2.6859,3.8663
design 1,10.0,22,1.64,0.4936,0.2646,0.859,3.31,2.6809,3.9243
design 1,10.0,22,1.66,0.5456,0.36,0.9515,3.2477,2.7142,3.9328
design 1,10.0,22,1.68,0.6232,0.2086,1.0384,3.1994,2.8545,3.9498
design 1,10.0,22,1.7,0.5346,0.2845,1.0449,3.2296,2.9318,4.1446
design 1,10.0,22,1.72,0.5084,0.2533,1.0044,3.1954,2.9699,4.12
