design,freq_hz,n,t_s,delta_med,delta_q25,delta_q75,env_med,env_q25,env_q75
design 1,30.0,10,9.5,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.52,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.54,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.56,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.58,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.6,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.62,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.64,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.66,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.68,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.7,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.72,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.74,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.76,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.78,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.8,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.82,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.84,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.86,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.88,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.9,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.92,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.94,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.96,nan,nan,nan,nan,nan,nan
design 1,30.0,10,9.98,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.0,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.02,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.04,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.06,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.08,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.1,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.12,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.14,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.16,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.18,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.2,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.22,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.24,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.26,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.28,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.3,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.32,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.34,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.36,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.38,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.4,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.42,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.44,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.46,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.48,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.5,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.52,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.54,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.56,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.58,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.6,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.62,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.64,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.66,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.68,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.7,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.72,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.74,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.76,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.78,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.8,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.82,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.84,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.86,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.88,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.9,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.92,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.94,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.96,nan,nan,nan,nan,nan,nan
design 1,30.0,10,10.98,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.0,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.02,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.04,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.06,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.08,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.1,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.12,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.14,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.16,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.18,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.2,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.22,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.24,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.26,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.28,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.3,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.32,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.34,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.36,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.38,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.4,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.42,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.44,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.46,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.48,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.5,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.52,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.54,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.56,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.58,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.6,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.62,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.64,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.66,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.68,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.7,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.72,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.74,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.76,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.78,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.8,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.82,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.84,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.86,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.88,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.9,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.92,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.94,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.96,nan,nan,nan,nan,nan,nan
design 1,30.0,10,11.98,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.0,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.02,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.04,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.06,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.08,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.1,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.12,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.14,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.16,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.18,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.2,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.22,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.24,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.26,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.28,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.3,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.32,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.34,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.36,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.38,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.4,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.42,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.44,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.46,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.48,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.5,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.52,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.54,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.56,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.58,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.6,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.62,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.64,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.66,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.68,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.7,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.72,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.74,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.76,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.78,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.8,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.82,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.84,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.86,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.88,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.9,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.92,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.94,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.96,nan,nan,nan,nan,nan,nan
design 1,30.0,10,12.98,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.0,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.02,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.04,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.06,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.08,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.1,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.12,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.14,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.16,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.18,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.2,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.22,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.24,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.26,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.28,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.3,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.32,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.34,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.36,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.38,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.4,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.42,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.44,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.46,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.48,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.5,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.52,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.54,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.56,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.58,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.6,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.62,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.64,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.66,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.68,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.7,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.72,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.74,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.76,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.78,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.8,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.82,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.84,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.86,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.88,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.9,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.92,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.94,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.96,nan,nan,nan,nan,nan,nan
design 1,30.0,10,13.98,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.0,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.02,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.04,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.06,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.08,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.1,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.12,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.14,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.16,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.18,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.2,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.22,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.24,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.26,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.28,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.3,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.32,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.34,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.36,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.38,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.4,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.42,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.44,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.46,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.48,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.5,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.52,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.54,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.56,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.58,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.6,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.62,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.64,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.66,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.68,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.7,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.72,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.74,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.76,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.78,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.8,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.82,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.84,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.86,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.88,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.9,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.92,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.94,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.96,nan,nan,nan,nan,nan,nan
design 1,30.0,10,14.98,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.0,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.02,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.04,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.06,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.08,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.1,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.12,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.14,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.16,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.18,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.2,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.22,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.24,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.26,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.28,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.3,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.32,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.34,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.36,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.38,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.4,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.42,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.44,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.46,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.48,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.5,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.52,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.54,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.56,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.58,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.6,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.62,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.64,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.66,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.68,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.7,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.72,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.74,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.76,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.78,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.8,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.82,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.84,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.86,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.88,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.9,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.92,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.94,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.96,nan,nan,nan,nan,nan,nan
design 1,30.0,10,15.98,nan,nan,nan,nan,nan,nan
design 1,40.0,14,-1.0,11.618,11.2868,12.1395,5.3243,3.8972,5.5256
design 1,40.0,14,-0.98,11.7222,11.3139,12.1477,5.272,3.8798,5.6255
design 1,40.0,14,-0.96,11.72,11.3767,12.1167,5.2893,3.8996,5.6908
design 1,40.0,14,-0.94,11.7691,11.4563,12.0284,5.3422,3.9742,5.7902
design 1,40.0,14,-0.92,11.7548,11.4277,12.0033,5.3668,4.0264,5.923
design 1,40.0,14,-0.9,11.7344,11.3965,12.0376,5.3627,4.0092,5.9688
design 1,40.0,14,-0.88,11.5741,11.2338,12.0855,5.3533,3.9949,5.9654
design 1,40.0,14,-0.86,11.5516,11.2734,12.0952,5.3527,3.8893,5.873
design 1,40.0,14,-0.84,11.5624,11.3834,11.9852,5.324,3.7525,5.8247
design 1,40.0,14,-0.82,11.5795,11.3461,11.9246,5.3143,3.7657,5.9282
design 1,40.0,14,-0.8,11.6797,11.4186,11.8281,5.2154,3.8262,5.9567
design 1,40.0,14,-0.78,11.5825,11.3727,11.9628,5.0851,3.8368,5.8719
design 1,40.0,14,-0.76,11.5986,11.4528,12.0951,4.9572,3.8215,5.7811
design 1,40.0,14,-0.74,11.6542,11.5493,12.1165,4.9398,3.8953,5.7819
design 1,40.0,14,-0.72,11.7435,11.4969,11.995,4.7885,3.978,5.8766
design 1,40.0,14,-0.7,11.7024,11.3805,11.8645,4.7889,4.0524,6.0085
design 1,40.0,14,-0.68,11.6244,11.2215,11.979,4.7046,4.184,5.9687
design 1,40.0,14,-0.66,11.6247,11.2979,11.9563,4.7376,4.2424,5.7712
design 1,40.0,14,-0.64,11.5662,11.4343,11.9069,4.7808,4.2164,5.6829
design 1,40.0,14,-0.62,11.6567,11.3868,11.8898,4.7537,4.1082,5.751
design 1,40.0,14,-0.6,11.5762,11.4644,11.8562,4.7209,4.1079,5.6268
design 1,40.0,14,-0.58,11.5609,11.4377,11.8093,4.7458,4.0357,5.6605
design 1,40.0,14,-0.56,11.5533,11.4366,11.8016,4.8087,4.0168,5.6113
design 1,40.0,14,-0.54,11.6872,11.4823,11.7666,4.9281,4.0888,5.52
design 1,40.0,14,-0.52,11.6283,11.4647,12.0532,4.9469,4.0861,5.6046
design 1,40.0,14,-0.5,11.6289,11.438,12.169,4.9354,4.1104,5.6202
design 1,40.0,14,-0.48,11.5031,11.3609,12.2064,4.9021,4.0951,5.6694
design 1,40.0,14,-0.46,11.4964,11.3544,12.1599,4.9022,4.0532,5.6962
design 1,40.0,14,-0.44,11.5563,11.3762,11.9904,4.9538,4.0786,5.8048
design 1,40.0,14,-0.42,11.6615,11.4215,11.9362,4.9091,3.9763,5.9637
design 1,40.0,14,-0.4,11.5954,11.5585,11.9009,4.8508,3.8376,6.0246
design 1,40.0,14,-0.38,11.6352,11.4019,11.9053,4.8258,3.8396,6.0225
design 1,40.0,14,-0.36,11.6352,11.3693,12.0182,4.7598,3.8557,6.102
design 1,40.0,14,-0.34,11.6743,11.3048,12.0908,4.7408,3.8775,6.1333
design 1,40.0,14,-0.32,11.6317,11.4422,12.0364,4.7605,3.8717,6.145
design 1,40.0,14,-0.3,11.607,11.3246,11.9841,4.7644,3.9536,6.1836
design 1,40.0,14,-0.28,11.53,11.2453,11.9599,4.8014,3.9665,6.1529
design 1,40.0,14,-0.26,11.4678,11.2371,11.9802,4.8786,3.8315,6.1376
design 1,40.0,14,-0.24,11.4969,11.0531,12.0804,4.9801,3.7526,6.1103
design 1,40.0,14,-0.22,11.5685,11.1863,12.0775,5.0057,3.7847,6.1419
design 1,40.0,14,-0.2,11.6471,11.3229,11.9394,5.0173,3.8492,6.082
design 1,40.0,14,-0.18,11.5194,11.2586,11.9655,5.0507,3.9334,6.0185
design 1,40.0,14,-0.16,11.4623,11.1964,11.9976,5.1339,4.0386,5.9516
design 1,40.0,14,-0.14,11.3965,11.2336,11.9279,5.2267,4.1257,6.0763
design 1,40.0,14,-0.12,11.3316,11.2761,11.7519,5.2978,4.225,6.1628
design 1,40.0,14,-0.1,11.3057,11.1268,11.641,5.4062,4.3499,6.3279
design 1,40.0,14,-0.08,11.0389,10.8537,11.4488,5.5549,4.4629,6.3797
design 1,40.0,14,-0.06,10.6944,10.3991,11.1103,5.6283,4.5477,6.3932
design 1,40.0,14,-0.04,10.2531,9.8798,10.5344,5.8193,4.7386,6.5367
design 1,40.0,14,-0.02,9.5513,9.2476,9.8663,6.004,5.0175,6.6111
design 1,40.0,14,0.0,8.813,8.4323,9.2268,6.3672,5.1942,6.7143
design 1,40.0,14,0.02,7.8279,7.4626,8.2486,6.5088,5.4297,6.7622
design 1,40.0,14,0.04,6.771,6.3064,7.1549,6.5583,5.8899,6.8815
design 1,40.0,14,0.06,5.5858,5.2378,6.1837,6.7675,6.2042,7.0549
design 1,40.0,14,0.08,4.4235,4.3198,5.0489,6.9907,6.3215,7.2983
design 1,40.0,14,0.1,3.3677,3.0648,4.0173,7.3312,6.7284,7.5177
design 1,40.0,14,0.12,2.3704,1.9208,2.9984,7.5749,7.1566,7.7788
design 1,40.0,14,0.14,1.5034,1.1231,2.1962,7.6664,7.3903,8.02
design 1,40.0,14,0.16,1.1163,0.6378,1.6645,7.6995,7.3612,8.3678
design 1,40.0,14,0.18,0.9374,0.4597,1.2757,7.8382,7.4421,8.4927
design 1,40.0,14,0.2,0.7805,0.5372,1.3354,8.0093,7.4635,8.6537
design 1,40.0,14,0.22,0.7491,0.5666,1.1945,8.0168,7.635,8.8325
design 1,40.0,14,0.24,0.977,0.6667,1.3203,7.932,7.6557,8.9675
design 1,40.0,14,0.26,1.1431,0.7636,1.4143,7.9523,7.6212,9.0256
design 1,40.0,14,0.28,1.2124,0.9072,1.4164,7.8982,7.5659,9.0854
design 1,40.0,14,0.3,1.1181,0.9203,1.3039,7.9602,7.4821,9.1842
design 1,40.0,14,0.32,1.0574,0.8825,1.2703,7.8546,7.4254,9.2268
design 1,40.0,14,0.34,1.0933,0.7175,1.2551,7.7725,7.3531,9.1336
design 1,40.0,14,0.36,1.2497,0.9975,1.3978,7.7303,7.1461,8.9346
design 1,40.0,14,0.38,1.3746,1.0872,1.5466,7.4927,6.8359,8.6995
design 1,40.0,14,0.4,1.3232,1.0005,1.6039,7.3525,6.5983,8.5181
design 1,40.0,14,0.42,1.1834,0.9984,1.4021,7.4012,6.4376,8.4625
design 1,40.0,14,0.44,1.0917,1.0315,1.3952,7.3714,6.2692,8.4209
design 1,40.0,14,0.46,1.3041,1.0462,1.6476,7.1796,6.1093,8.3462
design 1,40.0,14,0.48,1.3662,1.2312,1.6589,6.9488,5.8655,8.1949
design 1,40.0,14,0.5,1.286,1.1404,1.6688,6.8572,5.6771,8.029
design 1,40.0,14,0.52,1.1423,0.9454,1.7225,6.7893,5.6435,7.8462
design 1,40.0,14,0.54,0.9869,0.7419,1.7055,6.8373,5.7777,7.7259
design 1,40.0,14,0.56,0.7437,0.5983,1.5323,6.9124,5.759,7.7323
design 1,40.0,14,0.58,0.68,0.5674,1.3434,6.8107,5.7503,7.6646
