frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg,longest_width_px
72,2.449877094972067,True,100.59,113.54,0.9989,0.0458,2.63,137.54
73,2.483903165735568,True,100.94,113.65,0.9991,0.0422,2.42,134.21
74,2.517929236499069,True,102.11,113.73,0.9991,0.0426,2.44,133.64
75,2.55195530726257,True,103.25,113.8,0.9992,0.0403,2.31,134.03
76,2.5859813780260708,True,104.69,114.18,0.9989,0.0464,2.66,130.88
77,2.620007448789572,True,105.72,113.19,0.9991,0.0427,2.44,156.44
78,2.6540335195530727,True,106.75,114.24,0.9989,0.0465,2.66,131.6
79,2.688059590316574,True,107.54,113.99,0.9991,0.0434,2.49,133.95
80,2.7220856610800745,True,108.12,113.25,0.9991,0.0426,2.44,155.98
81,2.7561117318435753,True,108.21,113.24,0.999,0.0441,2.53,152.86
82,2.7901378026070764,True,107.47,114.11,0.999,0.0439,2.52,130.58
83,2.824163873370577,True,106.65,114.01,0.9989,0.0479,2.74,131.14
84,2.8581899441340783,True,105.42,113.75,0.999,0.0444,2.54,137.15
85,2.892216014897579,True,104.27,113.74,0.9994,0.0352,2.02,129.13
86,2.9262420856610802,True,103.53,113.83,0.999,0.0444,2.55,133.24
87,2.960268156424581,True,102.52,113.84,0.9991,0.0431,2.47,130.69
88,2.994294227188082,True,101.4,113.85,0.9991,0.0427,2.44,129.73
89,3.028320297951583,True,100.7,112.85,0.9991,0.043,2.46,156.2
90,3.062346368715084,True,100.87,112.98,0.9992,0.0398,2.28,152.27
91,3.0963724394785848,True,100.99,113.05,0.9993,0.038,2.18,152.95
92,3.130398510242086,True,101.5,113.94,0.9991,0.0414,2.38,132.47
93,3.1644245810055867,True,102.04,114.03,0.9995,0.0324,1.86,127.7
94,3.198450651769088,True,103.04,114.34,0.9995,0.031,1.77,120.18
95,3.2324767225325886,True,103.84,114.33,0.9996,0.0289,1.66,120.83
96,3.2665027932960893,True,105.41,114.47,0.9993,0.0385,2.21,124.97
97,3.3005288640595905,True,106.38,114.57,0.9996,0.028,1.6,120.87
98,3.334554934823091,True,106.67,113.37,0.9995,0.0302,1.73,152.72
99,3.3685810055865923,True,106.9,113.46,0.9996,0.0294,1.69,152.61
100,3.402607076350093,True,106.63,113.39,0.9996,0.0296,1.7,156.24
101,3.4366331471135942,True,106.26,114.19,0.9996,0.0276,1.58,130.99
102,3.470659217877095,True,105.35,113.21,0.9996,0.0297,1.7,152.38
103,3.504685288640596,True,104.57,113.13,0.9996,0.0287,1.65,157.26
104,3.538711359404097,True,103.67,113.11,0.9996,0.0287,1.64,157.7
105,3.572737430167598,True,102.33,113.92,0.9995,0.0321,1.84,127.94
106,3.6067635009310988,True,101.26,114.02,0.9995,0.0301,1.72,119.03
107,3.6407895716946,True,100.74,112.88,0.9996,0.0287,1.65,154.44
108,3.6748156424581007,True,99.91,113.82,0.9993,0.0367,2.1,130.02
109,3.7088417132216014,True,99.6,112.84,0.9996,0.0282,1.62,155.15
110,3.7428677839851026,True,99.56,112.83,0.9996,0.0283,1.62,154.92
111,3.7768938547486033,True,99.78,112.92,0.9997,0.0244,1.4,153.11
112,3.8109199255121045,True,100.65,112.98,0.9997,0.0236,1.35,153.69
113,3.844945996275605,True,101.5,113.03,0.9997,0.0239,1.37,156.0
114,3.8789720670391064,True,102.58,113.12,0.9998,0.0222,1.27,153.54
115,3.912998137802607,True,103.99,114.2,0.9997,0.0244,1.4,123.42
116,3.9470242085661082,True,105.1,114.43,0.9993,0.0361,2.07,121.55
117,3.981050279329609,True,105.71,113.33,0.9997,0.0224,1.28,156.67
118,4.01507635009311,True,106.03,114.3,0.9996,0.0268,1.53,122.27
119,4.049102420856611,True,106.62,113.15,0.9998,0.0203,1.16,156.63
120,4.083128491620112,True,106.61,112.99,0.9998,0.0206,1.18,159.29
121,4.117154562383613,True,106.25,112.93,0.9998,0.0209,1.2,157.9
