frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg_major,line_angle_deg_minor,longest_width_px,contour_area_px,final_combined_angle_deg,minor_len_px,top_ellipse_major_len_px,top_ellipse_minor_len_px,axis_x,axis_y,axis_z
720,24.498770949720672,True,269.85,404.92,0.9973,0.0732,4.2,84.91,135.74,2902.0,84.91,30.22,135.74,12.04,0.0885,0.0065,0.9961
721,24.53279702048417,True,269.73,405.0,0.9972,0.0742,4.26,85.11,135.74,2882.0,85.11,28.41,135.74,11.58,0.0851,0.0063,0.9964
722,24.566823091247674,True,269.86,404.96,0.9971,0.076,4.36,85.36,135.75,2862.0,85.36,28.32,135.75,10.98,0.0806,0.0061,0.9967
723,24.600849162011173,True,270.41,405.06,0.9972,0.0748,4.29,85.26,135.74,2868.0,85.26,28.58,135.74,11.22,0.0824,0.0062,0.9966
724,24.634875232774675,True,271.86,405.18,0.9973,0.0733,4.21,84.92,135.66,2835.0,84.92,28.75,135.66,12.0,0.0882,0.0065,0.9961
725,24.668901303538174,True,272.84,405.22,0.9973,0.0736,4.22,84.85,135.66,2809.0,84.85,28.83,135.66,12.19,0.0896,0.0066,0.996
726,24.702927374301677,True,273.85,405.26,0.9974,0.072,4.13,84.3,135.59,2814.0,84.3,28.9,135.59,13.46,0.099,0.0072,0.9951
727,24.73695344506518,True,274.78,405.31,0.9975,0.0711,4.08,84.78,135.65,2818.0,84.78,29.01,135.65,12.35,0.0908,0.0065,0.9958
728,24.770979515828678,True,274.95,405.24,0.9975,0.0704,4.04,84.35,135.58,2820.0,84.35,28.84,135.58,13.36,0.0983,0.0069,0.9951
729,24.80500558659218,True,275.03,405.25,0.9976,0.07,4.01,84.41,135.58,2830.0,84.41,28.84,135.58,13.22,0.0972,0.0068,0.9952
730,24.83903165735568,True,274.87,405.2,0.9975,0.0701,4.02,84.89,135.65,2842.0,84.89,28.77,135.65,12.08,0.0888,0.0062,0.996
731,24.873057728119182,True,274.55,405.16,0.9975,0.0711,4.08,84.69,135.65,2870.0,84.69,28.74,135.65,12.56,0.0924,0.0066,0.9957
732,24.90708379888268,True,273.66,405.04,0.9976,0.0699,4.01,84.89,135.65,2881.0,84.89,28.48,135.65,12.09,0.0889,0.0062,0.996
733,24.941109869646183,True,272.62,405.06,0.9976,0.0696,3.99,84.56,135.65,2899.0,84.56,28.53,135.65,12.87,0.0947,0.0066,0.9955
734,24.975135940409682,True,271.31,404.9,0.9976,0.0692,3.97,84.71,136.64,2903.0,84.71,28.25,136.64,12.6,0.092,0.0064,0.9957
735,25.009162011173185,True,270.51,404.92,0.9976,0.0692,3.97,85.38,135.71,2897.0,85.38,28.26,135.71,10.93,0.0804,0.0056,0.9967
736,25.043188081936687,True,269.73,404.92,0.9976,0.0688,3.95,84.76,135.64,2896.0,84.76,28.23,135.64,12.39,0.0911,0.0063,0.9958
737,25.077214152700186,True,269.56,404.89,0.9977,0.0676,3.88,84.77,135.64,2891.0,84.77,28.18,135.64,12.36,0.0909,0.0062,0.9958
738,25.11124022346369,True,268.82,404.84,0.9976,0.0688,3.94,84.68,135.64,2871.0,84.68,28.19,135.64,12.57,0.0925,0.0064,0.9957
739,25.145266294227188,True,268.97,404.99,0.9978,0.0668,3.83,85.11,135.63,2859.0,85.11,28.45,135.63,11.55,0.085,0.0057,0.9964
740,25.17929236499069,True,269.75,405.04,0.9979,0.0649,3.72,85.17,135.62,2851.0,85.17,28.44,135.62,11.42,0.084,0.0055,0.9964
741,25.21331843575419,True,270.64,405.03,0.9979,0.0651,3.73,85.15,135.62,2834.0,85.15,28.43,135.62,11.46,0.0843,0.0055,0.9964
742,25.247344506517692,True,271.43,405.16,0.9979,0.0646,3.7,85.13,134.62,2824.0,85.13,28.73,134.62,11.44,0.0848,0.0055,0.9964
743,25.28137057728119,True,272.79,405.2,0.998,0.0633,3.63,85.18,135.62,2838.0,85.18,28.75,135.62,11.4,0.0839,0.0053,0.9965
744,25.315396648044693,True,273.73,405.18,0.998,0.0625,3.58,85.2,135.61,2841.0,85.2,28.71,135.61,11.35,0.0835,0.0052,0.9965
745,25.349422718808196,True,274.37,405.21,0.9981,0.0623,3.57,85.25,134.61,2850.0,85.25,28.82,134.61,11.16,0.0827,0.0052,0.9966
746,25.383448789571695,True,274.8,405.08,0.9981,0.0618,3.55,85.24,135.61,2862.0,85.24,28.5,135.61,11.24,0.0827,0.0051,0.9966
747,25.417474860335197,True,275.22,405.06,0.9981,0.0616,3.53,85.11,134.61,2876.0,85.11,28.53,134.61,11.47,0.0851,0.0052,0.9964
748,25.451500931098696,True,274.96,404.92,0.9981,0.0617,3.54,84.44,135.61,2913.0,84.44,30.17,135.61,13.15,0.0968,0.006,0.9953
749,25.4855270018622,True,274.9,404.92,0.9981,0.0624,3.58,84.35,135.61,2938.0,84.35,30.16,135.61,13.35,0.0982,0.0061,0.9951
750,25.519553072625698,True,274.72,404.93,0.9981,0.0618,3.55,84.53,135.61,2953.0,84.53,30.08,135.61,12.92,0.0951,0.0059,0.9955
751,25.5535791433892,True,273.93,404.8,0.998,0.0635,3.64,84.37,135.62,2966.0,84.37,29.94,135.62,13.3,0.0979,0.0062,0.9952
752,25.587605214152703,True,272.91,404.71,0.9979,0.0646,3.71,84.3,135.62,2971.0,84.3,29.77,135.62,13.47,0.0991,0.0064,0.9951
753,25.6216312849162,True,272.82,404.76,0.9979,0.0646,3.71,84.44,135.62,2983.0,84.44,29.86,135.62,13.13,0.0966,0.0063,0.9953
754,25.655657355679704,True,272.03,404.68,0.9979,0.0653,3.74,84.38,135.63,2972.0,84.38,29.68,135.63,13.29,0.0978,0.0064,0.9952
755,25.689683426443203,True,271.25,404.66,0.9978,0.0668,3.83,84.2,136.63,2979.0,84.2,29.62,136.63,13.81,0.1008,0.0068,0.9949
756,25.723709497206706,True,270.97,404.65,0.9978,0.0668,3.83,84.29,135.63,2969.0,84.29,29.64,135.63,13.5,0.0993,0.0067,0.995
757,25.757735567970204,True,270.9,404.63,0.9977,0.0673,3.86,84.89,135.7,2971.0,84.89,29.61,135.7,12.08,0.0888,0.006,0.996
758,25.791761638733707,True,270.84,404.68,0.9977,0.0679,3.89,84.82,135.71,2975.0,84.82,29.72,135.71,12.24,0.09,0.0061,0.9959
759,25.825787709497206,True,270.97,404.65,0.9977,0.068,3.9,84.21,135.64,2967.0,84.21,29.64,135.64,13.7,0.1007,0.0069,0.9949
760,25.85981378026071,True,271.04,404.65,0.9977,0.0685,3.93,84.22,135.64,2966.0,84.22,29.64,135.64,13.66,0.1004,0.0069,0.9949
761,25.89383985102421,True,271.67,404.75,0.9977,0.0681,3.91,84.76,135.71,2974.0,84.76,29.89,135.71,12.39,0.0911,0.0062,0.9958
762,25.92786592178771,True,272.6,404.75,0.9976,0.0688,3.94,84.69,135.71,2968.0,84.69,29.89,135.71,12.57,0.0924,0.0064,0.9957
763,25.961891992551212,True,272.85,404.71,0.9976,0.0694,3.98,84.74,135.72,2969.0,84.74,29.79,135.72,12.43,0.0914,0.0064,0.9958
764,25.99591806331471,True,273.38,404.78,0.9975,0.0705,4.04,85.07,134.72,2954.0,85.07,28.01,134.72,11.59,0.0858,0.0061,0.9963
765,26.029944134078214,True,273.74,404.76,0.9975,0.0703,4.03,84.67,135.72,2979.0,84.67,29.91,135.72,12.61,0.0927,0.0065,0.9957
766,26.063970204841713,True,273.9,404.69,0.9975,0.0704,4.04,84.73,135.72,2971.0,84.73,29.75,135.72,12.48,0.0917,0.0065,0.9958
767,26.097996275605215,True,273.98,404.64,0.9974,0.072,4.13,84.66,135.73,2967.0,84.66,29.65,135.73,12.63,0.0928,0.0067,0.9957
768,26.132022346368714,True,273.91,404.71,0.9974,0.0722,4.14,84.62,135.73,2975.0,84.62,29.78,135.73,12.72,0.0935,0.0068,0.9956
769,26.166048417132217,True,273.9,404.7,0.9974,0.0721,4.14,84.63,135.73,2972.0,84.63,29.77,135.73,12.69,0.0933,0.0067,0.9956
770,26.20007448789572,True,273.73,404.72,0.9974,0.0722,4.14,84.55,135.73,2973.0,84.55,29.83,135.73,12.89,0.0947,0.0069,0.9955
771,26.234100558659218,True,273.35,404.79,0.9973,0.074,4.24,84.85,134.82,2950.0,84.85,28.05,134.82,12.11,0.0896,0.0066,0.996
772,26.26812662942272,True,273.14,404.75,0.9973,0.0737,4.23,84.1,135.74,2961.0,84.1,29.84,135.74,13.94,0.1024,0.0076,0.9947
773,26.30215270018622,True,272.89,404.74,0.9972,0.0744,4.27,84.53,135.74,2956.0,84.53,29.85,135.74,12.94,0.095,0.0071,0.9954
774,26.336178770949722,True,272.68,404.82,0.9972,0.0751,4.31,84.37,135.75,2956.0,84.37,30.05,135.75,13.32,0.0979,0.0074,0.9952
775,26.37020484171322,True,272.69,404.75,0.9972,0.0743,4.26,84.45,135.74,2943.0,84.45,29.9,135.74,13.12,0.0964,0.0072,0.9953
776,26.404230912476724,True,272.59,404.76,0.9972,0.0752,4.31,84.34,135.75,2934.0,84.34,29.94,135.75,13.39,0.0983,0.0074,0.9951
777,26.438256983240223,True,272.63,404.77,0.9972,0.075,4.3,84.4,135.74,2945.0,84.4,29.97,135.74,13.24,0.0973,0.0073,0.9952
778,26.472283054003725,True,272.8,404.79,0.9971,0.0758,4.35,84.42,135.82,2945.0,84.42,29.97,135.82,13.2,0.0969,0.0074,0.9953
779,26.506309124767228,True,272.82,404.73,0.997,0.0768,4.4,84.36,135.83,2935.0,84.36,29.86,135.83,13.34,0.0979,0.0075,0.9952
780,26.540335195530727,True,272.92,404.8,0.997,0.0772,4.43,84.39,135.83,2931.0,84.39,29.99,135.83,13.27,0.0974,0.0075,0.9952
781,26.57436126629423,True,273.23,404.91,0.997,0.0769,4.41,84.73,134.83,2910.0,84.73,28.32,134.83,12.38,0.0916,0.0071,0.9958
782,26.608387337057728,True,273.29,404.91,0.9971,0.0767,4.4,84.74,134.83,2913.0,84.74,28.3,134.83,12.36,0.0914,0.007,0.9958
783,26.64241340782123,True,273.5,404.9,0.9971,0.0755,4.33,84.75,135.75,2922.0,84.75,28.26,135.75,12.43,0.0913,0.0069,0.9958
784,26.67643947858473,True,273.78,404.91,0.9971,0.0766,4.4,84.37,135.83,2938.0,84.37,30.22,135.83,13.32,0.0977,0.0075,0.9952
785,26.710465549348232,True,273.92,404.86,0.997,0.077,4.42,84.41,135.83,2921.0,84.41,30.1,135.83,13.23,0.0971,0.0075,0.9952
786,26.74449162011173,True,274.01,404.87,0.997,0.0777,4.46,84.42,135.83,2926.0,84.42,30.12,135.83,13.2,0.0969,0.0076,0.9953
787,26.778517690875233,True,274.07,404.9,0.997,0.0775,4.45,83.89,135.76,2915.0,83.89,30.16,135.76,14.46,0.1062,0.0083,0.9943
788,26.812543761638736,True,274.35,404.92,0.997,0.0773,4.44,84.78,134.84,2897.0,84.78,28.31,134.84,12.27,0.0907,0.007,0.9959
789,26.846569832402235,True,274.76,404.93,0.997,0.0774,4.44,84.33,135.83,2934.0,84.33,30.27,135.83,13.41,0.0984,0.0076,0.9951
790,26.880595903165737,True,274.74,404.95,0.997,0.0778,4.46,84.41,135.84,2920.0,84.41,30.31,135.84,13.23,0.0971,0.0076,0.9952
791,26.914621973929236,True,274.8,404.96,0.997,0.0778,4.46,84.43,135.84,2926.0,84.43,30.33,135.84,13.19,0.0968,0.0076,0.9953
792,26.94864804469274,True,274.86,404.95,0.9969,0.0782,4.49,84.33,135.84,2930.0,84.33,30.31,135.84,13.42,0.0985,0.0077,0.9951
793,26.982674115456238,True,274.95,404.95,0.9968,0.0793,4.55,84.33,135.84,2933.0,84.33,30.3,135.84,13.41,0.0984,0.0078,0.9951
794,27.01670018621974,True,274.88,404.94,0.9969,0.0792,4.54,84.32,135.84,2933.0,84.32,30.29,135.84,13.45,0.0987,0.0078,0.9951
795,27.050726256983243,True,274.77,404.95,0.9968,0.0797,4.57,84.22,135.85,2930.0,84.22,30.33,135.85,13.68,0.1004,0.008,0.9949
796,27.08475232774674,True,274.45,404.84,0.9968,0.0795,4.56,84.35,134.85,2913.0,84.35,30.16,134.85,13.28,0.0982,0.0078,0.9951
797,27.118778398510244,True,274.01,404.84,0.9967,0.081,4.64,84.36,135.85,2929.0,84.36,30.06,135.85,13.36,0.098,0.008,0.9952
798,27.152804469273743,True,273.9,404.87,0.9968,0.0804,4.61,84.37,135.85,2941.0,84.37,30.14,135.85,13.33,0.0978,0.0079,0.9952
799,27.186830540037246,True,273.93,404.94,0.9967,0.0813,4.66,84.38,135.85,2948.0,84.38,30.28,135.85,13.3,0.0976,0.008,0.9952
800,27.220856610800745,True,273.58,404.9,0.9967,0.0812,4.66,84.76,134.86,2923.0,84.76,28.26,134.86,12.31,0.091,0.0074,0.9958
801,27.254882681564247,True,273.13,404.84,0.9966,0.0825,4.73,84.41,135.86,2943.0,84.41,30.06,135.86,13.23,0.0971,0.008,0.9952
802,27.288908752327746,True,273.04,404.89,0.9967,0.0816,4.68,84.39,135.86,2948.0,84.39,30.16,135.86,13.29,0.0975,0.008,0.9952
803,27.32293482309125,True,272.84,404.83,0.9968,0.0805,4.61,84.32,135.85,2933.0,84.32,30.08,135.85,13.45,0.0987,0.008,0.9951
804,27.35696089385475,True,272.86,404.86,0.9967,0.0812,4.66,84.31,135.85,2932.0,84.31,30.14,135.85,13.48,0.0989,0.0081,0.9951
805,27.39098696461825,True,272.93,404.8,0.9967,0.0814,4.67,84.32,135.85,2924.0,84.32,30.0,135.85,13.45,0.0986,0.0081,0.9951
806,27.425013035381753,True,273.19,404.88,0.9967,0.0812,4.66,84.63,134.86,2903.0,84.63,28.29,134.86,12.63,0.0934,0.0076,0.9956
807,27.45903910614525,True,273.77,404.9,0.9966,0.0818,4.69,84.26,135.86,2932.0,84.26,30.24,135.86,13.59,0.0997,0.0082,0.995
808,27.493065176908754,True,274.05,405.05,0.9967,0.0813,4.66,84.84,135.85,2916.0,84.84,28.65,135.85,12.21,0.0896,0.0073,0.996
809,27.527091247672253,True,274.41,405.04,0.9967,0.0816,4.68,84.79,134.86,2895.0,84.79,28.56,134.86,12.24,0.0905,0.0074,0.9959
810,27.561117318435755,True,274.89,404.97,0.9967,0.0816,4.68,84.49,135.86,2917.0,84.49,30.35,135.86,13.05,0.0957,0.0078,0.9954
811,27.595143389199254,True,275.0,405.06,0.9966,0.082,4.7,84.8,135.86,2911.0,84.8,28.68,135.86,12.3,0.0903,0.0074,0.9959
812,27.629169459962757,True,274.99,405.02,0.9966,0.082,4.7,84.55,135.86,2919.0,84.55,30.44,135.86,12.91,0.0947,0.0078,0.9955
813,27.66319553072626,True,275.0,405.01,0.9966,0.082,4.7,84.54,135.86,2918.0,84.54,30.41,135.86,12.92,0.0947,0.0078,0.9955
814,27.69722160148976,True,274.97,405.0,0.9966,0.0818,4.69,84.53,135.86,2916.0,84.53,30.4,135.86,12.95,0.095,0.0078,0.9954
815,27.73124767225326,True,274.77,405.0,0.9967,0.0814,4.67,84.79,135.77,2890.0,84.79,28.43,135.77,12.34,0.0906,0.0074,0.9959
816,27.76527374301676,True,274.1,404.96,0.9966,0.083,4.76,84.79,135.86,2901.0,84.79,28.48,135.86,12.33,0.0905,0.0075,0.9959
817,27.799299813780262,True,274.03,405.05,0.9967,0.0809,4.64,84.85,135.85,2915.0,84.85,28.65,135.85,12.2,0.0895,0.0073,0.996
818,27.83332588454376,True,273.82,404.89,0.9969,0.079,4.53,84.59,135.84,2907.0,84.59,30.2,135.84,12.8,0.0939,0.0074,0.9956
819,27.867351955307264,True,272.94,404.97,0.9968,0.08,4.59,84.57,135.85,2915.0,84.57,30.34,135.85,12.86,0.0944,0.0076,0.9955
820,27.901378026070763,True,272.92,405.01,0.9968,0.0799,4.58,84.8,135.85,2897.0,84.8,28.59,135.85,12.32,0.0904,0.0072,0.9959
821,27.935404096834265,True,272.83,405.03,0.9969,0.0788,4.52,84.88,135.84,2891.0,84.88,28.47,135.84,12.13,0.089,0.007,0.996
822,27.969430167597768,True,272.83,404.96,0.997,0.0779,4.47,84.92,135.84,2876.0,84.92,28.32,135.84,12.02,0.0882,0.0069,0.9961
823,28.003456238361267,True,272.82,404.98,0.997,0.078,4.47,84.92,135.84,2871.0,84.92,28.36,135.84,12.02,0.0882,0.0069,0.9961
824,28.03748230912477,True,272.87,405.04,0.9969,0.0782,4.48,84.93,135.84,2871.0,84.93,28.48,135.84,12.0,0.0881,0.0069,0.9961
825,28.071508379888268,True,272.87,405.09,0.9969,0.0784,4.49,85.24,135.84,2845.0,85.24,28.59,135.84,11.28,0.0828,0.0065,0.9965
826,28.10553445065177,True,272.93,405.13,0.9969,0.0786,4.51,85.26,135.84,2853.0,85.26,28.65,135.84,11.23,0.0824,0.0065,0.9966
827,28.13956052141527,True,273.25,405.14,0.997,0.0776,4.45,84.95,136.68,2832.0,84.95,26.77,136.68,12.04,0.0878,0.0068,0.9961
828,28.173586592178772,True,273.75,405.11,0.9969,0.078,4.48,85.27,135.76,2819.0,85.27,28.63,135.76,11.2,0.0823,0.0064,0.9966
829,28.20761266294227,True,274.56,405.17,0.9969,0.0783,4.49,85.23,135.76,2801.0,85.23,28.79,135.76,11.29,0.0829,0.0065,0.9965
830,28.241638733705773,True,275.36,405.2,0.997,0.0776,4.45,85.29,135.76,2791.0,85.29,28.88,135.76,11.16,0.0819,0.0064,0.9966
831,28.275664804469276,True,275.97,405.2,0.997,0.0772,4.43,85.06,136.67,2785.0,85.06,26.95,136.67,11.78,0.0859,0.0067,0.9963
832,28.309690875232775,True,276.51,405.27,0.9969,0.0786,4.51,85.72,135.76,2758.0,85.72,27.16,135.76,10.13,0.0744,0.0059,0.9972
833,28.343716945996277,True,277.09,405.26,0.997,0.0769,4.41,85.12,136.67,2773.0,85.12,27.05,136.67,11.62,0.0847,0.0065,0.9964
834,28.377743016759776,True,277.06,405.24,0.997,0.0772,4.43,85.09,136.68,2765.0,85.09,27.0,136.68,11.71,0.0854,0.0066,0.9963
835,28.41176908752328,True,276.53,405.22,0.9969,0.0788,4.52,85.38,135.76,2765.0,85.38,28.91,135.76,10.94,0.0803,0.0063,0.9967
836,28.445795158286778,True,275.58,405.2,0.9969,0.0785,4.5,85.4,135.76,2765.0,85.4,28.85,135.76,10.88,0.0799,0.0063,0.9968
837,28.47982122905028,True,274.51,405.21,0.9969,0.0785,4.5,85.36,135.76,2763.0,85.36,28.88,135.76,10.98,0.0806,0.0063,0.9967
838,28.51384729981378,True,272.98,405.21,0.9969,0.0784,4.5,85.0,136.68,2749.0,85.0,26.98,136.68,11.91,0.0868,0.0068,0.9962
839,28.547873370577282,True,271.39,405.17,0.9969,0.0787,4.51,85.64,135.76,2727.0,85.64,26.82,135.76,10.33,0.0759,0.006,0.9971
840,28.581899441340784,True,270.02,405.18,0.9969,0.0782,4.49,85.69,136.76,2741.0,85.69,26.89,136.76,10.29,0.075,0.0059,0.9972
841,28.615925512104283,True,268.86,405.15,0.9969,0.0788,4.52,86.06,136.76,2717.0,86.06,26.86,136.76,9.41,0.0686,0.0054,0.9976
842,28.649951582867786,True,268.85,405.24,0.9972,0.0754,4.32,86.37,135.75,2675.0,86.37,26.87,135.75,8.6,0.0631,0.0048,0.998
843,28.683977653631285,True,269.06,405.38,0.9972,0.0743,4.26,85.65,135.67,2657.0,85.65,27.12,135.67,10.3,0.0757,0.0056,0.9971
844,28.718003724394787,True,269.9,405.45,0.9972,0.0743,4.26,85.57,135.67,2639.0,85.57,27.29,135.67,10.48,0.077,0.0057,0.997
845,28.752029795158286,True,270.77,405.48,0.9972,0.0743,4.26,85.56,135.67,2630.0,85.56,27.36,135.67,10.49,0.0771,0.0057,0.997
846,28.78605586592179,True,272.18,405.57,0.9973,0.074,4.25,85.56,136.66,2636.0,85.56,27.49,136.66,10.57,0.0771,0.0057,0.997
847,28.82008193668529,True,275.34,405.73,0.9974,0.0727,4.17,85.79,135.66,2618.0,85.79,27.77,135.66,9.97,0.0733,0.0053,0.9973
848,28.85410800744879,True,276.85,405.85,0.9974,0.0724,4.15,86.57,135.66,2590.0,86.57,26.24,135.66,8.11,0.0596,0.0043,0.9982
849,28.888134078212293,True,278.8,405.84,0.9974,0.0715,4.1,86.66,135.66,2590.0,86.66,26.07,135.66,7.89,0.058,0.0042,0.9983
850,28.92216014897579,True,279.95,405.84,0.9974,0.0715,4.1,86.67,135.66,2592.0,86.67,26.2,135.66,7.88,0.0579,0.0042,0.9983
851,28.956186219739294,True,280.93,405.8,0.9975,0.0702,4.03,86.67,135.65,2602.0,86.67,25.96,135.65,7.87,0.0579,0.0041,0.9983
852,28.990212290502793,True,280.86,405.75,0.9975,0.0712,4.08,86.58,135.65,2593.0,86.58,25.87,135.65,8.09,0.0595,0.0042,0.9982
853,29.024238361266296,True,280.96,405.79,0.9975,0.0708,4.06,86.5,135.65,2608.0,86.5,25.95,135.65,8.29,0.0609,0.0043,0.9981
854,29.058264432029794,True,279.42,405.74,0.9975,0.0705,4.04,86.21,136.65,2640.0,86.21,27.78,136.65,9.02,0.0659,0.0047,0.9978
855,29.092290502793297,True,277.39,405.8,0.9974,0.0715,4.1,86.39,136.65,2622.0,86.39,26.04,136.65,8.6,0.0628,0.0045,0.998
856,29.1263165735568,True,275.31,405.86,0.9974,0.0724,4.15,86.33,136.66,2624.0,86.33,26.19,136.66,8.75,0.0639,0.0046,0.9979
857,29.1603426443203,True,273.63,405.9,0.9975,0.071,4.07,86.65,135.65,2614.0,86.65,26.21,135.65,7.92,0.0582,0.0041,0.9983
858,29.1943687150838,True,271.75,405.85,0.9974,0.0718,4.12,86.64,135.66,2603.0,86.64,26.09,135.66,7.95,0.0584,0.0042,0.9983
859,29.2283947858473,True,269.48,405.83,0.9973,0.0736,4.22,86.96,131.6,2521.0,86.96,26.27,131.6,6.97,0.0528,0.0039,0.9986
860,29.262420856610802,True,270.08,406.08,0.9979,0.0644,3.69,86.19,128.51,2469.0,86.19,26.47,128.51,8.55,0.0664,0.0043,0.9978
861,29.2964469273743,True,269.38,406.01,0.9979,0.0654,3.75,86.17,130.51,2497.0,86.17,26.45,130.51,8.71,0.0666,0.0044,0.9978
862,29.330472998137804,True,268.92,406.0,0.9978,0.066,3.79,86.12,131.51,2503.0,86.12,26.48,131.51,8.89,0.0675,0.0045,0.9977
863,29.364499068901303,True,269.76,406.05,0.9982,0.0599,3.43,86.51,133.48,2520.0,86.51,26.44,133.48,8.13,0.0608,0.0036,0.9981
864,29.398525139664805,True,269.91,406.01,0.9981,0.0609,3.49,86.49,135.48,2538.0,86.49,26.35,135.48,8.3,0.0611,0.0037,0.9981
865,29.432551210428308,True,271.1,406.04,0.9983,0.0579,3.32,86.61,136.47,2561.0,86.61,26.37,136.47,8.08,0.0591,0.0034,0.9982
866,29.466577281191807,True,271.21,406.28,0.9984,0.0569,3.26,86.43,123.37,2392.0,86.43,26.95,123.37,7.68,0.0621,0.0035,0.9981
867,29.50060335195531,True,271.93,406.26,0.9982,0.0592,3.39,86.47,124.37,2409.0,86.47,26.95,124.37,7.66,0.0615,0.0036,0.9981
868,29.534629422718808,True,272.06,406.2,0.9983,0.0587,3.37,86.39,126.37,2444.0,86.39,26.94,126.37,7.96,0.0629,0.0037,0.998
869,29.56865549348231,True,274.76,406.05,0.9988,0.0499,2.86,86.29,129.34,2466.0,86.29,26.4,129.34,8.38,0.0647,0.0032,0.9979
870,29.60268156424581,True,276.17,405.94,0.9989,0.0468,2.68,86.37,132.32,2528.0,86.37,26.2,132.32,8.37,0.0632,0.003,0.998
871,29.636707635009312,True,277.08,405.78,0.999,0.0446,2.56,86.06,133.31,2564.0,86.06,27.79,133.31,9.17,0.0687,0.0031,0.9976
872,29.67073370577281,True,276.99,405.6,0.999,0.0458,2.63,86.8,136.36,2610.0,86.8,27.45,136.36,7.62,0.0558,0.0026,0.9984
873,29.704759776536314,True,276.21,405.43,0.9988,0.0497,2.85,86.18,136.38,2650.0,86.18,27.21,136.38,9.1,0.0666,0.0033,0.9978
874,29.738785847299816,True,275.58,405.49,0.9987,0.0503,2.88,86.08,135.38,2649.0,86.08,27.29,135.38,9.26,0.0683,0.0034,0.9977
875,29.772811918063315,True,275.11,405.45,0.9987,0.0503,2.88,86.09,136.38,2663.0,86.09,27.15,136.38,9.29,0.0681,0.0034,0.9977
876,29.806837988826818,True,273.99,405.55,0.9988,0.048,2.75,86.21,136.37,2689.0,86.21,27.35,136.37,9.01,0.066,0.0032,0.9978
877,29.840864059590317,True,272.4,405.43,0.9988,0.0484,2.77,86.12,135.37,2669.0,86.12,27.19,135.37,9.16,0.0676,0.0033,0.9977
878,29.87489013035382,True,271.19,405.43,0.9987,0.0501,2.87,86.08,136.38,2680.0,86.08,27.12,136.38,9.31,0.0682,0.0034,0.9977
879,29.908916201117318,True,270.03,405.46,0.9988,0.0484,2.77,86.14,136.37,2690.0,86.14,27.19,136.37,9.18,0.0672,0.0033,0.9977
880,29.94294227188082,True,269.47,405.4,0.9988,0.0481,2.76,86.1,135.37,2676.0,86.1,27.11,135.37,9.2,0.0679,0.0033,0.9977
881,29.97696834264432,True,268.43,405.4,0.9989,0.0471,2.7,86.13,135.37,2687.0,86.13,27.11,135.37,9.15,0.0675,0.0032,0.9977
882,30.010994413407822,True,268.39,405.36,0.9989,0.0459,2.63,86.2,135.36,2678.0,86.2,27.02,135.36,8.98,0.0662,0.003,0.9978
883,30.045020484171324,True,268.41,405.36,0.9989,0.0459,2.63,86.21,135.36,2683.0,86.21,27.02,135.36,8.94,0.066,0.003,0.9978
884,30.079046554934823,True,269.0,405.3,0.999,0.0446,2.56,85.61,136.31,2691.0,85.61,26.93,136.31,10.43,0.0764,0.0034,0.9971
885,30.113072625698326,True,269.59,405.44,0.999,0.0446,2.56,85.53,135.31,2690.0,85.53,27.15,135.31,10.54,0.0779,0.0035,0.997
886,30.147098696461825,True,270.52,405.31,0.9991,0.0423,2.43,85.76,135.3,2691.0,85.76,26.89,135.3,10.01,0.0739,0.0031,0.9973
887,30.181124767225327,True,271.45,405.36,0.9991,0.0424,2.43,85.74,135.3,2700.0,85.74,26.99,135.3,10.04,0.0741,0.0031,0.9972
888,30.215150837988826,True,272.25,405.31,0.9992,0.0401,2.3,85.68,136.29,2744.0,85.68,26.9,136.29,10.26,0.0752,0.003,0.9972
889,30.24917690875233,True,272.95,405.18,0.9992,0.0404,2.31,86.45,136.29,2765.0,86.45,28.58,136.29,8.43,0.0618,0.0025,0.9981
890,30.28320297951583,True,273.1,405.03,0.9991,0.0417,2.39,85.57,136.34,2786.0,85.57,28.27,136.34,10.53,0.0771,0.0032,0.997
891,30.31722905027933,True,273.07,404.97,0.9991,0.043,2.46,85.5,136.35,2802.0,85.5,28.17,136.35,10.7,0.0784,0.0034,0.9969
892,30.351255121042833,True,272.89,404.86,0.999,0.0449,2.57,85.32,136.36,2800.0,85.32,27.96,136.36,11.12,0.0815,0.0037,0.9967
893,30.38528119180633,True,272.53,404.9,0.999,0.0445,2.55,85.41,135.36,2808.0,85.41,28.09,135.36,10.84,0.08,0.0036,0.9968
894,30.419307262569834,True,272.03,404.87,0.9989,0.0471,2.7,85.17,136.37,2803.0,85.17,28.0,136.37,11.47,0.084,0.004,0.9965
895,30.453333333333333,True,271.37,404.93,0.9989,0.0476,2.73,85.24,136.37,2801.0,85.24,28.17,136.37,11.32,0.0829,0.004,0.9966
896,30.487359404096836,True,270.79,404.97,0.9988,0.0491,2.81,85.17,135.38,2791.0,85.17,28.22,135.38,11.4,0.0841,0.0041,0.9964
897,30.521385474860335,True,270.35,405.0,0.9988,0.0499,2.86,85.13,136.38,2802.0,85.13,28.22,136.38,11.58,0.0848,0.0042,0.9964
898,30.555411545623837,True,269.77,405.04,0.9987,0.0508,2.91,85.03,135.44,2811.0,85.03,28.37,135.44,11.74,0.0866,0.0044,0.9962
