frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg_major,line_angle_deg_minor,longest_width_px,contour_area_px,final_combined_angle_deg,minor_len_px,top_ellipse_major_len_px,top_ellipse_minor_len_px,axis_x,axis_y,axis_z
34,1.1568864059590316,True,263.26,404.2,0.9993,0.0379,2.17,84.75,136.32,3032.0,84.75,30.58,136.32,12.47,0.0914,0.0035,0.9958
35,1.1909124767225325,True,263.72,404.43,0.9992,0.0394,2.26,85.01,135.33,2990.0,85.01,29.09,135.33,11.76,0.0869,0.0034,0.9962
36,1.2249385474860335,True,264.58,404.48,0.9992,0.0394,2.26,85.09,135.33,2965.0,85.09,29.21,135.33,11.59,0.0856,0.0034,0.9963
37,1.2589646182495344,True,265.15,404.51,0.9992,0.0393,2.25,85.14,136.33,2964.0,85.14,29.3,136.33,11.55,0.0847,0.0033,0.9964
38,1.2929906890130354,True,266.13,404.62,0.9992,0.039,2.24,84.95,136.33,2966.0,84.95,29.52,136.33,11.99,0.0879,0.0034,0.9961
39,1.3270167597765363,True,266.73,404.67,0.9993,0.0386,2.21,84.93,135.32,2945.0,84.93,29.57,135.32,11.95,0.0882,0.0034,0.9961
40,1.3610428305400373,True,267.55,404.63,0.9993,0.0383,2.19,84.99,135.32,2954.0,84.99,29.5,135.32,11.81,0.0872,0.0033,0.9962
41,1.3950689013035382,True,267.96,404.63,0.9993,0.0386,2.21,84.98,136.32,2960.0,84.98,29.47,136.32,11.93,0.0875,0.0034,0.9962
42,1.4290949720670392,True,268.26,404.63,0.9993,0.0384,2.2,84.97,136.32,2963.0,84.97,29.46,136.32,11.94,0.0875,0.0034,0.9962
43,1.4631210428305401,True,269.15,404.68,0.9993,0.0373,2.14,85.04,136.32,2965.0,85.04,29.56,136.32,11.79,0.0864,0.0032,0.9963
44,1.497147113594041,True,269.19,404.63,0.9993,0.0381,2.18,85.06,136.32,2958.0,85.06,29.45,136.32,11.74,0.0861,0.0033,0.9963
45,1.531173184357542,True,269.14,404.67,0.9993,0.0376,2.16,85.03,136.32,2966.0,85.03,29.53,136.32,11.8,0.0865,0.0033,0.9962
46,1.565199255121043,True,268.34,404.6,0.9992,0.0394,2.26,84.99,136.33,2959.0,84.99,29.39,136.33,11.89,0.0872,0.0034,0.9962
47,1.599225325884544,True,267.85,404.66,0.9992,0.0409,2.34,84.91,136.34,2980.0,84.91,29.54,136.34,12.09,0.0886,0.0036,0.9961
48,1.6332513966480446,True,266.87,404.67,0.9991,0.0415,2.38,84.87,136.34,2982.0,84.87,29.58,136.34,12.2,0.0894,0.0037,0.996
49,1.6672774674115456,True,266.14,404.55,0.9991,0.0417,2.39,84.99,136.34,2971.0,84.99,29.31,136.34,11.9,0.0872,0.0036,0.9962
50,1.7013035381750465,True,265.29,404.48,0.9991,0.0421,2.42,84.99,136.34,2957.0,84.99,29.17,136.34,11.91,0.0873,0.0037,0.9962
51,1.7353296089385475,True,264.92,404.53,0.9991,0.0432,2.47,85.01,135.35,2952.0,85.01,29.3,135.35,11.76,0.0868,0.0038,0.9962
52,1.7693556797020484,True,264.69,404.53,0.9991,0.043,2.46,84.99,135.35,2943.0,84.99,29.32,135.35,11.82,0.0873,0.0038,0.9962
53,1.8033817504655494,True,264.34,404.53,0.9991,0.0421,2.41,85.15,136.34,2939.0,85.15,29.26,136.34,11.52,0.0844,0.0036,0.9964
54,1.8374078212290503,True,264.33,404.55,0.9991,0.0418,2.39,85.06,136.34,2929.0,85.06,29.3,136.34,11.74,0.086,0.0036,0.9963
55,1.8714338919925513,True,264.3,404.57,0.9991,0.0418,2.39,85.06,136.34,2920.0,85.06,29.34,136.34,11.74,0.086,0.0036,0.9963
56,1.9054599627560522,True,265.23,404.66,0.9992,0.0399,2.29,85.09,136.33,2923.0,85.09,29.52,136.33,11.67,0.0856,0.0034,0.9963
57,1.9394860335195532,True,265.64,404.72,0.9992,0.0403,2.31,85.0,135.33,2892.0,85.0,27.68,135.33,11.79,0.087,0.0035,0.9962
58,1.9735121042830541,True,266.31,404.66,0.9992,0.0403,2.31,84.99,136.33,2896.0,84.99,27.59,136.33,11.9,0.0872,0.0035,0.9962
59,2.007538175046555,True,267.19,404.64,0.9992,0.0407,2.33,84.92,136.34,2901.0,84.92,29.49,136.34,12.07,0.0884,0.0036,0.9961
60,2.041564245810056,True,268.07,404.71,0.9992,0.04,2.29,85.33,136.33,2911.0,85.33,29.62,136.33,11.09,0.0813,0.0033,0.9967
