frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,576722.67726,65.746,63,37.477,10.657,58.54,142.507,65.93,318.46,204.51,77.42,187.48,65.89
1,576722.684692,65.906,62,37.545,10.701,58.389,143.026,65.632,318.56,204.55,77.15,189.02,65.64
2,576722.687629,65.822,64,37.764,10.628,58.454,142.723,65.456,318.97,204.41,77.25,188.24,65.4
3,576722.69296,65.828,65,37.698,10.436,58.501,142.868,65.187,318.8,204.18,77.31,188.68,65.18
4,576722.696549,65.599,64,37.612,10.362,58.781,142.283,65.142,318.78,204.06,77.7,187.42,65.06
5,576722.700183,65.872,61,37.739,10.352,58.646,143.468,65.345,318.86,204.07,77.5,189.46,65.34
6,576722.708128,65.748,58,37.621,10.637,58.818,143.197,65.511,318.63,204.48,77.76,188.8,65.51
7,576722.712302,65.685,60,37.591,10.877,59.017,143.328,65.704,318.66,204.76,77.99,189.26,65.69
8,576722.716677,65.701,60,37.548,10.812,59.057,143.519,65.758,318.6,204.68,78.04,189.52,65.75
9,576722.719415,65.366,58,37.599,10.512,59.417,142.548,65.633,318.58,204.31,78.56,187.9,65.61
10,576722.724874,65.397,62,37.618,10.263,59.449,142.791,65.651,318.8,203.9,78.61,188.31,65.57
11,576722.728434,65.495,63,37.526,10.32,59.263,142.881,65.8,318.57,204.03,78.32,188.69,65.79
12,576722.736526,65.76,60,37.495,10.71,58.754,143.11,65.911,318.49,204.56,77.66,188.84,65.9
13,576722.740625,65.799,60,37.243,10.826,58.714,143.229,65.956,318.27,204.67,77.56,189.45,65.97
14,576722.744318,65.685,61,37.352,10.766,58.65,142.442,65.806,318.4,204.6,77.52,187.93,65.78
15,576722.748797,65.925,61,37.298,10.717,58.47,143.33,65.818,318.41,204.5,77.3,188.82,65.77
16,576722.752996,65.75,63,37.248,10.739,58.556,142.57,65.768,318.21,204.59,77.41,187.98,65.74
17,576722.760755,65.896,60,37.35,10.757,58.405,143.008,65.776,318.39,204.59,77.19,188.72,65.75
18,576722.771925,65.762,63,37.379,10.695,58.596,142.734,65.734,318.38,204.52,77.43,188.51,65.73
19,576722.77685,65.779,63,37.307,10.916,58.53,142.666,65.757,318.17,204.86,77.4,187.74,65.69
20,576722.78341,65.838,62,37.223,11.2,58.389,142.649,65.758,318.14,205.2,77.17,188.27,65.74
21,576722.787521,66.166,59,37.081,11.132,58.151,143.911,65.811,318.0,205.12,76.93,189.89,65.79
22,576722.791708,65.659,60,37.357,10.83,58.445,141.797,65.47,318.45,204.68,77.2,187.08,65.43
23,576722.795558,65.95,62,37.255,10.772,58.16,142.711,65.679,318.22,204.62,76.86,188.48,65.67
24,576722.800227,65.961,60,37.294,10.871,58.185,142.835,65.625,318.27,204.76,76.92,188.32,65.6
25,576722.804512,65.843,64,37.087,11.198,58.262,142.365,65.605,317.96,205.2,77.01,187.88,65.59
26,576722.812619,66.088,59,37.232,11.131,58.238,143.682,65.817,318.25,205.08,76.97,189.55,65.78
27,576722.81651,65.876,64,37.43,10.82,58.33,142.715,65.635,318.57,204.65,77.1,188.1,65.57
28,576722.819592,65.921,60,37.439,10.732,58.344,143.003,65.776,318.46,204.57,77.14,188.53,65.75
29,576722.823522,66.062,59,37.196,10.831,58.32,143.733,65.854,318.09,204.72,77.05,189.98,65.84
30,576722.828028,65.664,63,37.475,10.811,58.579,142.151,65.596,318.41,204.72,77.44,187.38,65.58
31,576722.837284,65.765,62,37.481,10.769,58.459,142.417,65.611,318.39,204.67,77.3,187.62,65.58
32,576722.840251,65.782,63,37.564,10.691,58.435,142.449,65.67,318.62,204.52,77.22,188.13,65.66
33,576722.844109,65.878,63,37.504,10.727,58.403,142.905,65.791,318.58,204.56,77.17,188.66,65.76
34,576722.848549,65.903,62,37.554,10.83,58.344,142.899,65.831,318.61,204.7,77.1,188.71,65.82
35,576722.857148,65.78,62,37.595,10.759,58.445,142.466,65.76,318.66,204.61,77.23,188.15,65.75
36,576722.864209,65.99,62,37.404,10.614,58.4,143.526,65.876,318.48,204.38,77.22,189.06,65.84
37,576722.868511,66.107,58,37.247,10.685,58.36,144.091,65.954,318.27,204.48,77.15,190.04,65.95
38,576722.873063,65.836,62,37.405,10.738,58.619,143.201,65.784,318.47,204.56,77.48,188.93,65.75
39,576722.875683,65.628,60,37.545,10.84,58.755,142.383,65.518,318.6,204.71,77.64,188.04,65.51
40,576722.880423,65.603,61,37.483,10.862,58.792,142.335,65.583,318.59,204.73,77.71,188.15,65.61
41,576722.888806,65.58,62,37.577,10.684,58.836,142.315,65.661,318.61,204.52,77.76,187.84,65.66
42,576722.89186,65.707,65,37.515,10.679,58.816,142.965,65.774,318.52,204.51,77.74,188.67,65.75
43,576722.897168,65.651,64,37.378,10.798,58.876,142.799,65.767,318.4,204.63,77.84,188.58,65.73
44,576722.899354,65.521,64,37.301,10.91,58.951,142.271,65.732,318.21,204.83,77.91,187.5,65.67
45,576722.904048,65.525,63,37.251,10.841,58.89,142.145,65.736,318.24,204.71,77.85,187.37,65.71
46,576722.912147,65.558,63,37.195,10.778,58.856,142.24,65.798,318.13,204.64,77.8,187.58,65.77
47,576722.915384,65.693,61,37.486,10.778,58.68,142.559,65.747,318.52,204.63,77.55,188.27,65.74
48,576722.919445,65.694,59,36.811,11.102,58.436,141.971,65.688,317.63,205.06,77.23,187.51,65.69
49,576722.923645,65.507,61,37.065,11.134,58.893,142.052,65.924,318.05,205.02,77.98,187.24,65.88
50,576722.928312,65.87,61,37.219,10.91,58.417,142.895,65.888,318.17,204.81,77.2,188.72,65.88
51,576722.932174,65.815,61,37.186,10.717,58.438,142.644,65.769,318.21,204.53,77.23,188.14,65.71
52,576722.93989,65.668,63,36.929,10.845,58.514,142.017,65.787,317.8,204.72,77.35,187.19,65.82
53,576722.953419,65.758,62,37.142,10.873,58.658,142.865,65.786,318.03,204.78,77.53,188.53,65.78
54,576722.955639,65.678,62,37.137,10.821,58.638,142.373,65.732,318.08,204.67,77.57,187.5,65.65
55,576722.965057,65.675,61,37.339,10.813,58.767,142.668,65.728,318.33,204.68,77.66,188.42,65.72
56,576722.96729,65.621,64,37.325,10.858,58.818,142.497,65.658,318.31,204.74,77.75,187.94,65.64
57,576722.971708,65.588,62,37.294,10.885,58.839,142.366,65.667,318.31,204.76,77.77,187.88,65.64
58,576722.975742,65.874,61,37.319,10.754,58.603,143.372,65.783,318.3,204.6,77.45,189.33,65.77
59,576722.980509,65.807,59,37.424,10.704,58.692,143.216,65.805,318.41,204.54,77.57,188.98,65.78
60,576722.988538,65.824,59,37.463,10.761,58.617,143.128,65.823,318.59,204.59,77.5,188.9,65.82
61,576722.991752,65.732,66,37.531,10.773,58.611,142.603,65.68,318.61,204.62,77.44,188.26,65.65
62,576722.995895,65.842,63,37.481,10.827,58.53,143.017,65.778,318.63,204.64,77.34,188.92,65.73
63,576722.999476,65.955,63,37.431,10.756,58.411,143.355,65.851,318.45,204.6,77.19,189.31,65.84
64,576723.004459,65.987,59,37.351,10.744,58.341,143.364,65.894,318.34,204.57,77.1,189.29,65.85
65,576723.007518,65.99,62,37.218,10.829,58.248,143.153,65.832,318.02,204.74,77.01,188.51,65.78
66,576723.015486,65.686,63,37.185,10.924,58.361,141.746,65.596,318.2,204.79,77.19,187.27,65.59
67,576723.019595,65.753,62,37.139,10.962,58.3,141.96,65.638,318.14,204.85,77.04,187.48,65.62
68,576723.023264,65.681,62,37.242,10.919,58.368,141.732,65.567,318.2,204.82,77.13,187.19,65.56
69,576723.027293,65.633,65,37.313,10.834,58.505,141.8,65.622,318.33,204.7,77.32,187.37,65.65
70,576723.040213,65.646,64,37.298,10.852,58.475,141.8,65.581,318.27,204.73,77.27,187.28,65.58
71,576723.043362,65.593,64,37.319,10.799,58.575,141.754,65.551,318.3,204.66,77.41,187.22,65.55
72,576723.04752,65.765,62,37.569,10.71,58.625,142.823,65.71,318.67,204.53,77.46,188.78,65.72
73,576723.051559,65.814,60,37.506,10.786,58.542,142.888,65.708,318.63,204.61,77.36,188.71,65.72
74,576723.056039,65.879,61,37.454,10.821,58.443,143.011,65.626,318.52,204.67,77.25,188.71,65.62
75,576723.064122,65.63,62,37.308,10.936,58.596,142.007,65.548,318.41,204.82,77.46,187.38,65.53
