frame,t,nx,ny,nz,agree_deg
109,607462.409094,0.42985,-0.76981,-0.47183,0.46
110,607462.413714,0.43052,-0.76729,-0.47532,0.89
111,607462.417503,0.42769,-0.76292,-0.48481,1.37
112,607462.420745,0.43286,-0.76358,-0.47914,1.05
113,607462.430396,0.43011,-0.76841,-0.47387,0.62
114,607462.432995,0.43045,-0.76702,-0.4758,0.52
115,607462.43701,0.43009,-0.76704,-0.4761,0.45
116,607462.444874,0.42898,-0.76552,-0.47954,0.79
117,607462.450569,0.43149,-0.76728,-0.47445,0.83
118,607462.458571,0.43348,-0.76597,-0.47474,1.21
119,607462.461241,0.4285,-0.76487,-0.481,1.18
120,607462.464603,0.43222,-0.76091,-0.48395,1.58
121,607462.46964,0.43316,-0.76527,-0.47617,1.11
122,607462.472578,0.4309,-0.76328,-0.48139,1.01
123,607462.481454,0.43214,-0.76119,-0.48358,1.1
124,607462.48516,0.43335,-0.7638,-0.47835,1.08
125,607462.489237,0.42922,-0.76206,-0.48481,0.8
126,607462.494017,0.4317,-0.76489,-0.4781,0.81
127,607462.496523,0.43148,-0.76325,-0.48091,1.36
128,607462.505935,0.43257,-0.76049,-0.4843,1.1
129,607462.508922,0.43473,-0.76208,-0.47983,0.89
130,607462.514526,0.43192,-0.76189,-0.48266,0.86
131,607462.517947,0.43214,-0.76096,-0.48393,1.09
132,607462.521455,0.42646,-0.76318,-0.48548,0.69
133,607462.533892,0.43053,-0.76222,-0.48339,0.92
134,607462.536858,0.43179,-0.76117,-0.48393,1.05
135,607462.542053,0.42972,-0.76211,-0.48429,0.88
136,607462.545092,0.43333,-0.75899,-0.48596,1.27
137,607462.548622,0.43398,-0.76426,-0.47705,1.08
138,607462.557173,0.43534,-0.75817,-0.48544,1.36
139,607462.561999,0.42907,-0.76702,-0.47706,0.6
140,607462.565056,0.43461,-0.76402,-0.47686,1.12
141,607462.569019,0.43254,-0.76597,-0.47561,1.1
142,607462.572418,0.43341,-0.7615,-0.48195,1.87
143,607462.58124,0.43326,-0.76679,-0.47363,1.33
144,607462.585807,0.43215,-0.76673,-0.47473,1.13
145,607462.588838,0.43113,-0.76747,-0.47448,0.91
146,607462.593595,0.43185,-0.76604,-0.47611,1.0
147,607462.597036,0.43103,-0.76913,-0.47185,0.76
148,607462.600524,0.42949,-0.76875,-0.47389,0.78
149,607462.613868,0.43107,-0.7635,-0.48089,1.89
150,607462.618859,0.43302,-0.76877,-0.47062,1.22
151,607462.620765,0.42512,-0.7712,-0.47383,0.71
152,607462.625257,0.42553,-0.77147,-0.47304,0.77
153,607462.633269,0.4254,-0.77041,-0.47487,0.85
154,607462.637798,0.42538,-0.77204,-0.47223,0.67
155,607462.641324,0.42999,-0.76839,-0.47401,0.7
156,607462.645099,0.42661,-0.77209,-0.47104,0.75
157,607462.648641,0.42607,-0.76606,-0.48127,1.36
158,607462.657458,0.43115,-0.76978,-0.4707,0.69
159,607462.661636,0.43059,-0.76396,-0.48058,1.74
160,607462.664867,0.43402,-0.7679,-0.47112,0.37
161,607462.669956,0.43092,-0.76568,-0.47754,1.43
162,607462.67295,0.43189,-0.75955,-0.48636,1.24
163,607462.676793,0.43144,-0.76799,-0.47334,0.78
164,607462.686,0.43059,-0.76147,-0.48451,1.34
165,607462.68876,0.42906,-0.76717,-0.47682,0.57
166,607462.701642,0.42799,-0.76793,-0.47656,0.46
167,607462.708965,0.42781,-0.76193,-0.48625,1.26
168,607462.712983,0.42743,-0.76714,-0.47832,0.41
169,607462.717427,0.43279,-0.76359,-0.47919,1.32
170,607462.721283,0.43636,-0.76408,-0.47516,1.23
171,607462.724844,0.43233,-0.76325,-0.48015,1.54
172,607462.730263,0.43373,-0.76294,-0.47938,1.42
173,607462.737277,0.4322,-0.76412,-0.47887,1.45
