frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
58,607462.146197,52.638,70,121.577,22.907,70.051,115.435,65.794,428.87,220.52,91.87,150.99,65.26
59,607462.148517,52.635,70,121.661,22.825,70.075,115.465,65.893,428.98,220.42,91.9,151.03,65.35
60,607462.153164,52.744,74,121.524,22.815,70.151,115.879,65.599,428.8,220.4,92.0,151.57,65.06
61,607462.15666,52.873,70,121.69,22.777,70.046,116.052,65.591,429.08,220.33,91.85,151.82,65.05
62,607462.160507,52.463,73,121.589,22.786,70.181,115.189,65.749,428.86,220.36,92.07,150.69,65.25
63,607462.164889,52.704,72,121.532,22.867,70.127,115.733,65.727,428.72,220.51,91.9,151.19,65.14
64,607462.173385,53.058,67,121.733,22.749,70.035,116.531,65.635,429.07,220.32,91.85,152.41,65.1
65,607462.17711,52.952,67,121.876,22.613,70.114,116.374,65.274,429.29,220.11,92.02,151.96,64.7
66,607462.181141,52.759,69,121.672,22.778,70.042,115.74,65.493,428.95,220.36,91.89,151.13,64.94
67,607462.190339,52.765,69,121.77,22.777,70.064,115.794,65.528,429.11,220.36,91.92,151.24,64.97
68,607462.196627,52.667,68,121.724,22.761,70.1,115.591,65.394,429.02,220.37,91.96,150.9,64.91
69,607462.204518,52.363,69,121.771,22.729,70.23,115.008,65.602,429.1,220.29,92.1,150.37,65.01
70,607462.209832,52.432,72,121.691,22.771,70.276,115.263,65.563,428.99,220.35,92.16,150.71,64.98
71,607462.212727,52.265,64,121.427,22.801,70.167,114.65,64.874,428.65,220.38,92.04,150.02,64.39
72,607462.221384,52.959,68,121.913,22.75,69.97,116.153,65.542,429.3,220.27,91.89,151.85,64.97
73,607462.224569,52.156,67,121.405,22.705,70.295,114.577,64.779,428.72,220.21,92.19,149.93,64.17
74,607462.229604,52.702,67,121.932,22.561,70.346,116.09,65.276,429.3,220.1,92.26,151.72,64.77
75,607462.232689,52.234,68,121.784,22.649,70.409,114.965,65.616,429.01,220.24,92.36,150.16,64.97
76,607462.236882,52.775,66,121.97,22.554,70.283,116.18,65.21,429.38,220.06,92.16,151.96,64.67
77,607462.245804,52.824,69,121.853,22.619,70.151,116.094,65.37,429.2,220.17,92.0,151.75,64.87
78,607462.248282,52.26,70,121.759,22.611,70.348,114.932,65.569,429.11,220.14,92.25,150.33,65.02
79,607462.253766,52.474,69,121.657,22.698,70.229,115.294,65.367,428.9,220.26,92.09,150.63,64.73
80,607462.256832,52.875,67,122.146,22.312,70.299,116.474,64.995,429.61,219.73,92.23,151.95,64.56
81,607462.261124,52.363,70,121.677,22.643,70.269,115.072,65.472,428.97,220.18,92.2,150.26,64.88
82,607462.264879,52.962,69,122.036,22.455,70.149,116.46,65.24,429.47,219.93,91.99,152.33,64.7
83,607462.277635,52.364,65,121.479,22.671,70.204,114.967,65.1,428.78,220.16,92.16,150.28,64.49
84,607462.280669,53.047,71,122.146,22.392,70.166,116.718,65.172,429.54,219.91,91.97,152.48,64.7
85,607462.285195,52.484,69,121.67,22.639,70.242,115.343,65.293,428.99,220.16,92.18,150.53,64.71
86,607462.288974,53.235,64,122.355,22.298,70.097,117.113,64.943,429.89,219.73,91.91,153.18,64.41
87,607462.297783,52.719,66,121.734,22.766,69.997,115.559,65.636,429.12,220.36,91.73,150.93,65.18
88,607462.300268,53.063,66,122.293,22.328,70.267,116.929,65.113,429.81,219.76,92.14,152.94,64.58
