frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
57,605974.594786,54.858,69,-128.784,27.95,74.594,129.594,116.91,147.54,211.43,101.22,175.46,117.49
58,605974.599639,55.016,67,-128.867,28.008,74.418,129.795,116.936,147.39,211.47,100.99,175.83,117.56
59,605974.603372,54.96,64,-128.607,28.136,74.497,129.754,116.765,147.78,211.68,101.09,175.66,117.34
60,605974.612014,54.78,67,-128.669,28.194,74.494,129.167,116.857,147.72,211.78,101.09,174.79,117.42
61,605974.615587,54.629,67,-128.567,28.2,74.753,129.135,116.739,147.83,211.77,101.44,174.84,117.32
62,605974.619146,54.387,65,-128.426,28.203,74.998,128.794,116.808,148.02,211.77,101.77,174.4,117.38
63,605974.624222,54.736,64,-128.987,28.191,74.438,128.93,117.357,147.25,211.76,100.98,174.58,117.95
64,605974.627763,54.726,67,-128.642,28.09,74.865,129.638,116.756,147.73,211.61,101.6,175.51,117.34
65,605974.635739,54.407,66,-128.694,27.956,75.21,129.222,116.817,147.63,211.43,102.05,175.04,117.38
66,605974.647943,54.688,69,-128.777,28.113,74.769,129.352,116.696,147.6,211.63,101.54,175.14,117.22
67,605974.651343,54.704,66,-128.737,28.233,74.573,129.062,116.597,147.63,211.82,101.22,174.63,117.17
68,605974.655917,54.834,69,-128.927,28.057,74.592,129.51,116.752,147.28,211.59,101.08,175.49,117.36
69,605974.664414,54.638,69,-128.865,28.093,74.725,129.117,116.743,147.47,211.61,101.5,174.76,117.26
70,605974.667154,54.868,68,-129.054,28.083,74.599,129.631,116.967,147.11,211.6,101.2,175.4,117.61
71,605974.670809,54.869,64,-128.86,28.182,74.606,129.647,116.869,147.42,211.7,101.29,175.55,117.49
72,605974.676334,54.727,67,-128.869,28.195,74.709,129.373,116.827,147.43,211.76,101.38,175.14,117.41
73,605974.67951,54.124,65,-128.74,27.971,75.385,128.638,117.238,147.62,211.38,102.48,174.18,117.84
74,605974.688015,54.905,66,-128.952,28.228,74.545,129.66,117.136,147.3,211.85,101.06,175.47,117.74
75,605974.691354,54.803,69,-129.053,28.131,74.645,129.504,117.234,147.16,211.63,101.4,175.24,117.86
76,605974.69482,54.772,69,-128.844,28.213,74.655,129.422,117.051,147.48,211.81,101.3,175.15,117.6
77,605974.699953,54.759,66,-128.733,28.192,74.616,129.313,116.939,147.62,211.79,101.21,175.04,117.47
78,605974.703576,54.443,66,-128.751,27.821,75.145,129.222,117.043,147.58,211.25,101.98,174.96,117.63
79,605974.707783,55.051,68,-128.834,28.094,74.221,129.565,116.922,147.47,211.63,100.7,175.42,117.49
80,605974.715472,54.101,63,-128.394,27.695,75.411,128.61,116.999,148.02,211.07,102.31,174.27,117.56
81,605974.719818,54.643,73,-128.473,27.934,74.672,129.041,116.588,147.93,211.34,101.46,174.64,117.23
82,605974.732473,54.848,69,-128.362,28.031,74.391,129.207,116.425,148.13,211.51,101.05,174.89,116.97
83,605974.740006,54.909,65,-128.568,28.039,74.298,129.24,116.61,147.77,211.52,100.82,174.97,117.21
84,605974.74305,54.977,66,-128.386,28.184,74.291,129.446,116.457,148.1,211.77,100.82,175.15,117.01
85,605974.747314,54.255,64,-128.408,27.804,75.277,128.861,116.915,148.04,211.16,102.3,174.59,117.46
86,605974.752596,54.928,66,-128.609,28.02,74.699,130.0,116.891,147.77,211.52,101.36,176.01,117.47
87,605974.755699,54.073,66,-128.489,27.837,75.553,128.765,117.185,147.91,211.21,102.64,174.41,117.78
88,605974.763673,54.565,71,-128.724,28.066,75.009,129.375,117.014,147.64,211.5,102.01,175.12,117.62
89,605974.767453,54.496,69,-128.672,28.166,74.984,129.113,116.924,147.68,211.73,101.74,174.82,117.46
90,605974.770956,54.556,70,-128.8,28.183,74.913,129.182,116.885,147.52,211.75,101.65,174.89,117.47
91,605974.77616,54.425,68,-128.792,28.191,74.952,128.834,116.973,147.46,211.75,101.68,174.6,117.5
92,605974.779777,54.796,67,-128.972,28.142,74.759,129.678,117.008,147.32,211.7,101.47,175.45,117.59
93,605974.783261,54.674,62,-129.264,28.168,74.509,128.857,117.456,146.87,211.72,101.08,174.46,118.05
94,605974.791139,55.28,63,-129.142,28.289,74.106,130.11,117.055,147.05,211.89,100.54,176.15,117.63
95,605974.795708,54.652,64,-128.772,28.253,74.626,128.988,116.829,147.55,211.84,101.26,174.64,117.4
96,605974.799005,54.639,68,-128.914,28.155,74.661,129.01,116.882,147.36,211.68,101.38,174.73,117.4
97,605974.816343,54.522,66,-128.724,28.229,74.78,128.845,116.755,147.58,211.8,101.45,174.55,117.31
98,605974.819327,54.884,69,-128.945,28.115,74.644,129.764,116.842,147.26,211.65,101.26,175.57,117.47
99,605974.823929,54.422,65,-128.963,27.722,75.466,129.71,117.187,147.27,211.1,102.39,175.71,117.77
100,605974.828008,54.712,67,-128.704,28.205,74.795,129.474,116.766,147.67,211.75,101.6,175.24,117.32
101,605974.83148,54.108,64,-128.542,27.976,75.481,128.751,116.957,147.8,211.45,102.4,174.5,117.5
102,605974.839496,54.729,69,-128.679,28.095,74.883,129.682,116.834,147.68,211.63,101.61,175.57,117.41
103,605974.844247,54.814,65,-128.647,28.115,74.737,129.698,116.734,147.7,211.62,101.45,175.64,117.36
104,605974.846771,54.084,63,-128.43,27.889,75.432,128.593,116.97,147.94,211.34,102.32,174.32,117.48
105,605974.851695,54.605,71,-128.543,28.049,74.759,129.071,116.784,147.89,211.54,101.53,174.73,117.33
106,605974.855733,54.689,70,-128.67,27.874,74.737,129.3,116.807,147.69,211.26,101.56,175.05,117.45
107,605974.860103,54.896,69,-128.654,27.983,74.387,129.354,116.67,147.77,211.47,101.06,175.0,117.19
108,605974.867595,54.883,68,-128.637,27.98,74.319,129.194,116.662,147.72,211.46,100.86,174.86,117.25
109,605974.871017,55.094,64,-128.612,28.007,74.188,129.648,116.69,147.68,211.53,100.53,175.45,117.32
110,605974.875148,55.054,62,-129.038,28.007,73.89,128.997,117.245,147.22,211.53,100.27,174.54,117.81
111,605974.880065,54.361,63,-128.493,27.765,75.064,128.826,117.012,147.89,211.17,101.84,174.56,117.56
112,605974.883286,54.865,71,-128.693,28.001,74.438,129.342,116.839,147.66,211.5,101.0,175.12,117.41
113,605974.892168,54.7,66,-128.549,28.078,74.568,129.042,116.757,147.89,211.58,101.29,174.68,117.3
114,605974.904451,54.979,65,-129.207,28.1,74.24,129.364,117.493,146.95,211.64,100.71,175.16,118.08
