frame,t,nx,ny,nz,agree_deg
0,606613.029797,0.47606,-0.72964,-0.4909,4.34
1,606613.033376,0.47745,-0.7294,-0.4899,4.56
2,606613.038159,0.47365,-0.73241,-0.48911,4.21
3,606613.041011,0.47859,-0.72745,-0.49169,4.62
4,606613.044937,0.47585,-0.72615,-0.49626,4.84
5,606613.052958,0.47529,-0.72765,-0.49459,4.75
6,606613.05778,0.47368,-0.73177,-0.49004,4.72
7,606613.06157,0.4728,-0.73251,-0.48979,4.54
8,606613.064467,0.47667,-0.72883,-0.49153,5.03
9,606613.068863,0.47121,-0.72849,-0.49726,4.67
10,606613.072594,0.46795,-0.73502,-0.49068,4.36
11,606613.081147,0.46822,-0.73189,-0.49509,5.42
12,606613.084678,0.47101,-0.73085,-0.49397,4.78
13,606613.089512,0.47315,-0.73087,-0.49189,4.72
14,606613.09365,0.4761,-0.72644,-0.49559,4.89
15,606613.096913,0.46643,-0.73229,-0.49618,5.38
16,606613.105293,0.47623,-0.72586,-0.49631,4.7
17,606613.109041,0.47884,-0.72392,-0.49663,4.82
18,606613.12132,0.47508,-0.72402,-0.50009,4.99
19,606613.128794,0.47749,-0.7248,-0.49666,5.2
20,606613.132672,0.47382,-0.72584,-0.49865,4.91
21,606613.137405,0.47653,-0.72593,-0.49593,4.65
22,606613.141289,0.4718,-0.7326,-0.49062,4.14
23,606613.144564,0.47315,-0.72848,-0.49543,4.36
24,606613.148755,0.47491,-0.72975,-0.49187,4.4
25,606613.157123,0.47477,-0.7259,-0.49765,4.88
26,606613.160518,0.47381,-0.72863,-0.49458,4.78
27,606613.164595,0.47499,-0.72619,-0.49703,4.63
28,606613.169334,0.47225,-0.72937,-0.49498,4.64
29,606613.173108,0.47289,-0.72759,-0.49697,4.78
30,606613.181144,0.4688,-0.7283,-0.49981,5.48
31,606613.184721,0.47187,-0.7318,-0.49173,4.53
32,606613.189136,0.4753,-0.72382,-0.50016,4.81
33,606613.193363,0.47542,-0.72437,-0.49926,4.92
34,606613.197345,0.4736,-0.72768,-0.49618,5.08
35,606613.213254,0.47947,-0.72194,-0.49891,4.7
36,606613.216729,0.47949,-0.72655,-0.49214,4.92
37,606613.221025,0.48014,-0.72458,-0.49441,5.38
38,606613.225188,0.47498,-0.72701,-0.49584,4.63
39,606613.233455,0.47487,-0.72522,-0.49855,5.62
40,606613.236505,0.4722,-0.72937,-0.49503,4.57
41,606613.241991,0.47735,-0.72547,-0.49581,5.08
42,606613.245556,0.47725,-0.72827,-0.49178,4.6
43,606613.248565,0.47904,-0.72873,-0.48936,4.97
44,606613.25741,0.47752,-0.72315,-0.49903,4.98
45,606613.261025,0.47951,-0.72864,-0.48903,5.3
46,606613.264832,0.47978,-0.72284,-0.4973,5.01
47,606613.268943,0.47923,-0.72941,-0.48817,5.53
48,606613.272914,0.47661,-0.72959,-0.49045,4.89
49,606613.280851,0.47322,-0.72548,-0.49974,5.33
50,606613.284936,0.47248,-0.72802,-0.49674,5.6
51,606613.297006,0.47398,-0.728,-0.49534,4.46
52,606613.300827,0.46598,-0.73218,-0.49676,4.96
53,606613.309286,0.47242,-0.73317,-0.48916,4.46
54,606613.312625,0.47576,-0.7265,-0.49582,4.57
55,606613.317527,0.48051,-0.72552,-0.49267,4.93
56,606613.321587,0.47402,-0.72615,-0.498,5.56
57,606613.325952,0.47262,-0.72916,-0.49493,4.35
58,606613.333542,0.47529,-0.73159,-0.48875,4.96
59,606613.336733,0.47105,-0.73055,-0.49437,5.65
60,606613.341727,0.47687,-0.72717,-0.49377,4.97
61,606613.345077,0.47462,-0.72668,-0.49667,4.99
62,606613.349015,0.47778,-0.7265,-0.49388,5.2
63,606613.353086,0.47519,-0.72656,-0.49628,4.69
64,606613.360793,0.47765,-0.73095,-0.48741,5.32
65,606613.364789,0.47425,-0.73194,-0.48923,4.92
66,606613.376732,0.46918,-0.73512,-0.48936,4.03
67,606613.384996,0.47358,-0.72944,-0.4936,5.23
68,606613.388971,0.47162,-0.72834,-0.4971,4.18
69,606613.393471,0.47423,-0.73175,-0.48954,4.85
70,606613.397188,0.47456,-0.72708,-0.49614,4.56
71,606613.401519,0.46914,-0.73125,-0.49515,4.16
72,606613.409646,0.47494,-0.73068,-0.49045,4.59
73,606613.412678,0.47756,-0.72955,-0.48959,4.95
74,606613.418013,0.4767,-0.72955,-0.49042,4.73
75,606613.421288,0.47718,-0.72291,-0.4997,5.28
76,606613.425388,0.47876,-0.7241,-0.49645,4.96
77,606613.429984,0.47613,-0.72874,-0.49218,4.86
78,606613.436783,0.47845,-0.72826,-0.49064,4.88
79,606613.441576,0.46913,-0.73359,-0.49169,3.9
80,606613.445008,0.47364,-0.72412,-0.50132,5.74
81,606613.449591,0.47982,-0.72021,-0.50106,5.19
82,606613.46573,0.47704,-0.72771,-0.49282,4.9
83,606613.469246,0.47962,-0.72646,-0.49215,5.18
84,606613.472865,0.47387,-0.72723,-0.49657,5.6
85,606613.47683,0.47301,-0.72739,-0.49716,5.43
86,606613.485104,0.4787,-0.72103,-0.50095,5.18
87,606613.488574,0.47351,-0.73056,-0.49201,4.81
88,606613.493595,0.47203,-0.73324,-0.48944,4.41
89,606613.497267,0.47977,-0.72408,-0.4955,5.65
90,606613.501136,0.4719,-0.72955,-0.49505,5.4
91,606613.509579,0.47351,-0.72834,-0.49529,5.47
92,606613.513351,0.47501,-0.7297,-0.49184,4.73
93,606613.517201,0.47309,-0.73208,-0.49015,4.39
94,606613.520681,0.47555,-0.72618,-0.4965,4.87
95,606613.525977,0.47787,-0.72347,-0.49823,4.89
96,606613.529026,0.47732,-0.72736,-0.49307,4.92
97,606613.536808,0.4779,-0.72852,-0.49078,4.83
98,606613.544915,0.4781,-0.7229,-0.49884,5.23
99,606613.55028,0.47499,-0.7246,-0.49934,5.71
100,606613.552751,0.47551,-0.72948,-0.49169,4.58
101,606613.560761,0.47732,-0.72865,-0.49116,4.84
102,606613.564567,0.47512,-0.7323,-0.48786,4.72
103,606613.568885,0.47911,-0.7272,-0.49156,5.45
104,606613.573386,0.47618,-0.72758,-0.49384,4.79
105,606613.576645,0.47398,-0.72469,-0.50017,5.81
106,606613.581032,0.47343,-0.72668,-0.49778,5.41
107,606613.58899,0.47233,-0.72769,-0.49735,4.55
108,606613.592451,0.47525,-0.72901,-0.49262,4.92
109,606613.597239,0.4772,-0.73199,-0.48628,4.96
110,606613.601605,0.47673,-0.72482,-0.49736,4.94
111,606613.605886,0.46961,-0.73155,-0.49426,4.8
112,606613.613488,0.46916,-0.73131,-0.49505,5.1
113,606613.616839,0.47283,-0.73252,-0.48974,4.4
114,606613.628819,0.47408,-0.7321,-0.48916,4.62
115,606613.63696,0.46904,-0.72884,-0.49879,5.18
116,606613.640608,0.47863,-0.72438,-0.49618,5.4
117,606613.64551,0.46574,-0.73291,-0.49591,5.06
118,606613.648907,0.47564,-0.7279,-0.4939,4.86
119,606613.652453,0.47297,-0.72794,-0.4964,4.6
120,606613.657094,0.47729,-0.7284,-0.49156,5.04
121,606613.665567,0.47278,-0.73241,-0.48995,4.25
122,606613.668939,0.47864,-0.72818,-0.49056,4.86
123,606613.673353,0.47193,-0.72925,-0.49546,4.29
124,606613.677058,0.47793,-0.72757,-0.49216,5.03
125,606613.681115,0.47241,-0.73334,-0.48893,4.22
126,606613.68889,0.47973,-0.72349,-0.49641,5.08
127,606613.692532,0.46875,-0.73059,-0.49649,4.17
128,606613.697087,0.48264,-0.72407,-0.49273,5.65
129,606613.700994,0.47732,-0.72954,-0.48984,5.01
130,606613.71704,0.48113,-0.71963,-0.50064,5.37
131,606613.720618,0.46808,-0.73283,-0.49383,4.1
132,606613.725233,0.47896,-0.72712,-0.49184,4.93
133,606613.729048,0.4685,-0.73391,-0.49181,3.82
134,606613.732639,0.47755,-0.72941,-0.48981,4.8
135,606613.741253,0.47933,-0.72334,-0.49702,5.37
136,606613.744676,0.46941,-0.7334,-0.49171,4.26
137,606613.749116,0.47702,-0.73016,-0.4892,4.8
138,606613.752573,0.479,-0.72507,-0.49481,5.22
139,606613.756763,0.47583,-0.73129,-0.48867,5.08
140,606613.765064,0.47513,-0.7287,-0.4932,5.11
141,606613.768392,0.47728,-0.73147,-0.48698,5.13
142,606613.773203,0.47755,-0.72596,-0.49489,5.1
143,606613.777522,0.4744,-0.728,-0.49494,5.36
144,606613.780925,0.47805,-0.72892,-0.49005,4.88
145,606613.785559,0.47904,-0.72864,-0.48949,4.7
146,606613.80142,0.48033,-0.72417,-0.49483,4.97
147,606613.804968,0.47655,-0.72585,-0.49602,5.65
148,606613.809884,0.48133,-0.72222,-0.49671,4.84
149,606613.816973,0.4733,-0.73224,-0.4897,4.65
150,606613.820656,0.47579,-0.73143,-0.48851,4.68
151,606613.824974,0.47582,-0.73155,-0.48829,4.56
152,606613.829479,0.47254,-0.73443,-0.48715,4.24
153,606613.832755,0.47322,-0.73358,-0.48777,4.4
154,606613.840941,0.4758,-0.72695,-0.49514,4.94
155,606613.844389,0.46806,-0.7328,-0.4939,5.28
156,606613.849378,0.47122,-0.73442,-0.48844,4.46
157,606613.852985,0.47421,-0.73138,-0.49011,4.46
158,606613.856842,0.47423,-0.73242,-0.48854,4.64
159,606613.861416,0.47119,-0.73378,-0.48943,4.26
160,606613.869692,0.47627,-0.7299,-0.49032,4.7
161,606613.873587,0.4749,-0.72648,-0.49668,4.81
162,606613.885739,0.47944,-0.72301,-0.49739,5.35
163,606613.892528,0.4784,-0.72948,-0.48886,5.05
164,606613.89739,0.47436,-0.73085,-0.49076,4.4
165,606613.901699,0.48003,-0.7233,-0.4964,4.85
166,606613.905572,0.46642,-0.73028,-0.49915,5.27
167,606613.909649,0.47487,-0.73144,-0.48938,4.65
168,606613.917097,0.47221,-0.73304,-0.48956,4.39
169,606613.920711,0.47606,-0.73098,-0.48891,4.79
170,606613.925213,0.47478,-0.72768,-0.49504,4.8
171,606613.929783,0.47462,-0.7298,-0.49206,4.91
172,606613.93293,0.4755,-0.72778,-0.49421,5.8
173,606613.937289,0.48426,-0.72239,-0.4936,5.12
174,606613.945156,0.47859,-0.73081,-0.48669,5.05
175,606613.95007,0.4686,-0.73204,-0.49451,5.22
176,606613.953325,0.47838,-0.72701,-0.49256,4.75
177,606613.957819,0.47276,-0.73424,-0.48722,4.42
178,606613.972906,0.46853,-0.7361,-0.48851,4.29
179,606613.97722,0.46897,-0.73224,-0.49385,6.55
180,606613.9809,0.46871,-0.73634,-0.48796,4.15
181,606613.984759,0.47131,-0.73506,-0.4874,4.86
182,606613.993723,0.47199,-0.72802,-0.49721,5.17
183,606613.996573,0.46966,-0.73335,-0.49154,4.96
