# skew_n, 1082
# skew_median_ms, 0.9929580264724791
# skew_p95_ms, 8.38784164225217
# skew_max_ms, 115.99279200891033
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
0,306552.446740,0.000987,306552.446247,306552.447234
1,306552.487651,0.000960,306552.488131,306552.487171
2,306552.511594,0.000904,306552.512046,306552.511142
3,306552.527761,0.000982,306552.527270,306552.528252
4,306552.552453,0.000946,306552.551980,306552.552925
5,306552.571379,0.006736,306552.574747,306552.568012
6,306552.592122,0.000920,306552.592582,306552.591662
7,306552.614595,0.000968,306552.614111,306552.615079
8,306552.631243,0.001018,306552.630734,306552.631751
9,306552.654895,0.000915,306552.654437,306552.655352
10,306552.675708,0.006506,306552.672455,306552.678962
11,306552.695740,0.001549,306552.696514,306552.694966
12,306552.708334,0.007644,306552.704512,306552.712156
13,306552.736340,0.000994,306552.736837,306552.735843
14,306552.755737,0.007974,306552.759724,306552.751749
15,306552.777976,0.000901,306552.777526,306552.778427
16,306552.798452,0.001056,306552.798980,306552.797924
17,306552.817512,0.001020,306552.817002,306552.818022
18,306552.835386,0.008974,306552.830899,306552.839873
19,306552.856533,0.000890,306552.856978,306552.856088
20,306552.879507,0.001434,306552.878790,306552.880224
21,306552.893565,0.000973,306552.894052,306552.893079
22,306552.921110,0.000915,306552.920652,306552.921567
23,306552.932418,0.008401,306552.928218,306552.936618
24,306552.961194,0.000893,306552.961640,306552.960747
25,306552.983485,0.000991,306552.983981,306552.982990
26,306553.001180,0.001043,306553.000659,306553.001702
27,306553.023546,0.000988,306553.023052,306553.024041
28,306553.040832,0.000881,306553.040391,306553.041272
29,306553.061610,0.007207,306553.058007,306553.065214
30,306553.082559,0.007559,306553.086339,306553.078779
31,306553.100411,0.007478,306553.104150,306553.096672
32,306553.119073,0.000967,306553.119557,306553.118590
33,306553.144342,0.000915,306553.143884,306553.144800
34,306553.164285,0.007596,306553.160487,306553.168083
35,306553.186049,0.001200,306553.185449,306553.186649
36,306553.204166,0.007715,306553.200309,306553.208023
37,306553.224414,0.000975,306553.223926,306553.224901
38,306553.247016,0.000816,306553.246608,306553.247423
39,306553.264248,0.001048,306553.264772,306553.263724
