t,state,f_hz,x_mm,y_mm,z_mm,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
1.5845,,0.0,-1.227,0.428,147.237,,,0,,0,0.0,0.0,0.0,0.0
1.7320,,0.0,-1.239,0.417,147.248,,,0,,0,0.0,0.0,0.0,0.0
1.8209,,0.0,-1.244,0.402,147.075,,,0,,0,0.0,0.0,0.0,0.0
1.9083,,0.0,-1.221,0.438,147.058,,,0,,0,0.0,0.0,0.0,0.0
1.9487,,0.0,-1.239,0.507,147.120,,,0,,0,0.0,0.0,0.0,0.0
1.9991,,0.0,-1.216,0.413,147.115,,,0,,0,0.0,0.0,0.0,0.0
2.0438,,0.0,-1.220,0.412,147.093,,,0,,0,0.0,0.0,0.0,0.0
2.0825,,0.0,-1.244,0.443,147.083,,,0,,0,0.0,0.0,0.0,0.0
2.1279,,0.0,-1.129,0.420,147.234,,,0,,0,0.0,0.0,0.0,0.0
2.1687,,0.0,-1.234,0.438,147.071,,,0,,0,0.0,0.0,0.0,0.0
2.2063,,0.0,-1.271,0.425,147.117,,,0,,0,0.0,0.0,0.0,0.0
2.2532,,0.0,-1.108,0.415,147.169,,,0,,0,0.0,0.0,0.0,0.0
2.2996,,0.0,0.087,-0.014,0.129,,,0,,0,0.0,0.0,0.0,0.0
2.3458,,0.0,-0.022,0.352,-0.020,,,0,,0,0.0,0.0,0.0,0.0
2.3888,,0.0,0.160,0.035,0.018,,,0,,0,0.0,0.0,0.0,0.0
2.4293,,0.0,0.016,0.027,-0.047,,,0,,0,0.0,0.0,0.0,0.0
2.4731,,0.0,0.122,0.006,0.016,,,0,,0,0.0,0.0,0.0,0.0
2.5151,,0.0,-0.057,-0.041,0.039,,,0,,0,0.0,0.0,0.0,0.0
2.5608,,0.0,-0.032,-0.016,0.053,,,0,,0,0.0,0.0,0.0,0.0
2.5983,,0.0,-0.084,-0.028,0.041,,,0,,0,0.0,0.0,0.0,0.0
2.6460,,0.0,-0.053,0.008,0.001,,,0,,0,0.0,0.0,0.0,0.0
2.6814,,0.0,0.153,0.091,0.185,,,0,,0,0.0,0.0,0.0,0.0
2.7309,,0.0,0.001,0.026,0.064,,,0,,0,0.0,0.0,0.0,0.0
2.7712,,0.0,-0.009,0.050,0.050,,,0,turning,0,0.0,0.0,0.0,0.0
2.8135,,0.0,0.062,0.098,-0.105,,,0,turning,0,0.0,0.0,0.0,0.0
2.8609,,2.0,0.036,0.016,0.016,,,0,turning,0,0.13,0.15,0.01,0.01
2.9092,,2.0,-0.052,-0.028,0.031,,,0,turning,0,0.13,0.15,0.01,0.01
2.9592,,2.0,-0.035,-0.092,0.087,,,0,turning,0,0.13,0.15,0.01,0.01
3.0159,,2.0,0.015,-0.266,0.054,,,0,turning,0,0.13,0.15,0.01,0.01
3.0748,,2.0,0.110,-0.123,0.009,,,0,turning,0,0.13,0.15,0.01,0.01
3.1208,,2.0,0.247,-0.040,-0.060,,,0,turning,0,0.13,0.15,0.01,0.01
3.1661,,2.0,0.128,-0.049,0.021,,,0,turning,0,0.13,0.15,0.01,0.01
3.2089,,2.0,0.162,-0.050,0.065,,,0,turning,0,0.13,0.15,0.01,0.01
3.2536,,2.0,0.377,-0.053,0.049,,,0,turning,0,0.13,0.15,0.01,0.01
3.2970,,2.0,0.156,0.203,-0.034,,,0,turning,0,0.13,0.15,0.01,0.01
3.3504,,2.2,0.019,-0.105,0.018,,,0,turning,0,0.09,0.11,0.01,0.01
3.3883,,2.2,0.242,-0.219,0.194,,,0,turning,0,0.09,0.11,0.01,0.01
3.4308,,2.2,0.077,-0.064,-0.046,,,0,turning,0,0.09,0.11,0.01,0.01
3.4789,,2.2,0.112,-0.084,-0.027,,,0,turning,0,0.09,0.11,0.01,0.01
3.5263,,2.2,0.142,-0.014,0.012,,,0,turning,0,0.09,0.11,0.01,0.01
3.5659,,2.2,0.068,-0.015,0.064,,,0,turning,0,0.09,0.11,0.01,0.01
3.6211,,2.2,0.028,0.090,0.074,,,0,turning,0,0.09,0.11,0.01,0.01
3.6699,,2.2,0.124,0.004,-0.067,,,0,turning,0,0.09,0.11,0.01,0.01
3.7141,,2.2,0.082,-0.118,0.019,,,0,turning,0,0.09,0.11,0.01,0.01
3.7530,,2.2,0.072,-0.036,0.076,,,0,turning,0,0.09,0.11,0.01,0.01
3.8132,,2.2,0.122,0.221,0.017,,,0,turning,0,0.09,0.11,0.01,0.01
3.8545,,2.5,0.056,0.073,-0.063,,,0,turning,0,0.03,0.03,0.18,0.23
3.8935,,2.5,0.041,0.079,-0.022,,,0,turning,0,0.03,0.03,0.18,0.23
3.9424,,2.5,0.163,0.100,0.044,,,0,turning,0,0.03,0.03,0.18,0.23
3.9868,,2.5,0.037,0.064,0.033,,,0,turning,0,0.03,0.03,0.18,0.23
4.0519,,2.5,0.035,0.070,-0.004,,,0,turning,0,0.03,0.03,0.18,0.23
4.1174,,2.5,-0.044,0.120,0.021,,,0,turning,0,0.03,0.03,0.18,0.23
4.1705,,2.5,0.053,-0.099,0.007,,,0,turning,0,0.03,0.03,0.18,0.23
4.2146,,2.5,0.216,0.189,-0.072,,,0,turning,0,0.03,0.03,0.18,0.23
4.2760,,2.5,0.061,0.069,0.059,,,0,turning,0,0.03,0.03,0.18,0.23
4.3220,,2.5,0.105,0.010,0.127,,,0,turning,0,0.03,0.03,0.18,0.23
4.3701,,2.9,-0.051,-0.042,0.050,,,0,turning,0,0.1,0.11,0.02,0.02
4.4162,,2.9,0.011,-0.016,0.067,,,0,turning,0,0.1,0.11,0.02,0.02
4.4773,,2.9,0.190,-0.043,0.010,,,0,turning,0,0.1,0.11,0.02,0.02
4.5195,,2.9,0.323,-0.098,-0.088,,,0,turning,0,0.1,0.11,0.02,0.02
4.5632,,2.9,0.333,-0.066,0.030,,,0,turning,0,0.1,0.11,0.02,0.02
4.5983,,2.9,0.197,0.015,-0.082,,,0,turning,0,0.1,0.11,0.02,0.02
4.6470,,2.9,0.023,0.073,0.008,,,0,turning,0,0.1,0.11,0.02,0.02
4.6839,,2.9,-0.062,-0.047,0.005,,,0,turning,0,0.1,0.11,0.02,0.02
4.7439,,2.9,0.014,0.152,-0.013,,,0,turning,0,0.1,0.11,0.02,0.02
4.7914,,2.9,0.220,-0.060,0.097,,,0,turning,0,0.1,0.11,0.02,0.02
4.8562,,3.6,0.100,-0.037,0.092,,,0,turning,0,0.06,0.08,0.27,0.29
4.9132,,3.6,0.081,-0.001,0.028,,,0,turning,0,0.06,0.08,0.27,0.29
4.9558,,3.6,0.031,0.002,0.011,,,0,turning,0,0.06,0.08,0.27,0.29
4.9930,,3.6,-0.011,0.029,0.042,,,0,turning,0,0.06,0.08,0.27,0.29
5.0491,,3.6,-0.041,-0.201,0.077,,,0,turning,0,0.06,0.08,0.27,0.29
5.1037,,3.6,0.054,-0.010,0.039,,,0,turning,0,0.06,0.08,0.27,0.29
5.1486,,3.6,0.166,0.094,0.152,,,0,turning,0,0.06,0.08,0.27,0.29
5.1914,,3.6,0.138,0.096,-0.001,,,0,turning,0,0.06,0.08,0.27,0.29
5.2366,,3.6,0.005,0.037,-0.014,,,0,turning,0,0.06,0.08,0.27,0.29
5.3011,,3.6,0.127,-0.046,0.204,,,0,turning,0,0.06,0.08,0.27,0.29
5.3469,,4.4,0.114,-0.108,0.032,,,0,turning,0,0.1,0.12,0.34,0.41
5.4173,,4.4,0.107,-0.028,0.059,,,0,turning,0,0.1,0.12,0.34,0.41
5.4589,,4.4,0.080,0.003,-0.104,,,0,turning,0,0.1,0.12,0.34,0.41
5.5075,,4.4,0.273,-0.060,0.188,,,0,turning,0,0.1,0.12,0.34,0.41
5.5566,,4.4,0.104,-0.096,0.025,,,0,turning,0,0.1,0.12,0.34,0.41
5.5969,,4.4,0.153,-0.041,0.044,,,0,turning,0,0.1,0.12,0.34,0.41
5.6562,,4.4,0.135,-0.034,0.069,,,0,turning,0,0.1,0.12,0.34,0.41
5.7039,,4.4,-0.022,0.298,-0.013,,,0,turning,0,0.1,0.12,0.34,0.41
5.7460,,4.4,0.135,-0.099,0.015,,,0,turning,0,0.1,0.12,0.34,0.41
5.7880,,4.4,0.194,0.036,-0.083,,,0,turning,0,0.1,0.12,0.34,0.41
5.8441,,5.3,0.219,0.041,0.143,,,0,turning,0,0.17,0.22,0.06,0.08
5.9223,,5.3,-0.049,-0.022,0.022,,,0,turning,0,0.17,0.22,0.06,0.08
5.9646,,5.3,0.080,-0.102,0.033,,,0,turning,0,0.17,0.22,0.06,0.08
6.0190,,5.3,0.128,0.004,0.099,,,0,turning,0,0.17,0.22,0.06,0.08
6.0752,,5.3,0.005,-0.016,0.022,,,0,turning,0,0.17,0.22,0.06,0.08
6.1190,,5.3,0.346,-0.012,-0.028,,,0,turning,0,0.17,0.22,0.06,0.08
6.1643,,5.3,0.135,0.250,-0.024,,,0,turning,0,0.17,0.22,0.06,0.08
6.2117,,5.3,0.042,0.082,0.011,,,0,turning,0,0.17,0.22,0.06,0.08
6.2619,,5.3,0.027,-0.045,0.057,,,0,turning,0,0.17,0.22,0.06,0.08
6.3031,,5.3,0.185,0.030,-0.073,,,0,turning,0,0.17,0.22,0.06,0.08
6.3440,,6.5,0.162,0.110,-0.079,,,0,turning,0,0.26,0.29,0.12,0.12
6.3869,,6.5,0.309,-0.051,0.048,,,0,turning,0,0.26,0.29,0.12,0.12
6.4358,,6.5,0.155,-0.083,0.033,,,0,turning,0,0.26,0.29,0.12,0.12
6.4731,,6.5,0.139,-0.008,0.066,,,0,turning,0,0.26,0.29,0.12,0.12
6.5246,,6.5,0.034,0.025,0.047,,,0,turning,0,0.26,0.29,0.12,0.12
6.5721,,6.5,-0.004,-0.113,0.047,,,0,turning,0,0.26,0.29,0.12,0.12
6.6236,,6.5,0.163,0.190,-0.035,,,0,turning,0,0.26,0.29,0.12,0.12
6.6824,,6.5,-0.022,0.031,0.066,,,0,turning,0,0.26,0.29,0.12,0.12
6.7407,,6.5,0.135,-0.118,0.057,,,0,turning,0,0.26,0.29,0.12,0.12
6.8045,,6.5,0.000,-0.050,0.101,,,0,turning,0,0.26,0.29,0.12,0.12
6.8581,,8.0,0.201,-0.068,-0.144,,,0,turning,0,0.2,0.27,0.4,0.48
6.9244,,8.0,0.009,0.045,0.068,,,0,turning,0,0.2,0.27,0.4,0.48
6.9794,,8.0,0.364,0.007,0.137,,,0,turning,0,0.2,0.27,0.4,0.48
7.0387,,8.0,-0.004,-0.001,0.053,,,0,turning,0,0.2,0.27,0.4,0.48
7.0885,,8.0,0.134,-0.100,0.120,,,0,turning,0,0.2,0.27,0.4,0.48
7.1288,,8.0,0.098,0.008,0.122,,,0,turning,0,0.2,0.27,0.4,0.48
7.1838,,8.0,0.458,0.053,0.137,,,0,turning,0,0.2,0.27,0.4,0.48
7.2244,,8.0,0.409,0.026,0.073,,,0,turning,0,0.2,0.27,0.4,0.48
7.2659,,8.0,0.041,0.242,-0.098,,,0,turning,0,0.2,0.27,0.4,0.48
7.3246,,8.0,0.009,-0.129,0.030,,,0,turning,0,0.2,0.27,0.4,0.48
7.3715,,9.6,0.072,0.135,0.130,,,0,turning,0,0.31,0.39,0.2,0.22
7.4104,,9.6,0.089,-0.067,0.039,,,0,turning,0,0.31,0.39,0.2,0.22
7.4422,,9.6,0.238,0.085,-0.135,,,0,turning,0,0.31,0.39,0.2,0.22
7.4816,,9.6,0.016,0.012,-0.003,,,0,turning,0,0.31,0.39,0.2,0.22
7.5214,,9.6,0.139,-0.070,-0.026,,,0,turning,0,0.31,0.39,0.2,0.22
7.5598,,9.6,0.051,0.015,-0.015,,,0,turning,0,0.31,0.39,0.2,0.22
7.6001,,9.6,0.181,0.054,-0.104,,,0,turning,0,0.31,0.39,0.2,0.22
7.6350,,9.6,0.300,0.071,-0.137,,,0,turning,0,0.31,0.39,0.2,0.22
7.6719,,9.6,0.050,0.026,0.027,,,0,turning,0,0.31,0.39,0.2,0.22
7.7040,,9.6,0.160,-0.062,-0.107,,,0,turning,0,0.31,0.39,0.2,0.22
7.7586,,9.6,0.140,0.018,0.042,,,0,turning,0,0.31,0.39,0.2,0.22
7.8065,,9.6,0.095,-0.109,0.032,,,0,turning,0,0.31,0.39,0.2,0.22
7.8496,,11.6,0.071,0.190,0.072,,,0,turning,0,0.23,0.27,0.35,0.41
7.8876,,11.6,0.188,-0.052,-0.064,,,0,turning,0,0.23,0.27,0.35,0.41
7.9341,,11.6,0.076,0.416,0.032,,,0,turning,0,0.23,0.27,0.35,0.41
7.9750,,11.6,0.160,-0.043,-0.129,,,0,turning,0,0.23,0.27,0.35,0.41
8.0159,,11.6,0.122,0.051,-0.069,,,0,turning,0,0.23,0.27,0.35,0.41
8.0507,,11.6,0.193,-0.043,-0.076,,,0,turning,0,0.23,0.27,0.35,0.41
8.0990,,11.6,0.119,-0.037,0.050,,,0,turning,0,0.23,0.27,0.35,0.41
8.1376,,11.6,0.195,-0.083,-0.057,,,0,turning,0,0.23,0.27,0.35,0.41
8.1764,,11.6,0.087,0.044,-0.068,,,0,turning,0,0.23,0.27,0.35,0.41
