t,state,f_hz,x_mm,y_mm,z_mm,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
1.7838,,0.0,-1.143,0.361,147.028,,,0,,0,0.0,0.0,0.0,0.0
1.8334,,0.0,-1.148,0.308,147.033,,,0,,0,0.0,0.0,0.0,0.0
1.8864,,0.0,-1.151,0.266,146.993,,,0,,0,0.0,0.0,0.0,0.0
1.9727,,0.0,-1.014,0.368,147.059,,,0,,0,0.0,0.0,0.0,0.0
2.0484,,0.0,-1.027,0.360,146.980,,,0,,0,0.0,0.0,0.0,0.0
2.0837,,0.0,-1.126,0.402,147.137,,,0,,0,0.0,0.0,0.0,0.0
2.1215,,0.0,-1.130,0.385,147.108,,,0,,0,0.0,0.0,0.0,0.0
2.1671,,0.0,-0.970,0.381,147.119,,,0,,0,0.0,0.0,0.0,0.0
2.2067,,0.0,-1.130,0.391,147.101,,,0,,0,0.0,0.0,0.0,0.0
2.2444,,0.0,-1.145,0.392,147.023,,,0,,0,0.0,0.0,0.0,0.0
2.2879,,0.0,-1.021,0.362,147.000,,,0,,0,0.0,0.0,0.0,0.0
2.3441,,0.0,-0.969,0.315,146.949,,,0,,0,0.0,0.0,0.0,0.0
2.3793,,0.0,-0.033,-0.015,0.053,,,0,,0,0.0,0.0,0.0,0.0
2.4270,,0.0,-0.074,0.079,0.014,,,0,,0,0.0,0.0,0.0,0.0
2.4792,,0.0,-0.056,-0.029,-0.013,,,0,,0,0.0,0.0,0.0,0.0
2.5351,1,2.0,-0.105,0.219,0.013,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5786,1,2.0,-0.100,0.002,0.038,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6199,1,2.0,-0.075,0.063,0.081,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6571,1,2.0,-0.055,0.051,0.043,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7006,1,2.0,-0.042,-0.006,0.005,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7432,1,2.0,-0.018,0.000,-0.073,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7927,1,2.0,-0.071,-0.026,-0.023,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8413,1,2.0,-0.067,0.111,-0.010,,,0,turning,0,0.0,0.0,0.05,0.05
2.8895,1,2.0,-0.084,0.055,0.197,,,0,turning,0,0.0,0.0,0.05,0.05
2.9279,1,2.0,0.106,-0.115,-0.141,,,0,turning,0,0.0,0.0,0.05,0.05
2.9613,1,2.0,0.013,-0.111,-0.094,,,0,turning,0,0.0,0.0,0.05,0.05
3.0050,1,2.0,0.101,0.028,-0.074,,,0,turning,0,0.0,0.0,0.05,0.05
