t,state,f_hz,x_mm,y_mm,z_mm,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
1.5812,,0.0,-4.168,0.243,146.652,,,0,,0,0.0,0.0,0.0,0.0
1.6344,,0.0,-4.135,0.460,146.491,,,0,,0,0.0,0.0,0.0,0.0
1.7211,,0.0,-4.011,0.357,146.547,,,0,,0,0.0,0.0,0.0,0.0
1.8132,,0.0,-4.148,0.041,146.623,,,0,,0,0.0,0.0,0.0,0.0
1.8703,,0.0,-4.010,0.419,146.484,,,0,,0,0.0,0.0,0.0,0.0
1.9206,,0.0,-3.987,0.458,146.518,,,0,,0,0.0,0.0,0.0,0.0
1.9727,,0.0,-3.991,0.471,146.539,,,0,,0,0.0,0.0,0.0,0.0
2.0243,,0.0,-3.989,0.384,146.491,,,0,,0,0.0,0.0,0.0,0.0
2.0718,,0.0,-4.049,0.386,146.605,,,0,,0,0.0,0.0,0.0,0.0
2.1263,,0.0,-3.960,0.345,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.1874,,0.0,-4.139,0.373,146.565,,,0,,0,0.0,0.0,0.0,0.0
2.2377,,0.0,-4.013,0.370,146.487,,,0,,0,0.0,0.0,0.0,0.0
2.2824,,0.0,-0.028,-0.052,-0.096,,,0,,0,0.0,0.0,0.0,0.0
2.3222,,0.0,-0.005,-0.030,-0.106,,,0,,0,0.0,0.0,0.0,0.0
2.3705,,0.0,-0.041,-0.044,-0.045,,,0,,0,0.0,0.0,0.0,0.0
2.4142,0,0.0,0.128,-0.001,0.107,,,0,,0,0.0,0.0,0.0,0.0
2.4531,1,2.0,0.098,-0.121,0.186,,,0,stopped,0,0.0,0.0,0.0,0.0
2.4984,1,2.0,-0.066,-0.028,-0.062,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5614,1,2.0,-0.090,0.071,-0.038,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6101,1,2.0,0.189,0.180,-0.289,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6598,1,2.0,0.004,0.028,0.013,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7072,1,2.0,-0.076,0.001,-0.045,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7552,1,2.0,0.020,0.020,0.046,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8040,1,2.0,0.082,-0.036,0.043,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8472,1,2.1,0.059,-0.071,-0.042,,,0,stopped,0,0.15,0.16,0.01,0.01
2.9016,1,2.1,-0.030,-0.074,-0.072,,,0,turning,0,0.15,0.16,0.01,0.01
2.9780,1,2.1,0.107,-0.017,-0.023,,,0,turning,0,0.15,0.16,0.01,0.01
3.0256,1,2.1,0.173,0.205,0.064,,,0,turning,0,0.15,0.16,0.01,0.01
3.0744,1,2.1,0.187,0.172,-0.182,,,0,turning,0,0.15,0.16,0.01,0.01
3.1248,1,2.1,0.085,0.096,0.040,,,0,turning,0,0.15,0.16,0.01,0.01
3.1631,1,2.1,-0.006,0.045,-0.048,,,0,turning,0,0.15,0.16,0.01,0.01
3.2053,1,2.1,0.032,0.125,0.029,,,0,turning,0,0.15,0.16,0.01,0.01
3.2487,1,2.1,0.138,-0.108,-0.172,,,0,turning,0,0.15,0.16,0.01,0.01
3.2907,1,2.1,0.102,0.207,-0.145,,,0,turning,0,0.15,0.16,0.01,0.01
3.3315,1,2.5,0.147,0.322,-0.181,,,0,turning,0,0.06,0.07,0.01,0.01
3.3817,1,2.5,0.148,-0.101,0.163,,,0,turning,0,0.06,0.07,0.01,0.01
3.4261,1,2.5,0.089,0.071,-0.196,,,0,turning,0,0.06,0.07,0.01,0.01
3.4691,1,2.5,0.037,0.032,-0.180,,,0,turning,0,0.06,0.07,0.01,0.01
3.5139,1,2.5,0.172,0.004,0.028,,,0,turning,0,0.06,0.07,0.01,0.01
3.5616,1,2.5,0.040,-0.009,-0.115,,,0,turning,0,0.06,0.07,0.01,0.01
3.6151,1,2.5,0.078,-0.009,0.101,,,0,turning,0,0.06,0.07,0.01,0.01
3.6616,1,2.5,0.114,-0.032,-0.306,,,0,turning,0,0.06,0.07,0.01,0.01
3.7138,1,2.5,0.092,0.202,-0.186,,,0,turning,0,0.06,0.07,0.01,0.01
3.7597,1,2.5,0.254,-0.046,0.016,,,0,turning,0,0.06,0.07,0.01,0.01
3.8124,1,2.5,0.190,-0.047,-0.027,,,0,turning,0,0.06,0.07,0.01,0.01
3.8522,1,3.3,0.082,0.044,-0.202,,,0,turning,0,0.14,0.15,0.03,0.03
