frame,t,nx,ny,nz,agree_deg
0,607276.266954,0.46687,-0.74935,-0.46957,0.7
1,607276.274843,0.46084,-0.75533,-0.46595,0.57
2,607276.27852,0.45885,-0.75407,-0.46992,0.63
3,607276.282019,0.45843,-0.75268,-0.47255,0.68
4,607276.290597,0.46117,-0.75297,-0.46942,0.6
5,607276.293779,0.45842,-0.75247,-0.47291,0.86
6,607276.297721,0.45762,-0.7505,-0.47679,0.74
7,607276.302098,0.46353,-0.74826,-0.4746,1.7
8,607276.3066,0.46168,-0.75541,-0.46498,0.52
9,607276.314185,0.45464,-0.75543,-0.47184,1.04
10,607276.318107,0.46485,-0.74717,-0.47502,0.85
11,607276.322263,0.45887,-0.75633,-0.46626,0.69
12,607276.326224,0.4645,-0.75128,-0.46884,1.84
13,607276.32972,0.46506,-0.74732,-0.47458,0.61
14,607276.337784,0.4593,-0.75552,-0.46716,0.35
15,607276.341979,0.45236,-0.75559,-0.47376,0.49
16,607276.346446,0.46296,-0.75004,-0.47235,0.54
17,607276.358256,0.46686,-0.74841,-0.47109,0.48
18,607276.365485,0.46367,-0.74915,-0.47305,0.35
19,607276.369697,0.46458,-0.74908,-0.47228,1.98
20,607276.37386,0.46755,-0.74807,-0.47095,0.6
21,607276.378433,0.46413,-0.74909,-0.4727,0.31
22,607276.382243,0.46075,-0.75082,-0.47326,0.39
23,607276.389406,0.45756,-0.75583,-0.46836,0.63
24,607276.393956,0.4608,-0.74986,-0.47473,1.4
25,607276.397824,0.46976,-0.74284,-0.47699,0.58
26,607276.402055,0.4581,-0.75527,-0.46873,0.35
27,607276.406463,0.46729,-0.74619,-0.47417,1.25
28,607276.413733,0.45819,-0.75395,-0.47078,0.43
29,607276.418237,0.46789,-0.75072,-0.46636,1.59
30,607276.422164,0.46957,-0.74277,-0.47729,1.15
31,607276.42673,0.46118,-0.75449,-0.46697,0.77
32,607276.429684,0.46802,-0.7498,-0.46772,1.67
33,607276.44159,0.46509,-0.75331,-0.46499,1.11
34,607276.445871,0.46832,-0.75032,-0.46658,1.59
