frame,t,nx,ny,nz,agree_deg
0,577548.252875,0.33007,-0.84551,-0.41973,5.28
1,577548.254667,0.32607,-0.84659,-0.42066,4.85
2,577548.257387,0.32224,-0.84745,-0.42188,4.64
3,577548.262422,0.33238,-0.84888,-0.41102,5.92
4,577548.26679,0.31994,-0.84713,-0.42427,4.27
5,577548.274169,0.32562,-0.84837,-0.41742,4.94
6,577548.277742,0.32811,-0.84574,-0.42079,5.54
7,577548.28233,0.31713,-0.84885,-0.42294,4.12
8,577548.286075,0.32197,-0.85021,-0.4165,4.75
9,577548.291253,0.31715,-0.85144,-0.4177,4.3
10,577548.298968,0.31969,-0.84713,-0.42447,4.53
11,577548.302449,0.31714,-0.85043,-0.41975,4.48
12,577548.305188,0.31113,-0.85372,-0.41757,4.12
13,577548.309481,0.31799,-0.85372,-0.41237,4.98
14,577548.314629,0.31332,-0.85306,-0.41727,4.47
15,577548.319016,0.31227,-0.85214,-0.41994,4.66
16,577548.326874,0.31272,-0.85914,-0.40507,5.15
17,577548.329164,0.30871,-0.85663,-0.41338,4.61
18,577548.333327,0.31179,-0.85454,-0.41538,4.12
19,577548.349637,0.31191,-0.85332,-0.41779,4.64
20,577548.353259,0.30813,-0.85684,-0.41338,4.28
21,577548.357035,0.30936,-0.85819,-0.40965,4.41
22,577548.361557,0.30997,-0.85671,-0.41227,4.02
23,577548.366054,0.31193,-0.85364,-0.41713,4.28
24,577548.373287,0.30997,-0.85694,-0.41178,4.16
25,577548.377405,0.30751,-0.85691,-0.41369,4.42
26,577548.381004,0.30717,-0.85567,-0.41649,4.21
27,577548.385869,0.30658,-0.85739,-0.41338,4.24
28,577548.388572,0.30529,-0.85861,-0.41181,4.56
29,577548.39474,0.30916,-0.85652,-0.41327,3.97
30,577548.402109,0.30804,-0.85622,-0.41473,4.02
31,577548.405964,0.3102,-0.85871,-0.40791,4.73
32,577548.409309,0.30931,-0.8555,-0.41527,3.92
33,577548.414588,0.31123,-0.85566,-0.41351,4.73
34,577548.41782,0.31022,-0.8536,-0.41849,4.2
35,577548.433491,0.30962,-0.85452,-0.41704,4.05
36,577548.439008,0.31266,-0.85182,-0.42029,4.21
37,577548.44155,0.31201,-0.85258,-0.41923,3.95
38,577548.449971,0.31456,-0.8495,-0.42355,4.13
39,577548.454944,0.30979,-0.85327,-0.41947,3.84
40,577548.457944,0.30769,-0.85374,-0.42007,3.87
41,577548.462073,0.3176,-0.85034,-0.41958,4.48
42,577548.466718,0.31329,-0.85166,-0.42014,4.01
43,577548.470226,0.31577,-0.85023,-0.42117,4.06
44,577548.477934,0.31632,-0.85066,-0.41991,4.01
45,577548.481743,0.31132,-0.85235,-0.42022,3.64
46,577548.485269,0.31619,-0.84944,-0.42247,3.95
47,577548.489868,0.31582,-0.84966,-0.42229,3.99
48,577548.493674,0.31551,-0.84962,-0.4226,4.32
49,577548.503113,0.31941,-0.84975,-0.41939,5.0
50,577548.505826,0.31676,-0.84868,-0.42356,4.43
51,577548.518077,0.31505,-0.84943,-0.42333,4.23
52,577548.526355,0.30779,-0.85123,-0.42506,3.95
53,577548.529668,0.31521,-0.8488,-0.42449,4.14
54,577548.533051,0.31415,-0.84955,-0.42377,4.12
55,577548.539411,0.31286,-0.85076,-0.42229,4.04
56,577548.541321,0.31367,-0.84944,-0.42433,4.36
57,577548.549655,0.30606,-0.85119,-0.42637,3.11
58,577548.553414,0.31113,-0.8519,-0.42126,4.0
59,577548.557824,0.31254,-0.85134,-0.42135,4.12
60,577548.56098,0.30885,-0.85342,-0.41987,4.03
61,577548.5656,0.31063,-0.85258,-0.42026,4.15
62,577548.570615,0.30779,-0.85563,-0.41612,3.87
63,577548.578055,0.30596,-0.8549,-0.41898,4.37
64,577548.58114,0.30424,-0.85474,-0.42053,3.8
65,577548.58571,0.31095,-0.85153,-0.42214,4.18
66,577548.602484,0.30716,-0.8555,-0.41687,3.89
67,577548.60619,0.30353,-0.85628,-0.41793,3.99
68,577548.609103,0.31049,-0.85393,-0.41761,4.06
69,577548.613463,0.30419,-0.85201,-0.42608,3.1
70,577548.617588,0.30384,-0.85275,-0.42486,3.05
71,577548.621936,0.30358,-0.85246,-0.42562,2.93
72,577548.629715,0.30481,-0.85674,-0.41605,3.77
73,577548.633659,0.30655,-0.8564,-0.41546,4.02
74,577548.636671,0.30669,-0.85647,-0.41521,4.01
75,577548.641244,0.3064,-0.8561,-0.41618,3.98
76,577548.645561,0.30556,-0.85674,-0.4155,3.87
77,577548.653867,0.30222,-0.85568,-0.42009,3.22
78,577548.656931,0.3069,-0.85558,-0.41689,3.93
79,577548.661328,0.30898,-0.85468,-0.41719,3.99
80,577548.666945,0.30711,-0.85126,-0.42548,3.25
81,577548.66894,0.31158,-0.85193,-0.42086,4.02
82,577548.677086,0.30699,-0.85444,-0.41915,3.68
83,577548.689594,0.31428,-0.85226,-0.41819,4.3
84,577548.692805,0.31005,-0.85298,-0.41987,3.97
85,577548.697488,0.31243,-0.85094,-0.42224,4.0
86,577548.705438,0.31133,-0.8515,-0.42193,3.84
87,577548.708969,0.31222,-0.85066,-0.42297,3.86
88,577548.712826,0.32323,-0.84659,-0.42285,4.77
89,577548.717385,0.31296,-0.8487,-0.42633,4.06
90,577548.720626,0.31457,-0.84962,-0.42331,4.02
91,577548.729383,0.31321,-0.85091,-0.42173,3.99
92,577548.733025,0.31384,-0.84987,-0.42334,3.93
93,577548.73662,0.31299,-0.85048,-0.42276,3.97
94,577548.741882,0.32125,-0.84839,-0.42076,4.8
95,577548.745045,0.31362,-0.85034,-0.42257,3.59
96,577548.753078,0.31297,-0.84883,-0.42608,3.71
97,577548.757158,0.32068,-0.84602,-0.42594,4.23
98,577548.761058,0.31977,-0.84631,-0.42604,4.1
99,577548.7731,0.3147,-0.84952,-0.42341,3.99
100,577548.781507,0.31209,-0.85035,-0.42368,4.02
101,577548.785912,0.31163,-0.85085,-0.42302,3.97
102,577548.788882,0.30217,-0.85376,-0.42401,4.73
103,577548.793413,0.30702,-0.85474,-0.41852,3.56
104,577548.796712,0.30105,-0.85585,-0.42059,4.78
105,577548.805879,0.30527,-0.85457,-0.42013,3.43
106,577548.809849,0.30894,-0.85455,-0.4175,3.96
107,577548.812656,0.31142,-0.85221,-0.42042,4.14
108,577548.81746,0.30382,-0.8557,-0.4189,3.95
109,577548.82061,0.3078,-0.85394,-0.41959,4.37
110,577548.82555,0.31318,-0.85405,-0.41535,4.32
111,577548.8332,0.30357,-0.85483,-0.42086,5.21
112,577548.836695,0.30754,-0.85573,-0.4161,3.98
113,577548.840538,0.3033,-0.85797,-0.4146,3.67
114,577548.857396,0.31197,-0.85449,-0.41535,4.15
115,577548.861499,0.30901,-0.85531,-0.41588,3.99
116,577548.865266,0.30625,-0.8572,-0.41402,4.15
117,577548.869685,0.29998,-0.85975,-0.41333,3.73
118,577548.872864,0.3105,-0.85396,-0.41755,4.2
119,577548.881392,0.30995,-0.85468,-0.41648,4.12
120,577548.885564,0.30613,-0.85753,-0.41344,3.9
121,577548.888789,0.31116,-0.85494,-0.41504,4.24
122,577548.893617,0.31082,-0.85422,-0.41678,3.94
123,577548.897718,0.31116,-0.85299,-0.41903,4.14
124,577548.902039,0.3077,-0.85568,-0.4161,3.89
125,577548.90974,0.31272,-0.85252,-0.41882,4.31
126,577548.913159,0.31055,-0.85331,-0.41883,3.94
127,577548.917271,0.31018,-0.85411,-0.41748,3.93
128,577548.920833,0.31049,-0.85282,-0.41987,4.06
129,577548.924809,0.31478,-0.85252,-0.41729,4.39
130,577548.940943,0.31359,-0.85087,-0.42152,4.04
131,577548.94603,0.31383,-0.85122,-0.42063,3.9
132,577548.949446,0.31544,-0.84946,-0.42298,3.96
133,577548.95761,0.31656,-0.84853,-0.42401,4.24
134,577548.961112,0.31617,-0.84796,-0.42544,4.09
135,577548.964685,0.31773,-0.84839,-0.42343,3.98
136,577548.9691,0.31699,-0.84948,-0.42179,4.04
137,577548.97345,0.31444,-0.85137,-0.41988,4.12
138,577548.977194,0.31487,-0.851,-0.4203,4.18
139,577548.985328,0.31723,-0.85038,-0.41978,4.33
140,577548.989134,0.31584,-0.85039,-0.42081,4.03
141,577548.992827,0.31578,-0.84961,-0.42242,3.98
142,577548.997476,0.32018,-0.84591,-0.42653,4.27
