# skew_n, 24056
# skew_median_ms, 3.9222294872161
# skew_p95_ms, 6.316301747574471
# skew_max_ms, 188.9062499976717
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
0,327214.679432,0.003823,327214.681344,327214.677521
1,327214.715792,0.004507,327214.713539,327214.718046
2,327214.740663,0.002118,327214.739604,327214.741723
3,327214.762276,0.004653,327214.759949,327214.764603
4,327214.782328,0.004326,327214.784491,327214.780166
5,327214.807749,0.001091,327214.808295,327214.807204
6,327214.827816,0.003607,327214.826013,327214.829620
7,327214.846796,0.003186,327214.848389,327214.845203
8,327214.867534,0.003871,327214.865599,327214.869469
9,327214.893255,0.000513,327214.892999,327214.893512
10,327214.912010,0.004329,327214.914175,327214.909846
11,327214.935469,0.001149,327214.934894,327214.936044
12,327214.954552,0.004345,327214.952380,327214.956725
13,327214.974752,0.005154,327214.977329,327214.972175
14,327214.995335,0.004177,327214.993247,327214.997424
15,327215.015165,0.006534,327215.018432,327215.011898
16,327215.039275,0.003694,327215.041122,327215.037428
17,327215.059417,0.003547,327215.057643,327215.061191
18,327215.084052,0.005040,327215.081532,327215.086572
19,327215.105657,0.004429,327215.107872,327215.103442
20,327215.128137,0.003872,327215.130073,327215.126201
21,327215.146264,0.003050,327215.144739,327215.147789
22,327215.170793,0.004107,327215.168740,327215.172847
23,327215.192257,0.001369,327215.192942,327215.191573
24,327215.214237,0.004462,327215.216468,327215.212007
25,327215.236197,0.004811,327215.233792,327215.238602
26,327215.258670,0.003155,327215.257092,327215.260247
27,327215.275069,0.013006,327215.281572,327215.268566
28,327215.299702,0.004822,327215.297291,327215.302113
29,327215.320905,0.005231,327215.323520,327215.318289
30,327215.343383,0.003359,327215.345063,327215.341704
31,327215.362700,0.003720,327215.360840,327215.364560
32,327215.379187,0.003932,327215.377221,327215.381153
33,327215.405873,0.004050,327215.407898,327215.403848
34,327215.426827,0.004585,327215.424534,327215.429120
35,327215.447847,0.003828,327215.449761,327215.445933
36,327215.470235,0.003315,327215.471893,327215.468578
37,327215.491885,0.004027,327215.489872,327215.493899
38,327215.512323,0.003993,327215.514319,327215.510326
39,327215.531988,0.003790,327215.530093,327215.533883
40,327215.555233,0.003990,327215.553238,327215.557228
41,327215.578343,0.001079,327215.577803,327215.578882
42,327215.595760,0.003927,327215.593796,327215.597723
43,327215.616252,0.010968,327215.610768,327215.621736
44,327215.639250,0.003910,327215.641205,327215.637295
45,327215.659683,0.004434,327215.657466,327215.661900
46,327215.679826,0.004312,327215.681982,327215.677670
47,327215.700773,0.005821,327215.697863,327215.703684
48,327215.727582,0.001234,327215.728199,327215.726965
49,327215.746500,0.004374,327215.744313,327215.748687
50,327215.770219,0.003560,327215.768439,327215.771999
51,327215.790321,0.004809,327215.792725,327215.787916
52,327215.810436,0.003816,327215.808529,327215.812344
53,327215.835703,0.001264,327215.835071,327215.836335
54,327215.859625,0.001078,327215.859087,327215.860164
55,327215.884052,0.001361,327215.883372,327215.884733
56,327215.906352,0.004972,327215.903866,327215.908838
57,327215.925658,0.007559,327215.929437,327215.921879
58,327215.947223,0.003485,327215.945481,327215.948966
59,327215.963197,0.014517,327215.955939,327215.970456
60,327215.988594,0.004062,327215.986563,327215.990625
61,327216.011462,0.004949,327216.008988,327216.013937
62,327216.035829,0.000918,327216.035370,327216.036288
63,327216.055651,0.004017,327216.057660,327216.053643
64,327216.074548,0.004065,327216.072516,327216.076580
65,327216.095073,0.004224,327216.097185,327216.092962
66,327216.116058,0.004654,327216.113731,327216.118385
67,327216.140304,0.004389,327216.138110,327216.142499
68,327216.161931,0.006492,327216.158685,327216.165177
69,327216.179279,0.010311,327216.184434,327216.174123
70,327216.206115,0.003329,327216.207780,327216.204451
71,327216.224177,0.003334,327216.225844,327216.222510
72,327216.247888,0.003421,327216.249599,327216.246178
73,327216.268134,0.004550,327216.265859,327216.270409
74,327216.287741,0.003843,327216.289662,327216.285819
75,327216.304079,0.011153,327216.298503,327216.309656
76,327216.332154,0.003928,327216.330190,327216.334118
77,327216.352302,0.004901,327216.354752,327216.349852
78,327216.371269,0.003935,327216.369302,327216.373236
79,327216.395328,0.004133,327216.393262,327216.397395
80,327216.412008,0.012816,327216.418416,327216.405600
81,327216.437331,0.003369,327216.435647,327216.439015
82,327216.455567,0.003575,327216.457355,327216.453780
83,327216.476450,0.003449,327216.474726,327216.478175
84,327216.499625,0.004836,327216.497207,327216.502043
85,327216.516506,0.004333,327216.514340,327216.518672
86,327216.536087,0.011608,327216.530283,327216.541891
87,327216.562706,0.004144,327216.560634,327216.564778
88,327216.582561,0.003796,327216.584459,327216.580663
89,327216.606457,0.003234,327216.608074,327216.604841
90,327216.623946,0.003668,327216.625780,327216.622112
91,327216.644356,0.010603,327216.649657,327216.639054
92,327216.668323,0.004908,327216.665870,327216.670777
93,327216.688138,0.003454,327216.689865,327216.686411
94,327216.711695,0.003339,327216.713365,327216.710026
95,327216.731896,0.003998,327216.729897,327216.733894
96,327216.752640,0.005201,327216.755241,327216.750040
97,327216.771843,0.003935,327216.769876,327216.773810
98,327216.795178,0.003960,327216.793198,327216.797158
99,327216.811768,0.003559,327216.809989,327216.813547
100,327216.836284,0.004588,327216.833990,327216.838577
101,327216.859529,0.000896,327216.859081,327216.859977
102,327216.875118,0.012454,327216.881345,327216.868891
103,327216.899639,0.004900,327216.897189,327216.902089
104,327216.916198,0.004636,327216.913880,327216.918516
105,327216.940100,0.003623,327216.938288,327216.941911
106,327216.964421,0.001142,327216.963850,327216.964992
107,327216.978998,0.003050,327216.977473,327216.980523
108,327217.006754,0.004975,327217.009242,327217.004267
109,327217.027476,0.003912,327217.025520,327217.029432
110,327217.047938,0.004143,327217.050010,327217.045867
111,327217.068659,0.004449,327217.066434,327217.070884
112,327217.091288,0.001065,327217.090756,327217.091821
113,327217.111620,0.003617,327217.113429,327217.109812
114,327217.132249,0.003975,327217.130261,327217.134236
115,327217.155414,0.003763,327217.153533,327217.157295
116,327217.175901,0.003334,327217.177568,327217.174234
117,327217.195791,0.004115,327217.193734,327217.197849
118,327217.212119,0.003989,327217.210124,327217.214113
119,327217.240362,0.004037,327217.242381,327217.238344
120,327217.259376,0.004315,327217.257218,327217.261533
121,327217.279667,0.003382,327217.281358,327217.277976
122,327217.300111,0.005565,327217.297329,327217.302894
123,327217.323838,0.003703,327217.321986,327217.325689
124,327217.344091,0.003857,327217.346019,327217.342162
125,327217.363559,0.004546,327217.361286,327217.365832
126,327217.384854,0.004382,327217.387045,327217.382663
127,327217.407407,0.004014,327217.409414,327217.405400
128,327217.428180,0.003578,327217.426391,327217.429969
129,327217.444301,0.002062,327217.443270,327217.445331
130,327217.468453,0.004927,327217.465989,327217.470917
131,327217.491665,0.003567,327217.489881,327217.493448
132,327217.511637,0.004100,327217.513687,327217.509587
133,327217.531818,0.003843,327217.529897,327217.533739
134,327217.555818,0.003260,327217.554188,327217.557448
135,327217.574528,0.004771,327217.576914,327217.572143
136,327217.594807,0.003658,327217.592978,327217.596636
137,327217.615342,0.001086,327217.615885,327217.614799
138,327217.640311,0.000890,327217.640756,327217.639866
139,327217.660378,0.002246,327217.659255,327217.661501
140,327217.675265,0.003318,327217.673606,327217.676924
141,327217.700356,0.004596,327217.698058,327217.702654
142,327217.724190,0.004163,327217.722109,327217.726272
143,327217.743767,0.004016,327217.745774,327217.741759
144,327217.763863,0.003854,327217.761936,327217.765789
145,327217.784561,0.004590,327217.786856,327217.782266
146,327217.807772,0.001752,327217.808648,327217.806896
147,327217.827912,0.004213,327217.825806,327217.830019
148,327217.847745,0.004161,327217.849826,327217.845665
149,327217.870639,0.003625,327217.872451,327217.868826
150,327217.892519,0.003160,327217.890939,327217.894099
151,327217.911862,0.003845,327217.913784,327217.909940
152,327217.932346,0.003421,327217.930636,327217.934057
153,327217.955706,0.003839,327217.953786,327217.957625
154,327217.973000,0.012126,327217.979063,327217.966937
155,327217.998560,0.004591,327218.000856,327217.996264
156,327218.014798,0.004258,327218.016928,327218.012669
157,327218.040039,0.003990,327218.042033,327218.038044
158,327218.059579,0.003593,327218.057782,327218.061375
159,327218.079753,0.003505,327218.081505,327218.078000
160,327218.100387,0.004639,327218.098068,327218.102707
161,327218.123493,0.003659,327218.121664,327218.125323
162,327218.143807,0.003564,327218.145589,327218.142025
163,327218.163990,0.003389,327218.162296,327218.165685
164,327218.189015,0.003881,327218.187075,327218.190956
165,327218.207759,0.003959,327218.209738,327218.205779
166,327218.232143,0.004099,327218.234193,327218.230094
167,327218.252092,0.004820,327218.249682,327218.254502
168,327218.271950,0.003617,327218.273758,327218.270141
169,327218.295037,0.004662,327218.297368,327218.292706
170,327218.311370,0.003896,327218.313318,327218.309422
171,327218.337810,0.000563,327218.338091,327218.337528
172,327218.356673,0.005976,327218.353685,327218.359661
173,327218.379564,0.003635,327218.377746,327218.381381
174,327218.394791,0.005124,327218.392229,327218.397353
175,327218.416236,0.005349,327218.418910,327218.413562
176,327218.439260,0.003812,327218.441166,327218.437354
177,327218.459746,0.003427,327218.458032,327218.461459
178,327218.483461,0.003053,327218.481934,327218.484987
179,327218.500432,0.005083,327218.497891,327218.502974
180,327218.523852,0.003664,327218.522020,327218.525684
181,327218.543961,0.003923,327218.545923,327218.542000
182,327218.567776,0.004635,327218.570093,327218.565459
183,327218.589073,0.003890,327218.587128,327218.591018
184,327218.608470,0.003892,327218.610415,327218.606524
185,327218.627844,0.003553,327218.626067,327218.629620
186,327218.652217,0.004787,327218.649824,327218.654611
187,327218.671686,0.003855,327218.673613,327218.669759
188,327218.695244,0.003816,327218.697152,327218.693336
189,327218.715929,0.004545,327218.713656,327218.718201
190,327218.736613,0.005510,327218.739369,327218.733858
191,327218.755871,0.003754,327218.753994,327218.757748
192,327218.778176,0.004776,327218.775788,327218.780564
193,327218.798456,0.003803,327218.800358,327218.796555
194,327218.820735,0.004308,327218.818581,327218.822890
195,327218.839798,0.004232,327218.841914,327218.837682
